sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;30;28;
11888_UDP-;30;8;
12350_TCP-skypeexe;30;39;
139_TCP-;30;22;
139_TCP-system;30;168;
3702_UDP-;30;250;
3800_UDP-;30;36;
40003_UDP-;30;23;
40005_UDP-;30;1;
40018_UDP-;30;9;
40020_UDP-;30;32;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;30;26;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;30;175;
43265_UDP-;30;120;
45776_TCP-utorrentexe;30;13;
47993_UDP-;30;68;
49001_UDP-;30;54;
50321_UDP-;30;114;
51654_UDP-;151;1417;
5353_UDP-;30;232;
6992_UDP-;30;2;
8621_UDP-;30;42;
8999_UDP-;30;58;
9875_UDP-;30;5;
TCP_Dns-system;30;17;
TCP_HTTP-;1536;13889;
TCP_HTTP-avgmfapxexe;30;10;
TCP_HTTP-firefoxexe;141;1346;
TCP_HTTP-chromeexe;100;844;
TCP_HTTP-iexploreexe;250;2166;
TCP_HTTP-itunesexe;30;237;
TCP_HTTP-onedriveexe;30;61;
TCP_Https-;1530;14066;
TCP_Https-firefoxexe;2090;18740;
TCP_Https-googledrivesyncexe;30;21;
TCP_Https-chromeexe;1253;10899;
TCP_Https-iexploreexe;1071;10052;
TCP_Https-itunesexe;1122;10055;
TCP_Https-mshtaexe;30;4;
TCP_Https-msmpengexe;30;38;
TCP_Https-onedriveexe;158;1546;
TCP_HTTP-spotifyexe;632;5608;
TCP_Https-skypebrowserhostexe;87;684;
TCP_Https-skypeexe;582;5152;
TCP_Https-spotifyexe;602;5826;
TCP_Https-steamexe;30;33;
TCP_Https-steamwebhelperexe;30;24;
TCP_Https-svchostexe;72;578;
TCP_Https-system;3190;28751;
TCP_HTTP-steamexe;39;502;
TCP_HTTP-steamwebhelperexe;42;448;
TCP_Https-thunderbirdexe;30;17;
TCP_Https-utorrentexe;34;330;
TCP_HTTP-system;36;357;
TCP_HTTP-teamviewer_serviceexe;40;347;
TCP_HTTP-utorrentexe;147;1409;
TCP_HTTP-utorrentieexe;33;330;
TCP_icslap-;161;1406;
TCP_icslap-system;48;453;
TCP_Jabber-pidginexe;30;31;
TCP_JabberSsl-apsdaemonexe;30;157;
TCP_POP3tlsSSL-thunderbirdexe;30;193;
TCP_SMTPtlsSSL-thunderbirdexe;30;64;
TCP_SSH-puttyexe;30;6;
TCP_SSH-winscpexe;30;32;
TCP_TeamViewer-;30;95;
TCP_TeamViewer-system;30;48;
TCP_TeamViewer-teamviewer_serviceexe;30;90;
UDP_DhcPc-;30;44;
UDP_DhcPs-;48;420;
UDP_DhcPv6C-;30;17;
UDP_Dns-;4503;39961;
UDP_Https-;197;1721;
UDP_LLMNR-;4445;40133;
UDP_NATpmp-;30;172;
UDP_netbios-;44;428;
UDP_netbiosdgm-;83;452;
UDP_OnlineGames-;478;4375;
UDP_P2PBittorrent-;240;2064;
UDP_RTP-;30;120;
UDP_spotify-;30;172;
UDP_SSDP-;1222;10943;
UDP_STUN-;30;250;
UDP_TeamViewer-;30;82;
