sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;0;8;0;0;0;
udpllmnr;35690;736;8;0.979794652171526;0.999775897809401;0.98968443236648;
tcphttpsspotifyexe;0;0;845;0;0;0;
tcphttpssystem;4033;2810;217;0.589361391202689;0.948941176470588;0.727125214098981;
tcphttpsskypeexe;1621;119;34;0.931609195402299;0.979456193353474;0.954933726067747;
tcpsshwinscpexe;0;0;22;0;0;0;
40029tcpskypeexe;0;0;1;0;0;0;
40036udp;0;0;4;0;0;0;
tcphttpsonedriveexe;10;7;686;0.588235294117647;0.014367816091954;0.0280504908835905;
tcphttpssvchostexe;0;0;214;0;0;0;
40030udp;0;10;4;0;0;0;
43265udp;0;0;96;0;0;0;
udpspotify;0;0;46;0;0;0;
tcphttpsiexploreexe;881;64;1020;0.932275132275132;0.463440294581799;0.619114546732256;
tcphttpiexploreexe;65;13;1780;0.833333333333333;0.035230352303523;0.0676027041081643;
tcphttpsutorrentexe;0;0;43;0;0;0;
40024udp;0;0;8;0;0;0;
tcphttpchromeexe;0;0;749;0;0;0;
40023udp;0;1;0;0;0;0;
40029udp;1;0;13;1;0.0714285714285714;0.133333333333333;
4070tcpspotifyexe;0;0;37;0;0;0;
40003udp;0;0;18;0;0;0;
udpnatpmp;0;0;151;0;0;0;
udpstun;0;0;224;0;0;0;
udprtp;0;0;74;0;0;0;
8621udp;0;0;41;0;0;0;
50321udp;0;0;112;0;0;0;
udponlinegames;3756;42;105;0.988941548183254;0.972804972804973;0.980806893850372;
tcphttpavgmfapxexe;0;0;8;0;0;0;
tcphttpsystem;0;0;312;0;0;0;
udpnetbios;7;0;276;1;0.0247349823321555;0.0482758620689655;
tcphttp;11812;7233;197;0.620215279600945;0.983595636605879;0.760739357248664;
tcphttpfirefoxexe;0;0;1141;0;0;0;
8999udp;0;0;58;0;0;0;
tcppop3tlssslthunderbirdexe;0;0;11;0;0;0;
tcpicslapsystem;0;0;379;0;0;0;
1024udp;0;0;6;0;0;0;
12350tcpskypeexe;2;0;14;1;0.125;0.222222222222222;
45776tcputorrentexe;0;0;1;0;0;0;
tcphttpssteamwebhelperexe;0;0;2;0;0;0;
40020udp;0;0;22;0;0;0;
tcphttpsteamexe;0;0;365;0;0;0;
3800udp;0;0;36;0;0;0;
tcpjabberpidginexe;0;0;2;0;0;0;
udpp2pbittorrent;1812;1236;20;0.594488188976378;0.989082969432314;0.742622950819672;
tcphttpsitunesexe;6372;1460;216;0.813585291113381;0.967213114754098;0.88377253814147;
tcphttpsthunderbirdexe;0;0;7;0;0;0;
tcphttpsmsmpengexe;0;0;22;0;0;0;
9875udp;0;0;4;0;0;0;
tcphttps;2256;1345;1745;0.626492640933074;0.56385903524119;0.593528018942384;
40018udp;0;0;7;0;0;0;
tcphttpschromeexe;577;124;734;0.823109843081312;0.440122044241037;0.573558648111332;
udpssdp;9608;337;170;0.966113624937154;0.982614031499284;0.974293971505349;
udpdhcps;300;0;60;1;0.833333333333333;0.909090909090909;
tcphttpssteamexe;0;0;1;0;0;0;
tcphttponedriveexe;0;0;61;0;0;0;
udpdhcpc;15;2;22;0.882352941176471;0.405405405405405;0.555555555555556;
tcphttputorrentexe;69;31;1056;0.69;0.0613333333333333;0.11265306122449;
40028udp;0;0;6;0;0;0;
tcpjabbersslapsdaemonexe;18;0;16;1;0.529411764705882;0.692307692307692;
47993udp;0;0;57;0;0;0;
5353udp;0;0;168;0;0;0;
tcphttpsfirefoxexe;1670;168;98;0.908596300326442;0.944570135746606;0.926234054353855;
tcpsmtptlssslthunderbirdexe;0;0;3;0;0;0;
udphttps;1369;284;19;0.828191167574108;0.986311239193084;0.900361723117396;
tcphttpitunesexe;0;0;201;0;0;0;
tcphttpsteamwebhelperexe;0;0;374;0;0;0;
udpdhcpv6c;0;0;11;0;0;0;
tcpteamviewerteamviewerserviceexe;0;0;24;0;0;0;
udpnetbiosdgm;412;55;0;0.882226980728051;1;0.937428896473265;
tcpicslap;407;0;506;1;0.44578313253012;0.616666666666667;
11000udp;0;0;27;0;0;0;
udpdns;34333;211;966;0.993891848077814;0.97263378565965;0.983147917472044;
tcphttpsskypebrowserhostexe;0;0;19;0;0;0;
51654udp;1225;228;12;0.84308327598073;0.990299110751819;0.910780669144981;
11888udp;0;0;8;0;0;0;
tcphttpspotifyexe;4589;696;285;0.868306527909177;0.941526466967583;0.903435377497785;
3702udp;6;0;145;1;0.0397350993377483;0.0764331210191083;
6992udp;0;0;2;0;0;0;
40005udp;0;0;1;0;0;0;
40025udp;0;7;0;0;0;0;
tcpteamviewersystem;0;0;5;0;0;0;
tcphttpsgoogledrivesyncexe;0;0;2;0;0;0;
udpteamviewer;0;0;82;0;0;0;
tcpdnssystem;0;0;1;0;0;0;
tcphttputorrentieexe;0;0;270;0;0;0;
49001udp;0;0;48;0;0;0;
tcphttpteamviewerserviceexe;0;0;307;0;0;0;
tcpteamviewer;0;0;41;0;0;0;
