sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;0;8;0;0;0;
udpllmnr;22375;275;3;0.987858719646799;0.999865939762267;0.993826063782535;
tcphttpsspotifyexe;7;9;116;0.4375;0.0569105691056911;0.100719424460432;
tcphttpssystem;156;130;600;0.545454545454545;0.206349206349206;0.299424184261037;
tcphttpsskypeexe;1630;571;29;0.740572467060427;0.982519590114527;0.844559585492228;
tcpsshwinscpexe;0;0;13;0;0;0;
40036udp;0;1;4;0;0;0;
tcphttpsonedriveexe;311;119;34;0.723255813953488;0.901449275362319;0.80258064516129;
tcphttpssvchostexe;0;0;99;0;0;0;
40030udp;0;0;3;0;0;0;
43265udp;0;34;63;0;0;0;
udpspotify;107;13;0;0.891666666666667;1;0.94273127753304;
tcphttpsiexploreexe;847;101;20;0.893459915611814;0.976931949250288;0.933333333333333;
tcphttpiexploreexe;46;7;821;0.867924528301887;0.0530565167243368;0.1;
tcphttpsutorrentexe;0;0;37;0;0;0;
40024udp;0;0;4;0;0;0;
tcphttpchromeexe;1;10;339;0.0909090909090909;0.00294117647058824;0.0056980056980057;
40029udp;1;3;6;0.25;0.142857142857143;0.181818181818182;
4070tcpspotifyexe;53;0;15;1;0.779411764705882;0.87603305785124;
40003udp;0;0;13;0;0;0;
udpnatpmp;0;0;97;0;0;0;
udpstun;140;0;1;1;0.99290780141844;0.99644128113879;
udprtp;0;0;53;0;0;0;
8621udp;0;0;42;0;0;0;
50321udp;0;0;68;0;0;0;
udponlinegames;2357;43;22;0.982083333333333;0.990752416981925;0.986398828206738;
tcphttpavgmfapxexe;0;0;9;0;0;0;
tcphttpsystem;0;0;161;0;0;0;
udpnetbios;165;12;60;0.932203389830508;0.733333333333333;0.82089552238806;
tcphttp;6805;3069;199;0.689183714806563;0.97158766419189;0.806375162933997;
tcphttpfirefoxexe;0;0;652;0;0;0;
8999udp;0;0;41;0;0;0;
tcppop3tlssslthunderbirdexe;0;0;3;0;0;0;
tcpicslapsystem;0;0;238;0;0;0;
1024udp;0;0;8;0;0;0;
12350tcpskypeexe;0;0;13;0;0;0;
40020udp;0;0;18;0;0;0;
tcphttpsteamexe;0;0;223;0;0;0;
3800udp;0;0;31;0;0;0;
tcpjabberpidginexe;0;0;9;0;0;0;
udpp2pbittorrent;1159;503;16;0.697352587244284;0.986382978723404;0.817060274938315;
139tcpsystem;32;22;5;0.592592592592593;0.864864864864865;0.703296703296703;
tcphttpsitunesexe;4410;1173;7;0.789897904352499;0.998415213946117;0.882;
tcphttpsthunderbirdexe;0;0;5;0;0;0;
tcphttpsmsmpengexe;0;0;32;0;0;0;
9875udp;0;0;5;0;0;0;
tcphttps;1130;259;1436;0.813534917206624;0.44037412314887;0.571428571428571;
40018udp;0;0;7;0;0;0;
tcphttpschromeexe;601;115;79;0.839385474860335;0.883823529411765;0.861031518624642;
udpssdp;5929;78;123;0.987015148992842;0.979676140118969;0.983331951239738;
udpdhcps;218;9;6;0.960352422907489;0.973214285714286;0.966740576496674;
tcphttponedriveexe;0;0;44;0;0;0;
udpdhcpc;17;1;24;0.944444444444444;0.414634146341463;0.576271186440678;
tcphttputorrentexe;77;90;281;0.461077844311377;0.215083798882682;0.293333333333333;
40028udp;0;0;5;0;0;0;
47993udp;0;0;51;0;0;0;
tcpjabbersslapsdaemonexe;74;21;9;0.778947368421053;0.891566265060241;0.831460674157303;
5353udp;66;0;23;1;0.741573033707865;0.851612903225807;
tcphttpsfirefoxexe;787;128;30;0.860109289617486;0.96328029375765;0.908775981524249;
tcpsmtptlssslthunderbirdexe;0;0;5;0;0;0;
udphttps;909;91;9;0.909;0.990196078431373;0.947862356621481;
tcphttpitunesexe;0;0;122;0;0;0;
tcphttpsteamwebhelperexe;28;25;88;0.528301886792453;0.241379310344828;0.331360946745562;
udpdhcpv6c;0;0;12;0;0;0;
tcpteamviewerteamviewerserviceexe;3;3;17;0.5;0.15;0.230769230769231;
udpnetbiosdgm;278;2;0;0.992857142857143;1;0.996415770609319;
tcpicslap;596;152;23;0.796791443850267;0.962843295638126;0.871982443306511;
11000udp;0;0;28;0;0;0;
udpdns;21717;22;345;0.998987993927964;0.984362251835736;0.991621195863108;
tcphttpsskypebrowserhostexe;0;0;33;0;0;0;
51654udp;802;181;8;0.81586978636826;0.990123456790123;0.894590072504183;
11888udp;0;0;7;0;0;0;
tcphttpspotifyexe;2815;342;81;0.891669306303453;0.972030386740331;0.930117297207996;
3702udp;19;0;1;1;0.95;0.974358974358974;
6992udp;0;0;2;0;0;0;
40025udp;1;12;0;0.0769230769230769;1;0.142857142857143;
tcpteamviewersystem;0;0;7;0;0;0;
udpteamviewer;24;0;24;1;0.5;0.666666666666667;
139tcp;0;0;22;0;0;0;
tcphttputorrentieexe;0;0;175;0;0;0;
49001udp;0;0;37;0;0;0;
tcphttpteamviewerserviceexe;0;0;196;0;0;0;
tcpteamviewer;0;0;21;0;0;0;
