sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
udpdns;21634;22;454;0.998984115256742;0.979445852951829;0.989118507681053;
udpdhcpc;17;2;18;0.894736842105263;0.485714285714286;0.62962962962963;
tcpsmtptlsssl;0;0;47;0;0;0;
11000udp;0;0;22;0;0;0;
40003udp;0;0;13;0;0;0;
50321udp;0;0;68;0;0;0;
4070tcp;61;1;7;0.983870967741936;0.897058823529412;0.938461538461539;
udpnetbios;173;12;50;0.935135135135135;0.775784753363229;0.848039215686274;
udpssdp;5925;70;151;0.988323603002502;0.975148123765635;0.981691657691989;
tcppop3tlsssl;0;0;105;0;0;0;
40025udp;0;5;1;0;0;0;
40024udp;0;0;8;0;0;0;
udpllmnr;22368;274;4;0.98789859553043;0.999821205077776;0.993824143599769;
45776tcp;0;0;7;0;0;0;
udpnatpmp;0;0;104;0;0;0;
51654udp;796;164;7;0.829166666666667;0.991282689912827;0.903006239364719;
udpp2pbittorrent;1170;598;5;0.661764705882353;0.995744680851064;0.795107033639144;
12350tcp;3;0;12;1;0.2;0.333333333333333;
tcpjabberssl;65;32;12;0.670103092783505;0.844155844155844;0.747126436781609;
tcpssh;5;0;37;1;0.119047619047619;0.212765957446808;
tcpteamviewer;154;9;1;0.94478527607362;0.993548387096774;0.968553459119497;
40020udp;0;0;16;0;0;0;
40027udp;0;0;9;0;0;0;
40030udp;0;1;3;0;0;0;
1024udp;0;0;8;0;0;0;
40018udp;0;0;5;0;0;0;
udponlinegames;2359;45;18;0.981281198003328;0.992427429533025;0.986822840409956;
40036udp;0;0;4;0;0;0;
tcphttp;15302;95;1;0.993829966876664;0.999934653335947;0.996872964169381;
49001udp;0;0;34;0;0;0;
8621udp;0;0;42;0;0;0;
139tcp;133;0;0;1;1;1;
tcpjabber;0;0;15;0;0;0;
9875udp;0;0;5;0;0;0;
tcpicslap;850;0;12;1;0.986078886310905;0.992990654205608;
40023udp;0;0;1;0;0;0;
5353udp;99;0;16;1;0.860869565217391;0.925233644859813;
6992udp;0;0;2;0;0;0;
3800udp;0;0;30;0;0;0;
udpspotify;106;40;1;0.726027397260274;0.990654205607477;0.83794466403162;
11888udp;0;0;7;0;0;0;
udpnetbiosdgm;278;5;0;0.982332155477032;1;0.991087344028521;
40029tcp;0;0;3;0;0;0;
40029udp;1;20;8;0.0476190476190476;0.111111111111111;0.0666666666666667;
40028udp;0;0;3;0;0;0;
udpteamviewer;0;0;26;0;0;0;
udprtp;0;0;52;0;0;0;
8999udp;0;0;39;0;0;0;
udpstun;136;1;1;0.992700729927007;0.992700729927007;0.992700729927007;
tcphttps;59196;172;45;0.997102816332031;0.99924039094546;0.998170459240024;
43265udp;0;30;55;0;0;0;
tcpdns;0;0;11;0;0;0;
udphttps;914;81;8;0.918592964824121;0.991323210412148;0.953573291601461;
udpdhcps;216;1;10;0.995391705069124;0.955752212389381;0.975169300225734;
47993udp;0;0;44;0;0;0;
40005udp;0;0;1;0;0;0;
udpdhcpv6c;0;0;11;0;0;0;
3702udp;22;0;1;1;0.956521739130435;0.977777777777778;
