sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
6892udp;0;0;4;0;0;0;
5355udp;40116;855;0;0,979131580874277;1;0,98945576972881;
27019udp;2694;1448;1;0,650410429744085;0,999628942486085;0,788064940763493;
6882udp;0;0;12;0;0;0;
11000udp;0;0;27;0;0;0;
137udp;3;0;372;1;0,008;0,0158730158730159;
51413udp;165;82;439;0,668016194331984;0,27317880794702;0,387779083431257;
2869tcp;188;6;1411;0,969072164948454;0,117573483427142;0,209704406023424;
40027udp;0;0;7;0;0;0;
40028udp;0;0;4;0;0;0;
1024udp;0;0;6;0;0;0;
3478udp;0;0;246;0;0;0;
4070tcp;0;0;54;0;0;0;
22tcpssh;0;0;57;0;0;0;
8999udp;0;0;54;0;0;0;
5938udp;0;0;82;0;0;0;
3702udp;0;0;6;0;0;0;
45776tcp;0;0;6;0;0;0;
40030udp;0;0;3;0;0;0;
40029tcp;0;0;4;0;0;0;
547udpdhcpv6c;0;0;7;0;0;0;
80tcphttp;24841;4228;12;0,854552960198149;0,999517160906128;0,921367901784058;
40020udp;0;1;14;0;0;0;
5223tcpjabberssl;2;0;127;1;0,0155038759689922;0,0305343511450382;
138udp;472;51;0;0,902485659655832;1;0,948743718592965;
443udphttps;1535;302;179;0,835601524224279;0,895565927654609;0,864545198535624;
995tcp;0;0;193;0;0;0;
443tcphttps;106884;569;53;0,994704661572967;0,99950438108419;0,997098745277298;
67udpdhcps;134;0;193;1;0,409785932721713;0,581344902386117;
5353udp;0;0;168;0;0;0;
27020udp;0;0;361;0;0;0;
465tcp;0;0;64;0;0;0;
40025udp;0;11;1;0;0;0;
67udpdhcpc;16;2;22;0,888888888888889;0,421052631578947;0,571428571428571;
27021udp;0;0;158;0;0;0;
40036udp;0;0;4;0;0;0;
27018udp;0;0;467;0;0;0;
5351udp;0;0;172;0;0;0;
57621udp;168;0;0;1;1;1;
5005udp;0;0;12;0;0;0;
53tcpdns;0;0;17;0;0;0;
6969tcp;0;0;220;0;0;0;
27036udp;0;0;13;0;0;0;
5938tcp;0;0;225;0;0;0;
11888udp;0;0;7;0;0;0;
1900udp;10685;691;223;0,939258087201125;0,97955628896223;0,958984024412134;
49001udp;0;0;38;0;0;0;
5222tcpjabber;0;0;31;0;0;0;
9875udp;0;0;3;0;0;0;
40023udp;1;13;0;0,0714285714285714;1;0,133333333333333;
40024udp;0;0;5;0;0;0;
40018udp;0;0;5;0;0;0;
40003udp;1;0;18;1;0,0526315789473684;0,1;
12350tcp;1;0;19;1;0,05;0,0952380952380952;
6889udp;0;0;289;0;0;0;
40029udp;0;3;14;0;0;0;
47993udp;0;0;68;0;0;0;
53udpdns;39200;1790;310;0,956330812393267;0,992153885092382;0,973913043478261;
3128tcp;54;84;2326;0,391304347826087;0,0226890756302521;0,0428911834789515;
27017udp;0;0;452;0;0;0;
5004udp;0;0;21;0;0;0;
6881udp;262;156;596;0,626794258373206;0,305361305361305;0,410658307210031;
6992udp;0;0;1;0;0;0;
50321udp;0;0;104;0;0;0;
139tcp;0;0;94;0;0;0;
43265udp;0;0;119;0;0;0;
51654udp;863;371;371;0,69935170178282;0,69935170178282;0,69935170178282;
8621udp;0;0;39;0;0;0;
3800udp;0;0;33;0;0;0;
