sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
6892udp;0;0;3;0;0;0;
3128tcpspotifyexe;0;0;36;0;0;0;
443tcphttpsskypeexe;2402;555;40;0,812309773419006;0,983619983619984;0,88979440637155;
5355udp;35685;574;0;0,984169447585427;1;0,992021572334038;
80tcphttpiexploreexe;82;9;1785;0,901098901098901;0,0439207284413498;0,083758937691522;
443tcphttpssvchostexe;0;0;220;0;0;0;
80tcphttputorrentexe;52;30;700;0,634146341463415;0,0691489361702128;0,124700239808153;
27019udp;2369;1264;34;0,652078172309386;0,985851019558885;0,784956925115971;
465tcpthunderbirdexe;0;0;7;0;0;0;
3128tcpsteamwebhelperexe;31;23;286;0,574074074074074;0,0977917981072555;0,16711590296496;
6882udp;0;0;13;0;0;0;
11000udp;0;0;21;0;0;0;
80tcphttpsteamexe;0;0;353;0;0;0;
137udp;19;1;199;0,95;0,0871559633027523;0,159663865546218;
22tcpsshwinscpexe;0;0;15;0;0;0;
51413udp;151;68;382;0,689497716894977;0,283302063789869;0,401595744680851;
40027udp;0;0;12;0;0;0;
2869tcp;653;1;363;0,998470948012232;0,642716535433071;0,782035928143712;
40028udp;0;0;1;0;0;0;
1024udp;0;0;3;0;0;0;
3478udp;0;0;110;0;0;0;
8999udp;0;0;48;0;0;0;
80tcphttpitunesexe;0;0;183;0;0;0;
5938udp;0;0;47;0;0;0;
3702udp;4;0;128;1;0,0303030303030303;0,0588235294117647;
443tcphttpsitunesexe;5988;1445;125;0,805596663527512;0,979551774905938;0,88409862690093;
12350tcpskypeexe;0;0;10;0;0;0;
995tcpthunderbirdexe;0;0;8;0;0;0;
40030udp;0;12;0;0;0;0;
547udpdhcpv6c;0;0;11;0;0;0;
80tcphttp;11058;7488;208;0,596247169200906;0,981537369075093;0,741848919898028;
40020udp;0;0;16;0;0;0;
138udp;421;13;0;0,970046082949309;1;0,984795321637427;
443udphttps;1433;192;15;0,881846153846154;0,989640883977901;0,932639114871461;
4070tcpspotifyexe;0;0;35;0;0;0;
443tcphttps;2088;900;2173;0,698795180722892;0,490025815536259;0,576079459235757;
6969tcputorrentexe;0;0;197;0;0;0;
80tcphttpsystem;0;0;71;0;0;0;
5938tcpteamviewerserviceexe;0;0;20;0;0;0;
67udpdhcps;323;2;57;0,993846153846154;0,85;0,916312056737589;
5353udp;0;0;154;0;0;0;
443tcphttpschromeexe;1184;257;808;0,821651630811936;0,594377510040161;0,68977570637926;
27020udp;0;0;336;0;0;0;
3128tcpchromeexe;26;24;619;0,52;0,0403100775193798;0,0748201438848921;
80tcphttpteamviewerserviceexe;0;0;310;0;0;0;
67udpdhcpc;16;2;26;0,888888888888889;0,380952380952381;0,533333333333333;
443tcphttpsgoogledrivesyncexe;0;0;8;0;0;0;
5223tcpjabbersslapsdaemonexe;20;0;24;1;0,454545454545455;0,625;
80tcphttpspotifyexe;4607;516;236;0,899277766933437;0,951269874045013;0,924543447722256;
27021udp;0;0;157;0;0;0;
443tcphttpsspotifyexe;0;6;482;0;0;0;
40036udp;0;1;2;0;0;0;
443tcphttpsmsmpengexe;0;0;25;0;0;0;
3128tcpsystem;0;0;197;0;0;0;
27018udp;11;47;424;0,189655172413793;0,0252873563218391;0,0446247464503043;
5351udp;0;0;164;0;0;0;
40005udp;0;0;1;0;0;0;
57621udp;159;0;0;1;1;1;
80tcphttponedriveexe;0;0;61;0;0;0;
5005udp;0;0;24;0;0;0;
5938tcpsystem;0;0;5;0;0;0;
27036udp;0;0;9;0;0;0;
5938tcp;0;0;65;0;0;0;
11888udp;0;0;5;0;0;0;
1900udp;9545;507;171;0,949562276163948;0,982400164676822;0,965702144880615;
443tcphttpssteamwebhelperexe;0;0;7;0;0;0;
443tcphttpsfirefoxexe;2020;364;137;0,847315436241611;0,936485859990728;0,889671878440872;
49001udp;0;0;40;0;0;0;
9875udp;0;0;4;0;0;0;
40023udp;0;0;1;0;0;0;
80tcphttputorrentieexe;0;0;272;0;0;0;
40024udp;0;0;7;0;0;0;
443tcphttpsthunderbirdexe;0;0;7;0;0;0;
22tcpsshputtyexe;0;0;1;0;0;0;
443tcphttpsutorrentexe;0;0;25;0;0;0;
40018udp;0;2;2;0;0;0;
40003udp;0;0;13;0;0;0;
6889udp;0;0;258;0;0;0;
40029udp;1;17;13;0,0555555555555556;0,0714285714285714;0,0625;
47993udp;0;0;38;0;0;0;
443tcphttpssteamexe;0;0;1;0;0;0;
53udpdns;34670;155;447;0,995549174443647;0,987271122248484;0,991392868376655;
3128tcp;0;0;718;0;0;0;
53tcpdnssystem;0;0;8;0;0;0;
27017udp;17;52;409;0,246376811594203;0,039906103286385;0,0686868686868687;
45776tcputorrentexe;0;0;1;0;0;0;
443tcphttpsskypebrowserhostexe;0;0;43;0;0;0;
443tcphttpssystem;2683;2263;647;0,542458552365548;0,805705705705706;0,648380860318995;
5004udp;0;0;33;0;0;0;
443tcphttpsiexploreexe;887;114;626;0,886113886113886;0,586252478519498;0,705648369132856;
6881udp;573;890;115;0,391660970608339;0,832848837209302;0,532775453277545;
6992udp;0;0;1;0;0;0;
50321udp;0;0;91;0;0;0;
2869tcpsystem;0;0;298;0;0;0;
80tcphttpavgmfapxexe;0;0;10;0;0;0;
443tcphttpsonedriveexe;84;3;412;0,96551724137931;0,169354838709677;0,288164665523156;
40029tcpskypeexe;0;0;2;0;0;0;
