sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;30;28;
11888_UDP-;30;8;
12350_TCP-skypeexe;30;39;
137_UDP-;96;376;
138_UDP-;114;421;
139_TCP-;30;22;
139_TCP-system;45;153;
1900_UDP-;2449;9716;
22_TCP_SSH-puttyexe;30;6;
22_TCP_SSH-winscpexe;30;32;
27017_UDP-;127;430;
27018_UDP-;130;441;
27019_UDP-;621;2405;
27020_UDP-;96;339;
27021_UDP-;46;158;
27036_UDP-;30;17;
2869_TCP-;295;1270;
2869_TCP-system;100;401;
3128_TCP-;183;748;
3128_TCP-chromeexe;183;761;
3128_TCP-spotifyexe;30;46;
3128_TCP-steamwebhelperexe;107;382;
3128_TCP-system;61;210;
3478_UDP-;57;223;
3702_UDP-;65;215;
3800_UDP-;30;36;
40003_UDP-;30;23;
40005_UDP-;30;1;
40018_UDP-;30;9;
40020_UDP-;30;32;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;30;26;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;42;163;
43265_UDP-;30;120;
443_TCP_Https-;3007;12590;
443_TCP_Https-chromeexe;2381;9771;
443_TCP_Https-firefoxexe;4208;16625;
443_TCP_Https-googledrivesyncexe;30;21;
443_TCP_Https-iexploreexe;2165;8959;
443_TCP_Https-itunesexe;2230;8947;
443_TCP_Https-mshtaexe;30;4;
443_TCP_Https-msmpengexe;30;38;
443_TCP_Https-onedriveexe;335;1369;
443_TCP_Https-skypebrowserhostexe;147;624;
443_TCP_Https-skypeexe;1155;4580;
443_TCP_Https-spotifyexe;1342;5087;
443_TCP_Https-steamexe;30;33;
443_TCP_Https-steamwebhelperexe;30;24;
443_TCP_Https-svchostexe;122;528;
443_TCP_Https-system;6328;25621;
443_TCP_Https-thunderbirdexe;30;17;
443_TCP_Https-utorrentexe;73;291;
443_UDP_Https-;372;1546;
45776_TCP-utorrentexe;30;13;
465_TCP-thunderbirdexe;30;64;
47993_UDP-;30;68;
49001_UDP-;30;54;
5004_UDP-;30;41;
5005_UDP-;30;40;
50321_UDP-;30;114;
51413_UDP-;132;591;
51654_UDP-;320;1248;
5222_TCP_Jabber-pidginexe;30;31;
5223_TCP_JabberSsl-apsdaemonexe;38;149;
53_TCP_Dns-system;30;17;
53_UDP_Dns-;8870;35602;
5351_UDP-;36;166;
5353_UDP-;51;211;
5355_UDP-;8885;35685;
547_UDP_DhcPv6C-;30;17;
57621_UDP-;47;153;
5938_TCP-;30;95;
5938_TCP-system;30;48;
5938_TCP-teamviewer_serviceexe;30;90;
5938_UDP-;30;82;
67_UDP_DhcPc-;30;44;
67_UDP_DhcPs-;76;392;
6881_UDP-;230;828;
6882_UDP-;30;14;
6889_UDP-;75;292;
6892_UDP-;30;4;
6969_TCP-utorrentexe;53;197;
6992_UDP-;30;2;
80_TCP_HTTP-;2917;11577;
80_TCP_HTTP-avgmfapxexe;30;10;
80_TCP_HTTP-firefoxexe;305;1182;
80_TCP_HTTP-iexploreexe;466;1950;
80_TCP_HTTP-itunesexe;58;209;
80_TCP_HTTP-onedriveexe;30;61;
80_TCP_HTTP-spotifyexe;1221;4943;
80_TCP_HTTP-steamexe;97;444;
80_TCP_HTTP-system;30;92;
80_TCP_HTTP-teamviewer_serviceexe;78;309;
80_TCP_HTTP-utorrentexe;242;1064;
80_TCP_HTTP-utorrentieexe;74;289;
8621_UDP-;30;42;
8999_UDP-;30;58;
9875_UDP-;30;5;
995_TCP-thunderbirdexe;40;183;
