sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
3128tcpsystem;0;0;206;0;0;0;
443tcphttpssystem;2353;1945;174;0.547463936714751;0.931143648595172;0.68952380952381;
80tcphttpspotifyexe;4592;482;174;0.905005912495073;0.963491397398238;0.933333333333333;
80tcphttpiexploreexe;76;12;1827;0.863636363636364;0.0399369416710457;0.0763435459568056;
3128tcpchromeexe;0;0;718;0;0;0;
11000udp;0;0;28;0;0;0;
45776tcputorrentexe;0;0;1;0;0;0;
40003udp;0;0;12;0;0;0;
80tcphttputorrentexe;7;40;689;0.148936170212766;0.0100574712643678;0.018842530282638;
443tcphttpsskypebrowserhostexe;0;0;46;0;0;0;
3128tcpspotifyexe;0;0;38;0;0;0;
465tcpthunderbirdexe;0;0;6;0;0;0;
5938tcpteamviewerserviceexe;0;0;29;0;0;0;
50321udp;0;0;83;0;0;0;
6892udp;0;0;3;0;0;0;
5005udp;0;0;24;0;0;0;
51413udp;132;107;326;0.552301255230126;0.2882096069869;0.378766140602583;
995tcpthunderbirdexe;0;0;10;0;0;0;
40025udp;0;8;1;0;0;0;
547udpdhcpv6c;0;0;17;0;0;0;
40024udp;0;2;7;0;0;0;
6889udp;0;0;224;0;0;0;
27018udp;11;47;430;0.189655172413793;0.0249433106575964;0.0440881763527054;
53udpdns;34422;382;603;0.989024250086197;0.982783725910064;0.985894112761174;
443tcphttpsutorrentexe;0;0;30;0;0;0;
139tcpsystem;0;0;30;0;0;0;
80tcphttpsteamexe;0;0;331;0;0;0;
80tcphttpavgmfapxexe;0;0;10;0;0;0;
443tcphttpssvchostexe;0;0;238;0;0;0;
443tcphttpsonedriveexe;69;1;707;0.985714285714286;0.0889175257731959;0.163120567375887;
5938tcpsystem;0;0;9;0;0;0;
51654udp;1216;494;13;0.711111111111111;0.989422294548413;0.827492344334808;
80tcphttpfirefoxexe;0;0;1122;0;0;0;
5004udp;0;0;29;0;0;0;
27021udp;0;0;158;0;0;0;
80tcphttputorrentieexe;0;0;288;0;0;0;
40020udp;0;0;18;0;0;0;
27036udp;0;0;8;0;0;0;
443tcphttpssteamwebhelperexe;0;0;4;0;0;0;
1900udp;9461;379;185;0.961483739837398;0.980821065726726;0.971056142871805;
2869tcpsystem;0;0;401;0;0;0;
443tcphttpsfirefoxexe;3282;222;113;0.936643835616438;0.966715758468336;0.951442238005508;
40027udp;0;1;10;0;0;0;
40030udp;0;0;3;0;0;0;
1024udp;0;0;3;0;0;0;
27020udp;0;0;339;0;0;0;
40018udp;0;0;3;0;0;0;
443tcphttpsthunderbirdexe;0;0;4;0;0;0;
40036udp;0;0;2;0;0;0;
443tcphttpsmsmpengexe;0;0;23;0;0;0;
4070tcpspotifyexe;0;0;47;0;0;0;
49001udp;0;0;32;0;0;0;
27019udp;2369;1260;36;0.652796913750344;0.985031185031185;0.785217103082532;
8621udp;0;0;9;0;0;0;
443udphttps;1373;384;160;0.781445645987479;0.895629484670581;0.834650455927052;
22tcpsshwinscpexe;0;0;11;0;0;0;
3478udp;0;0;221;0;0;0;
9875udp;0;0;4;0;0;0;
57621udp;153;0;0;1;1;1;
40023udp;0;8;1;0;0;0;
5353udp;0;0;184;0;0;0;
80tcphttpteamviewerserviceexe;0;0;309;0;0;0;
67udpdhcps;273;2;94;0.992727272727273;0.743869209809264;0.850467289719626;
80tcphttp;11070;8027;217;0.579672199821962;0.980774342163551;0.728672985781991;
6992udp;0;0;1;0;0;0;
3800udp;0;0;10;0;0;0;
443tcphttpsskypeexe;1582;161;35;0.907630522088353;0.978354978354978;0.941666666666667;
443tcphttpsspotifyexe;0;2;711;0;0;0;
5223tcpjabbersslapsdaemonexe;20;0;23;1;0.465116279069767;0.634920634920635;
80tcphttpitunesexe;0;0;192;0;0;0;
5351udp;0;0;166;0;0;0;
6969tcputorrentexe;0;0;197;0;0;0;
443tcphttpsgoogledrivesyncexe;0;0;6;0;0;0;
80tcphttpsystem;0;0;80;0;0;0;
27017udp;17;52;412;0.246376811594203;0.0396270396270396;0.0682730923694779;
11888udp;0;0;2;0;0;0;
67udpdhcpc;18;3;22;0.857142857142857;0.45;0.590163934426229;
443tcphttpschromeexe;971;164;595;0.855506607929515;0.620051085568327;0.718992965568308;
40029udp;0;0;16;0;0;0;
40028udp;0;0;3;0;0;0;
6882udp;0;0;10;0;0;0;
3128tcpsteamwebhelperexe;0;0;328;0;0;0;
3128tcp;0;0;740;0;0;0;
8999udp;0;0;35;0;0;0;
6881udp;552;768;64;0.418181818181818;0.896103896103896;0.570247933884298;
443tcphttpsiexploreexe;1096;117;671;0.903544929925804;0.620260328239955;0.735570469798658;
12350tcpskypeexe;0;0;15;0;0;0;
53tcpdnssystem;0;0;6;0;0;0;
5355udp;35685;637;0;0.982462419470293;1;0.991153637840765;
5938tcp;0;0;68;0;0;0;
43265udp;0;0;113;0;0;0;
137udp;29;1;173;0.966666666666667;0.143564356435644;0.25;
2869tcp;409;0;571;1;0.41734693877551;0.588912886969043;
5938udp;0;0;49;0;0;0;
443tcphttpsitunesexe;6070;1397;73;0.812910137940271;0.988116555428944;0.89199118295371;
80tcphttponedriveexe;0;0;61;0;0;0;
47993udp;0;0;67;0;0;0;
40005udp;0;1;1;0;0;0;
138udp;421;29;0;0.935555555555556;1;0.966704936854191;
3702udp;4;0;129;1;0.0300751879699248;0.0583941605839416;
5222tcpjabberpidginexe;0;0;2;0;0;0;
443tcphttps;2361;1493;1899;0.612610275038921;0.554225352112676;0.581957111165886;
