sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;0;9;0;0;0;
547udpdhcpv6c;0;0;15;0;0;0;
995tcp;0;0;174;0;0;0;
27019udp;2375;1270;1;0.651577503429355;0.999579124579125;0.788905497425677;
40036udp;0;1;3;0;0;0;
5351udp;0;0;159;0;0;0;
40030udp;0;40;3;0;0;0;
6889udp;0;0;264;0;0;0;
6892udp;0;0;4;0;0;0;
27021udp;0;0;143;0;0;0;
43265udp;0;0;76;0;0;0;
5223tcpjabberssl;2;0;77;1;0.0253164556962025;0.0493827160493827;
12350tcp;0;0;29;0;0;0;
138udp;421;72;0;0.85395537525355;1;0.921225382932166;
67udpdhcps;303;10;46;0.968051118210863;0.868194842406877;0.915407854984894;
40024udp;0;0;8;0;0;0;
40029udp;0;3;9;0;0;0;
40003udp;0;0;11;0;0;0;
67udpdhcpc;17;3;27;0.85;0.386363636363636;0.53125;
8621udp;0;0;26;0;0;0;
5355udp;35681;638;0;0.982433437043971;1;0.991138888888889;
50321udp;0;0;97;0;0;0;
6969tcp;0;0;205;0;0;0;
53tcpdns;0;0;5;0;0;0;
8999udp;0;0;51;0;0;0;
443udphttps;1466;180;7;0.890643985419198;0.995247793618466;0.940044886181469;
1900udp;9477;534;219;0.946658675456997;0.977413366336634;0.961790226822956;
1024udp;0;0;5;0;0;0;
5938tcp;39;2;147;0.951219512195122;0.209677419354839;0.343612334801762;
40020udp;0;0;24;0;0;0;
3800udp;0;0;24;0;0;0;
9875udp;0;0;5;0;0;0;
40018udp;0;2;3;0;0;0;
443tcphttps;95102;382;51;0.995999329730636;0.999464021102855;0.997728667572402;
27017udp;0;0;386;0;0;0;
3128tcp;221;245;1150;0.474248927038627;0.161196207148067;0.240609689711486;
40028udp;0;0;3;0;0;0;
27036udp;0;0;9;0;0;0;
47993udp;0;0;46;0;0;0;
5353udp;0;0;130;0;0;0;
51413udp;161;68;202;0.703056768558952;0.443526170798898;0.543918918918919;
53udpdns;34708;144;412;0.995868242855503;0.988268792710706;0.99205396444292;
2869tcp;853;0;292;1;0.744978165938865;0.853853853853854;
45776tcp;0;0;3;0;0;0;
57621udp;167;0;0;1;1;1;
4070tcp;0;0;91;0;0;0;
11000udp;0;0;24;0;0;0;
40029tcp;0;0;2;0;0;0;
5222tcpjabber;0;0;12;0;0;0;
22tcpssh;0;0;41;0;0;0;
51654udp;1218;363;19;0.770398481973435;0.98464025869038;0.86444286728176;
11888udp;0;0;6;0;0;0;
3702udp;3;0;106;1;0.0275229357798165;0.0535714285714286;
27018udp;0;1;407;0;0;0;
6992udp;0;0;2;0;0;0;
6882udp;0;0;13;0;0;0;
137udp;3;3;247;0.5;0.012;0.0234375;
5005udp;0;0;28;0;0;0;
5938udp;0;0;42;0;0;0;
5004udp;0;0;30;0;0;0;
80tcphttp;22100;1762;12;0.926158746123544;0.999457308248915;0.961412972549702;
3478udp;0;0;114;0;0;0;
139tcp;0;0;52;0;0;0;
6881udp;527;687;185;0.434102141680395;0.740168539325843;0.547248182762202;
465tcp;0;0;64;0;0;0;
49001udp;0;0;42;0;0;0;
27020udp;0;0;311;0;0;0;
