sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
3128tcpsystem;0;0;79;0;0;0;
80tcphttpspotifyexe;2859;249;119;0.91988416988417;0.960040295500336;0.939533355241538;
80tcphttpiexploreexe;39;5;988;0.886363636363636;0.0379746835443038;0.0728291316526611;
443tcphttpssystem;392;290;643;0.574780058651026;0.378743961352657;0.456610366919045;
22tcpsshputtyexe;0;0;1;0;0;0;
3128tcpchromeexe;45;47;248;0.489130434782609;0.15358361774744;0.233766233766234;
11000udp;0;0;24;0;0;0;
45776tcputorrentexe;0;0;2;0;0;0;
40003udp;0;0;12;0;0;0;
80tcphttputorrentexe;183;107;286;0.631034482758621;0.390191897654584;0.482213438735178;
443tcphttpsskypebrowserhostexe;0;0;32;0;0;0;
3128tcpspotifyexe;0;0;20;0;0;0;
465tcpthunderbirdexe;0;0;5;0;0;0;
5938tcpteamviewerserviceexe;1;0;32;1;0.0303030303030303;0.0588235294117647;
50321udp;0;0;70;0;0;0;
6892udp;0;0;3;0;0;0;
5005udp;0;0;22;0;0;0;
51413udp;122;275;39;0.307304785894207;0.757763975155279;0.437275985663082;
995tcpthunderbirdexe;0;0;5;0;0;0;
40025udp;0;2;1;0;0;0;
547udpdhcpv6c;0;0;7;0;0;0;
40024udp;1;6;7;0.142857142857143;0.125;0.133333333333333;
6889udp;0;0;148;0;0;0;
27018udp;9;36;0;0.2;1;0.333333333333333;
53udpdns;21720;17;298;0.999217923356489;0.986465619038968;0.992800822763113;
443tcphttpsutorrentexe;0;0;24;0;0;0;
139tcpsystem;76;21;0;0.783505154639175;1;0.878612716763006;
80tcphttpsteamexe;0;0;204;0;0;0;
80tcphttpavgmfapxexe;0;0;9;0;0;0;
443tcphttpssvchostexe;0;0;82;0;0;0;
443tcphttpsonedriveexe;261;106;32;0.711171662125341;0.890784982935154;0.790909090909091;
5938tcpsystem;0;0;10;0;0;0;
51654udp;760;185;4;0.804232804232804;0.994764397905759;0.889409011117613;
80tcphttpfirefoxexe;0;0;665;0;0;0;
5004udp;0;0;28;0;0;0;
27021udp;0;0;4;0;0;0;
80tcphttputorrentieexe;0;0;157;0;0;0;
40020udp;0;0;11;0;0;0;
27036udp;0;0;9;0;0;0;
443tcphttpssteamwebhelperexe;0;0;6;0;0;0;
1900udp;5926;94;122;0.984385382059801;0.979828042328042;0.982101425256878;
2869tcpsystem;0;0;161;0;0;0;
443tcphttpsfirefoxexe;899;102;35;0.898101898101898;0.962526766595289;0.929198966408269;
40027udp;0;0;9;0;0;0;
40030udp;0;0;1;0;0;0;
1024udp;0;0;8;0;0;0;
27020udp;0;0;7;0;0;0;
40018udp;0;8;4;0;0;0;
443tcphttpsthunderbirdexe;0;0;1;0;0;0;
40036udp;0;0;3;0;0;0;
443tcphttpsmsmpengexe;0;0;29;0;0;0;
4070tcpspotifyexe;56;0;20;1;0.736842105263158;0.848484848484848;
49001udp;0;0;33;0;0;0;
27019udp;1217;0;13;1;0.989430894308943;0.994687372292603;
8621udp;0;0;38;0;0;0;
443udphttps;906;127;13;0.877057115198451;0.985854189336235;0.92827868852459;
139tcp;0;0;21;0;0;0;
22tcpsshwinscpexe;0;0;15;0;0;0;
3478udp;128;0;1;1;0.992248062015504;0.996108949416342;
9875udp;0;0;5;0;0;0;
57621udp;108;0;0;1;1;1;
40023udp;0;0;1;0;0;0;
5353udp;65;0;12;1;0.844155844155844;0.915492957746479;
80tcphttpteamviewerserviceexe;0;0;37;0;0;0;
67udpdhcps;218;1;6;0.995433789954338;0.973214285714286;0.984198645598194;
80tcphttp;6748;3426;220;0.663259288382151;0.968427095292767;0.787306031968265;
6992udp;0;0;2;0;0;0;
3800udp;0;0;35;0;0;0;
443tcphttpsskypeexe;1599;555;24;0.742339832869081;0.985212569316081;0.846703733121525;
443tcphttpsspotifyexe;1;2;147;0.333333333333333;0.00675675675675676;0.0132450331125828;
5223tcpjabbersslapsdaemonexe;66;30;8;0.6875;0.891891891891892;0.776470588235294;
80tcphttpitunesexe;0;0;108;0;0;0;
5351udp;0;0;109;0;0;0;
6969tcputorrentexe;0;0;128;0;0;0;
443tcphttpsgoogledrivesyncexe;0;0;4;0;0;0;
80tcphttpsystem;0;0;37;0;0;0;
27017udp;0;0;13;0;0;0;
11888udp;0;0;7;0;0;0;
67udpdhcpc;12;2;16;0.857142857142857;0.428571428571429;0.571428571428571;
443tcphttpschromeexe;587;132;174;0.816411682892907;0.771353482260184;0.793243243243243;
40029udp;0;0;10;0;0;0;
40028udp;0;0;2;0;0;0;
6882udp;0;0;9;0;0;0;
3128tcpsteamwebhelperexe;38;32;57;0.542857142857143;0.4;0.460606060606061;
3128tcp;0;0;389;0;0;0;
8999udp;0;0;39;0;0;0;
6881udp;411;409;53;0.501219512195122;0.885775862068966;0.64018691588785;
443tcphttpsiexploreexe;779;105;39;0.881221719457014;0.952322738386308;0.915393654524089;
12350tcpskypeexe;0;0;19;0;0;0;
53tcpdnssystem;0;0;2;0;0;0;
5355udp;22356;281;0;0.987586694349958;1;0.993754584046407;
5938tcp;0;0;18;0;0;0;
43265udp;0;11;64;0;0;0;
137udp;175;6;55;0.966850828729282;0.760869565217391;0.851581508515815;
2869tcp;537;149;17;0.782798833819242;0.969314079422383;0.866129032258064;
5938udp;0;0;29;0;0;0;
443tcphttpsitunesexe;4575;1250;11;0.785407725321888;0.997601395551679;0.878878109691672;
80tcphttponedriveexe;0;0;39;0;0;0;
47993udp;0;0;42;0;0;0;
138udp;251;6;0;0.976653696498054;1;0.988188976377953;
3702udp;21;0;16;1;0.567567567567568;0.724137931034483;
