sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
11000udp;0;0;28;0;0;0;
40003udp;0;0;10;0;0;0;
6969tcp;0;0;135;0;0;0;
50321udp;0;0;66;0;0;0;
6892udp;0;0;4;0;0;0;
4070tcp;50;0;11;1;0.819672131147541;0.900900900900901;
5005udp;0;0;27;0;0;0;
51413udp;119;170;65;0.411764705882353;0.646739130434783;0.503171247357294;
547udpdhcpv6c;0;0;14;0;0;0;
465tcp;0;0;40;0;0;0;
40024udp;0;4;5;0;0;0;
6889udp;0;0;160;0;0;0;
45776tcp;0;0;2;0;0;0;
27018udp;6;30;0;0.166666666666667;1;0.285714285714286;
53udpdns;21710;14;218;0.999355551463819;0.990058372856622;0.994685237789792;
51654udp;765;224;3;0.773508594539939;0.99609375;0.87080250426864;
995tcp;0;0;110;0;0;0;
53tcpdns;0;0;1;0;0;0;
5004udp;0;0;15;0;0;0;
12350tcp;1;0;14;1;0.0666666666666667;0.125;
27021udp;0;0;4;0;0;0;
27036udp;0;0;9;0;0;0;
40020udp;0;0;21;0;0;0;
1900udp;5916;82;124;0.986328776258753;0.979470198675497;0.982887522844326;
40027udp;0;0;5;0;0;0;
40030udp;0;10;3;0;0;0;
1024udp;0;0;8;0;0;0;
27020udp;0;0;5;0;0;0;
40018udp;0;1;3;0;0;0;
40036udp;0;0;4;0;0;0;
49001udp;0;0;31;0;0;0;
27019udp;1234;0;13;1;0.989574979951884;0.994760177347844;
8621udp;0;0;33;0;0;0;
443udphttps;922;162;8;0.850553505535055;0.991397849462366;0.915590863952334;
139tcp;101;0;0;1;1;1;
5222tcpjabber;0;0;6;0;0;0;
3478udp;124;7;1;0.946564885496183;0.992;0.96875;
9875udp;0;0;4;0;0;0;
40023udp;0;0;1;0;0;0;
57621udp;106;2;0;0.981481481481482;1;0.990654205607477;
5353udp;16;0;55;1;0.225352112676056;0.367816091954023;
22tcpssh;0;0;49;0;0;0;
67udpdhcps;215;0;11;1;0.951327433628319;0.975056689342404;
80tcphttp;13738;287;11;0.979536541889483;0.99919994181395;0.989270540793548;
6992udp;0;0;2;0;0;0;
3800udp;0;0;33;0;0;0;
5223tcpjabberssl;64;26;12;0.711111111111111;0.842105263157895;0.771084337349398;
5351udp;0;0;109;0;0;0;
27017udp;0;0;10;0;0;0;
11888udp;0;0;7;0;0;0;
40029tcp;0;0;2;0;0;0;
67udpdhcpc;15;0;19;1;0.441176470588235;0.612244897959184;
40029udp;0;0;17;0;0;0;
40028udp;0;0;2;0;0;0;
6882udp;0;0;14;0;0;0;
3128tcp;248;87;128;0.740298507462687;0.659574468085106;0.69760900140647;
8999udp;0;0;41;0;0;0;
6881udp;395;446;54;0.469678953626635;0.879732739420935;0.612403100775194;
5355udp;22358;284;0;0.987456938433001;1;0.993688888888889;
5938tcp;137;6;3;0.958041958041958;0.978571428571429;0.968197879858657;
43265udp;0;1;70;0;0;0;
137udp;173;7;52;0.961111111111111;0.768888888888889;0.854320987654321;
2869tcp;841;1;16;0.998812351543943;0.981330221703617;0.989994114184815;
47993udp;0;0;53;0;0;0;
40005udp;0;0;1;0;0;0;
138udp;251;8;0;0.969111969111969;1;0.984313725490196;
3702udp;4;0;8;1;0.333333333333333;0.5;
443tcphttps;59247;165;34;0.997222783276106;0.999426460417334;0.998323405761081;
