sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;30;28;
11888_UDP;30;8;
12350_TCP;38;31;
137_UDP;229;243;
138_UDP;284;251;
139_TCP;149;101;
1900_UDP;6080;6085;
22_TCP_SSH;39;59;
27017_UDP;293;264;
27018_UDP;285;286;
27019_UDP;1514;1512;
27020_UDP;223;212;
27021_UDP;114;90;
27036_UDP;30;17;
2869_TCP;1054;1012;
3128_TCP;1327;1384;
3478_UDP;155;125;
3702_UDP;133;147;
3800_UDP;30;36;
40003_UDP;30;23;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;30;32;
40023_UDP;30;1;
40024_UDP;30;10;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;30;26;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;96;109;
43265_UDP;72;78;
443_TCP_Https;59491;59311;
443_UDP_Https;982;936;
45776_TCP;30;13;
465_TCP;54;40;
47993_UDP;45;53;
49001_UDP;47;37;
5004_UDP;33;38;
5005_UDP;31;39;
50321_UDP;70;74;
51413_UDP;364;359;
51654_UDP;797;771;
5222_TCP_Jabber;32;29;
5223_TCP_JabberSsl;96;91;
53_TCP_Dns;30;17;
53_UDP_Dns;22158;22314;
5351_UDP;93;109;
5353_UDP;127;135;
5355_UDP;22212;22358;
547_UDP_DhcPv6C;30;17;
57621_UDP;94;106;
5938_TCP;164;159;
5938_UDP;59;53;
67_UDP_DhcPc;36;38;
67_UDP_DhcPs;240;228;
6881_UDP;530;528;
6882_UDP;30;14;
6889_UDP;197;170;
6892_UDP;30;4;
6969_TCP;115;135;
6992_UDP;30;2;
80_TCP_HTTP;13781;13897;
8621_UDP;37;35;
8999_UDP;41;47;
9875_UDP;30;5;
995_TCP;113;110;
