sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcphttpchromeexe;0;0;827;0;0;0;
3702udp;0;0;9;0;0;0;
tcphttpteamviewerserviceexe;0;0;347;0;0;0;
tcphttpsteamexe;0;0;462;0;0;0;
tcphttpiexploreexe;68;7;2046;0,906666666666667;0,032166508987701;0,0621288259479214;
tcphttpavgmfapxexe;0;0;10;0;0;0;
tcphttpsfirefoxexe;2239;559;493;0,800214438884918;0,819546120058565;0,809764918625678;
40029udp;0;1;8;0;0;0;
tcpicslap;230;0;953;1;0,194420963651733;0,32554847841472;
45776tcputorrentexe;0;0;5;0;0;0;
40003udp;0;0;12;0;0;0;
tcphttpsystem;0;0;343;0;0;0;
tcphttpsspotifyexe;0;1;2373;0;0;0;
tcphttps;2716;1646;2846;0,622650160476846;0,488313556274721;0,547359935509875;
udpllmnr;40125;926;8;0,977442693235244;0,999800662796203;0,988495270003942;
50321udp;0;0;112;0;0;0;
1024udp;0;0;7;0;0;0;
udpp2pbittorrent;1627;724;357;0,692045937898766;0,820060483870968;0,750634371395617;
tcphttpschromeexe;1197;243;2019;0,83125;0,372201492537313;0,514175257731959;
tcphttpspotifyexe;5105;628;415;0,890458747601605;0,92481884057971;0,90731360526082;
tcpjabbersslapsdaemonexe;0;0;112;0;0;0;
udprtp;0;0;46;0;0;0;
tcpteamviewer;0;0;59;0;0;0;
5353udp;0;0;193;0;0;0;
tcphttputorrentexe;40;65;1097;0,380952380952381;0,0351802990325418;0,0644122383252818;
tcphttpfirefoxexe;0;0;1315;0;0;0;
tcphttpssystem;9239;9542;296;0,49193333688302;0,968956476140535;0,652563921457833;
tcphttpsteamwebhelperexe;0;0;407;0;0;0;
udpteamviewer;0;0;82;0;0;0;
udpnetbios;0;0;399;0;0;0;
udphttps;1537;332;161;0,822364901016586;0,905182567726737;0,861788617886179;
udpdhcps;247;0;106;1;0,69971671388102;0,823333333333333;
udpstun;0;0;247;0;0;0;
udpdhcpc;16;2;27;0,888888888888889;0,372093023255814;0,524590163934426;
tcphttpitunesexe;0;0;220;0;0;0;
udpssdp;10669;647;255;0,942824319547543;0,976656902233614;0,959442446043166;
9875udp;0;0;5;0;0;0;
tcpdnssystem;0;0;17;0;0;0;
tcphttpssteamwebhelperexe;0;0;4;0;0;0;
40018udp;0;2;5;0;0;0;
tcphttpsthunderbirdexe;0;0;4;0;0;0;
tcpicslapsystem;0;0;453;0;0;0;
11000udp;0;0;25;0;0;0;
tcphttpsskypebrowserhostexe;0;0;174;0;0;0;
udpdhcpv6c;0;0;8;0;0;0;
51654udp;988;251;63;0,797417271993543;0,940057088487155;0,862882096069869;
tcphttpsitunesexe;7237;1789;575;0,80179481497895;0,926395289298515;0,859603278299085;
3800udp;0;0;35;0;0;0;
tcphttpsonedriveexe;1;0;792;1;0,00126103404791929;0,00251889168765743;
6992udp;0;0;2;0;0;0;
tcpsshwinscpexe;0;0;13;0;0;0;
8621udp;0;0;40;0;0;0;
tcphttpssvchostexe;0;0;234;0;0;0;
tcphttpsskypeexe;1183;2;350;0,99831223628692;0,771689497716895;0,870493009565857;
tcpsmtptlssslthunderbirdexe;0;0;4;0;0;0;
40024udp;0;1;7;0;0;0;
tcphttp;13487;8825;182;0,604472929365364;0,98668520008779;0,749673438759345;
tcphttputorrentieexe;0;0;317;0;0;0;
tcphttponedriveexe;0;0;61;0;0;0;
40020udp;1;1;21;0,5;0,0454545454545455;0,0833333333333333;
tcphttpsutorrentexe;0;0;70;0;0;0;
udponlinegames;4248;16;47;0,99624765478424;0,989057043073341;0,992639327024185;
40027udp;0;1;9;0;0;0;
47993udp;0;0;47;0;0;0;
tcpteamviewersystem;0;0;8;0;0;0;
40036udp;0;1;3;0;0;0;
49001udp;0;0;51;0;0;0;
43265udp;0;0;91;0;0;0;
40025udp;0;14;1;0;0;0;
tcpteamviewerteamviewerserviceexe;0;0;29;0;0;0;
udpnetbiosdgm;452;84;0;0,843283582089552;1;0,91497975708502;
40023udp;0;1;0;0;0;0;
8999udp;0;0;56;0;0;0;
udpnatpmp;0;0;172;0;0;0;
12350tcpskypeexe;2;0;9;1;0,181818181818182;0,307692307692308;
tcphttpsiexploreexe;760;27;3322;0,96569250317662;0,186183243508084;0,312179092216061;
40028udp;0;0;4;0;0;0;
11888udp;0;0;8;0;0;0;
tcpjabberpidginexe;0;0;4;0;0;0;
40030udp;0;0;3;0;0;0;
tcphttpsmsmpengexe;0;0;22;0;0;0;
tcphttpsgoogledrivesyncexe;0;0;11;0;0;0;
4070tcpspotifyexe;0;0;44;0;0;0;
tcppop3tlssslthunderbirdexe;0;0;7;0;0;0;
tcphttpssteamexe;0;0;1;0;0;0;
udpdns;38818;447;699;0,988615815611868;0,98231141027912;0,985453529994161;
udpspotify;170;0;2;1;0,988372093023256;0,994152046783626;
