sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
udpp2pbittorrent;1640;583;337;0.737741790373369;0.829539706626201;0.780952380952381;
47993udp;0;0;46;0;0;0;
139tcp;0;0;162;0;0;0;
11888udp;0;0;8;0;0;0;
tcpicslap;224;2;1160;0.991150442477876;0.161849710982659;0.278260869565217;
9875udp;0;0;3;0;0;0;
40023udp;1;12;0;0.0769230769230769;1;0.142857142857143;
50321udp;0;0;111;0;0;0;
40020udp;1;4;17;0.2;0.0555555555555556;0.0869565217391304;
tcphttp;27588;1651;1;0.9435343205992;0.999963753669941;0.970929823326529;
8999udp;0;0;56;0;0;0;
40018udp;0;2;1;0;0;0;
tcppop3tlsssl;0;0;193;0;0;0;
tcpjabberssl;8;0;89;1;0.0824742268041237;0.152380952380952;
udpdhcpv6c;0;0;13;0;0;0;
tcpsmtptlsssl;0;0;64;0;0;0;
tcpdns;0;0;17;0;0;0;
4070tcp;0;0;110;0;0;0;
tcpssh;0;0;64;0;0;0;
12350tcp;3;0;25;1;0.107142857142857;0.193548387096774;
3702udp;0;0;49;0;0;0;
udpdns;38880;392;548;0.990018333672846;0.986101247844172;0.988055908513342;
40029tcp;0;0;5;0;0;0;
6992udp;0;0;2;0;0;0;
udponlinegames;4224;21;115;0.995053003533569;0.973496197280479;0.984156570363467;
40003udp;1;1;11;0.5;0.0833333333333333;0.142857142857143;
tcphttps;106908;533;50;0.995039137759328;0.999532526786215;0.997280770899118;
tcpteamviewer;5;0;229;1;0.0213675213675214;0.0418410041841004;
udpstun;0;0;248;0;0;0;
udpssdp;10750;609;187;0.94638612553922;0.982902075523453;0.964298528884105;
40025udp;0;5;0;0;0;0;
40029udp;0;0;13;0;0;0;
udpllmnr;40128;993;7;0.975851754577953;0.999825588638346;0.987693216500935;
5353udp;0;0;205;0;0;0;
udpnetbios;0;0;411;0;0;0;
40030udp;0;0;3;0;0;0;
udpdhcps;255;0;101;1;0.716292134831461;0.834697217675941;
udpnatpmp;0;0;164;0;0;0;
49001udp;0;0;53;0;0;0;
11000udp;0;0;26;0;0;0;
40036udp;0;0;4;0;0;0;
51654udp;1066;293;67;0.784400294334069;0.940864960282436;0.85553772070626;
udpnetbiosdgm;471;6;0;0.987421383647799;1;0.993670886075949;
udphttps;1532;346;156;0.815761448349308;0.907582938388626;0.859226023555805;
udpdhcpc;18;3;25;0.857142857142857;0.418604651162791;0.5625;
40027udp;0;0;6;0;0;0;
43265udp;0;0;82;0;0;0;
udpspotify;170;0;2;1;0.988372093023256;0.994152046783626;
40024udp;0;0;6;0;0;0;
tcpjabber;0;0;31;0;0;0;
udprtp;0;0;82;0;0;0;
40028udp;0;0;5;0;0;0;
45776tcp;0;0;6;0;0;0;
1024udp;0;0;6;0;0;0;
8621udp;0;0;40;0;0;0;
3800udp;0;0;34;0;0;0;
