sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;0;10;0;0;0;
udpllmnr;35690;732;8;0.979902256877711;0.999775897809401;0.989739323349972;
tcphttpsspotifyexe;0;0;850;0;0;0;
tcphttpssystem;3927;2729;204;0.589993990384615;0.950617283950617;0.72809863724854;
tcphttpsskypeexe;1639;120;27;0.931779420125071;0.983793517406963;0.957080291970803;
tcpsshwinscpexe;0;0;22;0;0;0;
40029tcpskypeexe;0;0;2;0;0;0;
40036udp;0;0;4;0;0;0;
tcphttpsonedriveexe;16;9;677;0.64;0.0230880230880231;0.0445682451253482;
tcphttpssvchostexe;0;0;214;0;0;0;
40030udp;0;3;5;0;0;0;
43265udp;0;0;96;0;0;0;
udpspotify;26;0;5;1;0.838709677419355;0.912280701754386;
tcphttpsiexploreexe;920;69;955;0.930232558139535;0.490666666666667;0.642458100558659;
tcphttpiexploreexe;65;12;1786;0.844155844155844;0.0351161534305781;0.0674273858921162;
tcphttpsutorrentexe;0;0;47;0;0;0;
40024udp;0;2;7;0;0;0;
tcphttpchromeexe;0;0;751;0;0;0;
40023udp;0;3;0;0;0;0;
40029udp;0;0;16;0;0;0;
4070tcpspotifyexe;0;0;38;0;0;0;
40003udp;0;0;18;0;0;0;
udpnatpmp;0;0;151;0;0;0;
udpstun;0;0;224;0;0;0;
udprtp;0;0;75;0;0;0;
8621udp;0;0;41;0;0;0;
50321udp;0;0;112;0;0;0;
udponlinegames;3760;43;107;0.988693136997108;0.972329971554176;0.980443285528031;
tcphttpavgmfapxexe;0;0;8;0;0;0;
tcphttpsystem;0;0;301;0;0;0;
udpnetbios;10;0;267;1;0.036101083032491;0.0696864111498258;
tcphttp;11806;7304;195;0.617791732077446;0.983751354053829;0.758959853428048;
tcphttpfirefoxexe;0;0;1138;0;0;0;
8999udp;0;0;58;0;0;0;
tcppop3tlssslthunderbirdexe;0;0;11;0;0;0;
tcpicslapsystem;0;0;379;0;0;0;
1024udp;0;0;6;0;0;0;
12350tcpskypeexe;2;0;13;1;0.133333333333333;0.235294117647059;
45776tcputorrentexe;0;0;1;0;0;0;
tcphttpssteamwebhelperexe;0;0;1;0;0;0;
40020udp;0;0;21;0;0;0;
tcphttpsteamexe;0;0;353;0;0;0;
3800udp;0;0;36;0;0;0;
tcpjabberpidginexe;0;0;2;0;0;0;
udpp2pbittorrent;1811;1296;21;0.582877373672353;0.98853711790393;0.733346831342377;
tcphttpsitunesexe;6345;1464;186;0.812524010756819;0.971520440973817;0.884937238493724;
tcphttpsthunderbirdexe;0;0;5;0;0;0;
tcphttpsmsmpengexe;0;0;22;0;0;0;
9875udp;0;0;4;0;0;0;
tcphttps;2231;1341;1787;0.62458006718925;0.555251368840219;0.587878787878788;
40018udp;0;0;6;0;0;0;
tcphttpschromeexe;738;151;753;0.830146231721035;0.494969818913481;0.620168067226891;
udpssdp;9608;336;170;0.966210780370072;0.982614031499284;0.974343372883075;
udpdhcps;300;0;61;1;0.831024930747922;0.907715582450832;
tcphttpssteamexe;0;0;1;0;0;0;
tcphttponedriveexe;0;0;61;0;0;0;
udpdhcpc;15;2;22;0.882352941176471;0.405405405405405;0.555555555555556;
tcphttputorrentexe;70;39;1051;0.642201834862385;0.0624442462087422;0.113821138211382;
40028udp;0;0;5;0;0;0;
tcpjabbersslapsdaemonexe;17;0;18;1;0.485714285714286;0.653846153846154;
47993udp;0;0;61;0;0;0;
5353udp;0;0;167;0;0;0;
tcphttpsfirefoxexe;1627;154;89;0.913531723750702;0.948135198135198;0.930511867314841;
tcpsmtptlssslthunderbirdexe;0;0;3;0;0;0;
udphttps;1369;304;23;0.818290496114764;0.983477011494253;0.893311582381729;
tcphttpitunesexe;0;0;201;0;0;0;
tcphttpsteamwebhelperexe;0;0;378;0;0;0;
udpdhcpv6c;0;0;10;0;0;0;
tcpteamviewerteamviewerserviceexe;0;0;25;0;0;0;
udpnetbiosdgm;412;14;0;0.967136150234742;1;0.983293556085919;
tcpicslap;407;0;570;1;0.416581371545548;0.588150289017341;
11000udp;0;0;25;0;0;0;
udpdns;34335;220;1034;0.993633338156562;0.970765359495604;0.982066243349923;
tcphttpsskypebrowserhostexe;0;0;21;0;0;0;
51654udp;1225;224;13;0.845410628019324;0.989499192245557;0.911797543729066;
11888udp;0;0;8;0;0;0;
tcphttpspotifyexe;4582;666;290;0.873094512195122;0.94047619047619;0.905533596837945;
3702udp;6;0;145;1;0.0397350993377483;0.0764331210191083;
6992udp;0;0;2;0;0;0;
40005udp;0;2;1;0;0;0;
tcpteamviewersystem;0;0;6;0;0;0;
tcphttpsgoogledrivesyncexe;0;0;2;0;0;0;
udpteamviewer;0;0;82;0;0;0;
tcpdnssystem;0;0;2;0;0;0;
tcphttputorrentieexe;0;0;270;0;0;0;
49001udp;0;0;50;0;0;0;
tcphttpteamviewerserviceexe;0;0;307;0;0;0;
tcpteamviewer;0;0;39;0;0;0;
