sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;30;28;
11888_UDP-;30;8;
12350_TCP-skypeexe;30;39;
139_TCP-;30;22;
139_TCP-system;42;156;
3702_UDP-;62;218;
3800_UDP-;30;36;
40003_UDP-;30;23;
40005_UDP-;30;1;
40018_UDP-;30;9;
40020_UDP-;30;32;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;30;26;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;38;167;
43265_UDP-;37;113;
45776_TCP-utorrentexe;30;13;
47993_UDP-;30;68;
49001_UDP-;30;54;
50321_UDP-;30;114;
51654_UDP-;313;1255;
5353_UDP-;48;214;
6992_UDP-;30;2;
8621_UDP-;30;42;
8999_UDP-;30;58;
9875_UDP-;30;5;
TCP_Dns-system;30;17;
TCP_HTTP-;3146;12279;
TCP_HTTP-avgmfapxexe;30;10;
TCP_HTTP-chromeexe;179;765;
TCP_HTTP-firefoxexe;294;1193;
TCP_HTTP-iexploreexe;508;1908;
TCP_HTTP-itunesexe;53;214;
TCP_HTTP-onedriveexe;30;61;
TCP_Https-;3006;12590;
TCP_Https-chromeexe;2382;9770;
TCP_Https-firefoxexe;4214;16616;
TCP_Https-googledrivesyncexe;30;21;
TCP_Https-iexploreexe;2168;8955;
TCP_Https-itunesexe;2223;8954;
TCP_Https-mshtaexe;30;4;
TCP_Https-msmpengexe;30;38;
TCP_Https-onedriveexe;331;1373;
TCP_HTTP-spotifyexe;1248;4992;
TCP_Https-skypebrowserhostexe;170;601;
TCP_Https-skypeexe;1189;4545;
TCP_Https-spotifyexe;1229;5199;
TCP_Https-steamexe;30;33;
TCP_Https-steamwebhelperexe;30;24;
TCP_Https-svchostexe;145;505;
TCP_Https-system;6335;25606;
TCP_HTTP-steamexe;108;433;
TCP_HTTP-steamwebhelperexe;82;408;
TCP_Https-thunderbirdexe;30;17;
TCP_Https-utorrentexe;67;297;
TCP_HTTP-system;72;321;
TCP_HTTP-teamviewer_serviceexe;77;310;
TCP_HTTP-utorrentexe;303;1253;
TCP_HTTP-utorrentieexe;81;282;
TCP_icslap-;297;1270;
TCP_icslap-system;122;379;
TCP_Jabber-pidginexe;30;31;
TCP_JabberSsl-apsdaemonexe;32;155;
TCP_POP3tlsSSL-thunderbirdexe;39;184;
TCP_SMTPtlsSSL-thunderbirdexe;30;64;
TCP_SSH-puttyexe;30;6;
TCP_SSH-winscpexe;30;32;
TCP_TeamViewer-;30;95;
TCP_TeamViewer-system;30;48;
TCP_TeamViewer-teamviewer_serviceexe;30;90;
UDP_DhcPc-;30;44;
UDP_DhcPs-;87;381;
UDP_DhcPv6C-;30;17;
UDP_Dns-;8892;35572;
UDP_Https-;405;1513;
UDP_LLMNR-;8880;35698;
UDP_NATpmp-;48;154;
UDP_netbios-;88;384;
UDP_netbiosdgm-;123;412;
UDP_OnlineGames-;977;3876;
UDP_P2PBittorrent-;464;1840;
UDP_RTP-;30;120;
UDP_spotify-;40;162;
UDP_SSDP-;2387;9778;
UDP_STUN-;53;227;
UDP_TeamViewer-;30;82;
