sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;0;10;0;0;0;
udpllmnr;35690;739;8;0.979713964149441;0.999775897809401;0.989643268124281;
tcphttpsspotifyexe;0;0;851;0;0;0;
tcphttpssystem;3917;2704;129;0.591602476967225;0.968116658428077;0.734414549545327;
tcphttpsskypeexe;1308;19;29;0.985681989449887;0.978309648466717;0.981981981981982;
tcpsshwinscpexe;0;0;21;0;0;0;
40029tcpskypeexe;0;0;1;0;0;0;
40036udp;0;0;5;0;0;0;
tcphttpsonedriveexe;11;10;747;0.523809523809524;0.0145118733509235;0.0282413350449294;
tcphttpssvchostexe;0;0;215;0;0;0;
40030udp;0;4;3;0;0;0;
43265udp;0;0;95;0;0;0;
udpspotify;120;0;1;1;0.991735537190083;0.995850622406639;
tcphttpsiexploreexe;923;64;951;0.93515704154002;0.492529348986126;0.645228940929745;
tcphttpiexploreexe;65;12;1789;0.844155844155844;0.035059331175836;0.0673226307612636;
tcphttpsutorrentexe;0;0;43;0;0;0;
40024udp;0;0;7;0;0;0;
tcphttpchromeexe;0;0;752;0;0;0;
40023udp;0;0;1;0;0;0;
40029udp;2;2;12;0.5;0.142857142857143;0.222222222222222;
4070tcpspotifyexe;0;0;33;0;0;0;
40003udp;0;0;18;0;0;0;
udpnatpmp;0;0;151;0;0;0;
udpstun;0;0;224;0;0;0;
udprtp;0;0;75;0;0;0;
8621udp;0;0;40;0;0;0;
50321udp;0;0;110;0;0;0;
udponlinegames;3758;42;108;0.988947368421053;0.972064148991205;0.98043308113749;
tcphttpavgmfapxexe;0;0;8;0;0;0;
tcphttpsystem;0;0;296;0;0;0;
udpnetbios;12;0;273;1;0.0421052631578947;0.0808080808080808;
tcphttp;11801;7243;204;0.619670237345096;0.983007080383174;0.760153306064607;
tcphttpfirefoxexe;0;0;1138;0;0;0;
8999udp;0;0;58;0;0;0;
tcppop3tlssslthunderbirdexe;0;0;10;0;0;0;
tcpicslapsystem;0;0;379;0;0;0;
1024udp;0;0;6;0;0;0;
12350tcpskypeexe;2;0;14;1;0.125;0.222222222222222;
45776tcputorrentexe;0;0;1;0;0;0;
tcphttpssteamwebhelperexe;0;0;2;0;0;0;
40020udp;0;0;23;0;0;0;
tcphttpsteamexe;0;0;365;0;0;0;
3800udp;0;0;36;0;0;0;
tcpjabberpidginexe;0;0;3;0;0;0;
udpp2pbittorrent;1805;1119;20;0.617305061559507;0.989041095890411;0.760160033691303;
tcphttpsitunesexe;6115;1435;216;0.809933774834437;0.9658821671142;0.881060442331244;
tcphttpsthunderbirdexe;0;0;6;0;0;0;
tcphttpsmsmpengexe;0;0;22;0;0;0;
9875udp;0;0;4;0;0;0;
tcphttps;2316;1460;1744;0.613347457627119;0.570443349753695;0.591117917304747;
40018udp;0;1;7;0;0;0;
tcphttpschromeexe;706;146;749;0.828638497652582;0.485223367697595;0.612050281751192;
udpssdp;9608;338;170;0.96601648904082;0.982614031499284;0.974244575136889;
udpdhcps;301;0;58;1;0.838440111420613;0.912121212121212;
tcphttpssteamexe;0;0;1;0;0;0;
tcphttponedriveexe;0;0;61;0;0;0;
udpdhcpc;13;0;22;1;0.371428571428571;0.541666666666667;
tcphttputorrentexe;70;51;1047;0.578512396694215;0.062667860340197;0.113085621970921;
40028udp;0;0;5;0;0;0;
tcpjabbersslapsdaemonexe;18;0;17;1;0.514285714285714;0.679245283018868;
47993udp;0;0;55;0;0;0;
5353udp;0;0;168;0;0;0;
tcphttpsfirefoxexe;1643;161;90;0.910753880266075;0.948066935949221;0.929035906135143;
tcpsmtptlssslthunderbirdexe;0;0;3;0;0;0;
udphttps;1372;285;18;0.828002414001207;0.98705035971223;0.900557925828684;
tcphttpitunesexe;0;0;202;0;0;0;
tcphttpsteamwebhelperexe;0;0;378;0;0;0;
udpdhcpv6c;0;0;11;0;0;0;
tcpteamviewerteamviewerserviceexe;0;0;24;0;0;0;
udpnetbiosdgm;412;10;0;0.976303317535545;1;0.988009592326139;
tcpicslap;413;0;506;1;0.449401523394995;0.62012012012012;
11000udp;0;0;25;0;0;0;
udpdns;34373;207;861;0.994013880855986;0.975563376284271;0.984702208726044;
tcphttpsskypebrowserhostexe;0;0;20;0;0;0;
51654udp;1225;235;11;0.839041095890411;0.991100323624595;0.908753709198813;
11888udp;0;0;8;0;0;0;
tcphttpspotifyexe;4581;678;291;0.871078151739874;0.940270935960591;0.904352976014214;
3702udp;6;0;145;1;0.0397350993377483;0.0764331210191083;
6992udp;0;0;2;0;0;0;
40005udp;0;0;1;0;0;0;
40025udp;0;7;0;0;0;0;
tcpteamviewersystem;0;0;6;0;0;0;
tcphttpsgoogledrivesyncexe;0;0;2;0;0;0;
udpteamviewer;0;0;82;0;0;0;
tcpdnssystem;0;0;2;0;0;0;
tcphttputorrentieexe;0;0;270;0;0;0;
49001udp;0;0;48;0;0;0;
tcphttpteamviewerserviceexe;0;0;310;0;0;0;
tcpteamviewer;0;0;39;0;0;0;
