sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
udpssdp;9612;406;164;0,959472948692354;0,983224222585925;0,971203394968172;
udpstun;28;0;110;1;0,202898550724638;0,337349397590361;
tcpteamviewer;46;1;161;0,978723404255319;0,222222222222222;0,362204724409449;
tcpicslap;884;3;66;0,996617812852311;0,930526315789474;0,962438758845944;
11000udp;0;0;21;0;0;0;
40027udp;0;1;8;0;0;0;
40028udp;0;0;6;0;0;0;
1024udp;0;0;2;0;0;0;
udponlinegames;3800;93;32;0,976110968404829;0,991649269311065;0,983818770226537;
4070tcp;0;0;91;0;0;0;
8999udp;0;0;44;0;0;0;
3702udp;5;0;88;1;0,0537634408602151;0,102040816326531;
45776tcp;0;0;9;0;0;0;
40029tcp;0;0;5;0;0;0;
40030udp;0;1;2;0;0;0;
40020udp;0;0;23;0;0;0;
udpnetbios;14;3;196;0,823529411764706;0,0666666666666667;0,123348017621145;
udpdhcps;260;1;58;0,996168582375479;0,817610062893082;0,898100172711572;
tcppop3tlsssl;0;0;185;0;0;0;
udpdhcpc;14;2;28;0,875;0,333333333333333;0,482758620689655;
5353udp;0;0;166;0;0;0;
udpdhcpv6c;0;0;13;0;0;0;
40025udp;0;3;1;0;0;0;
udpteamviewer;0;0;82;0;0;0;
tcpssh;0;0;65;0;0;0;
udphttps;1385;123;11;0,918435013262599;0,992120343839542;0,953856749311295;
40036udp;0;0;4;0;0;0;
tcpdns;0;0;17;0;0;0;
40005udp;0;0;1;0;0;0;
udprtp;0;0;82;0;0;0;
tcpsmtptlsssl;0;0;64;0;0;0;
udpnetbiosdgm;430;16;0;0,964125560538117;1;0,981735159817352;
11888udp;0;0;6;0;0;0;
49001udp;0;0;36;0;0;0;
9875udp;0;0;5;0;0;0;
40023udp;0;1;1;0;0;0;
40024udp;0;9;5;0;0;0;
40018udp;0;20;8;0;0;0;
40003udp;0;2;18;0;0;0;
12350tcp;9;0;18;1;0,333333333333333;0,5;
udpdns;34515;174;761;0,994984000691862;0,978427259326454;0,986636175230472;
40029udp;0;1;15;0;0;0;
47993udp;0;0;65;0;0;0;
udpspotify;163;0;2;1;0,987878787878788;0,99390243902439;
tcpjabberssl;69;3;66;0,958333333333333;0,511111111111111;0,666666666666667;
tcphttps;95097;377;59;0,99605128097702;0,999379965530287;0,997712846876147;
tcphttp;24483;532;2;0,978732760343794;0,999918317337145;0,989212121212121;
6992udp;0;0;1;0;0;0;
50321udp;0;0;90;0;0;0;
139tcp;0;0;104;0;0;0;
udpnatpmp;0;0;168;0;0;0;
udpp2pbittorrent;1541;884;35;0,635463917525773;0,977791878172589;0,770307423144214;
43265udp;0;0;108;0;0;0;
51654udp;1229;231;12;0,841780821917808;0,990330378726833;0,910033320992225;
tcpjabber;0;0;31;0;0;0;
8621udp;0;0;18;0;0;0;
udpllmnr;35690;566;6;0,98438879082083;0,999831913939937;0,99205025572604;
3800udp;0;0;8;0;0;0;
