sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
udpp2pbittorrent;1542;871;26;0.639038541234977;0.983418367346939;0.774679728711379;
47993udp;0;0;65;0;0;0;
139tcp;0;0;103;0;0;0;
11888udp;0;0;6;0;0;0;
tcpicslap;765;3;82;0.99609375;0.90318772136954;0.947368421052632;
9875udp;0;0;5;0;0;0;
40023udp;0;2;1;0;0;0;
40005udp;0;0;1;0;0;0;
50321udp;0;0;90;0;0;0;
40020udp;0;0;21;0;0;0;
tcphttp;24482;502;2;0.979907140569965;0.99991831400098;0.989811595374788;
8999udp;0;0;45;0;0;0;
40018udp;0;5;6;0;0;0;
tcppop3tlsssl;0;0;185;0;0;0;
tcpjabberssl;59;0;63;1;0.483606557377049;0.651933701657459;
udpdhcpv6c;0;0;13;0;0;0;
tcpsmtptlsssl;0;0;64;0;0;0;
tcpdns;0;0;16;0;0;0;
4070tcp;1;0;81;1;0.0121951219512195;0.0240963855421687;
tcpssh;0;0;58;0;0;0;
12350tcp;8;0;18;1;0.307692307692308;0.470588235294118;
3702udp;5;0;87;1;0.0543478260869565;0.103092783505155;
udpdns;34537;174;766;0.99498717985653;0.978302127297963;0.986574113748679;
40029tcp;0;0;5;0;0;0;
6992udp;0;0;1;0;0;0;
udponlinegames;3806;92;34;0.976398152898923;0.991145833333333;0.983716722667356;
40003udp;0;0;17;0;0;0;
tcphttps;95176;383;45;0.995992004939357;0.999527415171023;0.997756578257679;
tcpteamviewer;56;1;153;0.982456140350877;0.267942583732057;0.421052631578947;
udpstun;0;0;119;0;0;0;
udpssdp;9612;391;164;0.960911726482055;0.983224222585925;0.971939936296072;
40025udp;0;8;1;0;0;0;
40029udp;0;0;11;0;0;0;
udpllmnr;35690;525;6;0.985503244511943;0.999831913939937;0.992615872397825;
5353udp;0;0;169;0;0;0;
udpteamviewer;0;0;82;0;0;0;
udpnetbios;27;3;160;0.9;0.144385026737968;0.248847926267281;
40030udp;0;16;2;0;0;0;
udpdhcps;266;0;42;1;0.863636363636364;0.926829268292683;
udpnatpmp;0;0;168;0;0;0;
49001udp;0;0;37;0;0;0;
11000udp;0;0;25;0;0;0;
51654udp;1229;231;13;0.841780821917808;0.989533011272142;0.909696521095485;
40036udp;0;0;4;0;0;0;
udpnetbiosdgm;430;16;0;0.964125560538117;1;0.981735159817352;
udphttps;1390;149;11;0.903183885640026;0.99214846538187;0.945578231292517;
udpdhcpc;15;2;28;0.882352941176471;0.348837209302326;0.5;
40027udp;0;0;9;0;0;0;
43265udp;0;0;108;0;0;0;
udpspotify;163;0;2;1;0.987878787878788;0.99390243902439;
40024udp;1;4;6;0.2;0.142857142857143;0.166666666666667;
tcpjabber;0;0;29;0;0;0;
udprtp;0;0;82;0;0;0;
40028udp;0;0;4;0;0;0;
45776tcp;0;0;9;0;0;0;
1024udp;0;0;2;0;0;0;
8621udp;0;0;18;0;0;0;
3800udp;0;0;8;0;0;0;
