sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;4;6;0;0;0;
udpllmnr;22375;275;3;0.987858719646799;0.999865939762267;0.993826063782535;
tcphttpsspotifyexe;7;9;97;0.4375;0.0673076923076923;0.116666666666667;
tcphttpssystem;122;99;585;0.552036199095023;0.172560113154173;0.262931034482759;
tcphttpsskypeexe;1628;579;28;0.737652922519257;0.983091787439614;0.842868237121408;
tcpsshwinscpexe;0;0;13;0;0;0;
40036udp;0;15;3;0;0;0;
tcphttpsonedriveexe;267;112;35;0.704485488126649;0.884105960264901;0.784140969162996;
tcphttpssvchostexe;0;0;100;0;0;0;
40030udp;0;12;3;0;0;0;
43265udp;0;13;63;0;0;0;
udpspotify;107;3;0;0.972727272727273;1;0.986175115207373;
tcphttpsiexploreexe;810;107;23;0.883315158124318;0.972388955582233;0.925714285714286;
tcphttpiexploreexe;45;2;818;0.957446808510638;0.052143684820394;0.0989010989010989;
tcphttpsutorrentexe;0;0;38;0;0;0;
40024udp;0;0;5;0;0;0;
tcphttpchromeexe;2;9;336;0.181818181818182;0.00591715976331361;0.0114613180515759;
40029udp;0;0;4;0;0;0;
4070tcpspotifyexe;53;0;13;1;0.803030303030303;0.890756302521008;
40003udp;1;0;11;1;0.0833333333333333;0.153846153846154;
udpnatpmp;0;0;98;0;0;0;
udpstun;140;0;1;1;0.99290780141844;0.99644128113879;
udprtp;0;0;55;0;0;0;
8621udp;0;0;42;0;0;0;
50321udp;0;0;68;0;0;0;
udponlinegames;2357;44;22;0.981674302374011;0.990752416981925;0.986192468619247;
tcphttpavgmfapxexe;0;0;9;0;0;0;
tcphttpsystem;0;0;172;0;0;0;
udpnetbios;163;11;61;0.936781609195402;0.727678571428571;0.819095477386935;
tcphttp;6794;3068;198;0.688906915432975;0.971681922196796;0.806218108460899;
tcphttpfirefoxexe;0;0;655;0;0;0;
8999udp;0;0;41;0;0;0;
tcppop3tlssslthunderbirdexe;0;0;3;0;0;0;
tcpicslapsystem;0;0;172;0;0;0;
1024udp;0;0;8;0;0;0;
12350tcpskypeexe;0;0;12;0;0;0;
40020udp;0;0;16;0;0;0;
tcphttpsteamexe;0;0;226;0;0;0;
3800udp;0;0;31;0;0;0;
tcpsshputtyexe;0;0;1;0;0;0;
tcpjabberpidginexe;0;0;8;0;0;0;
udpp2pbittorrent;1159;458;16;0.716759431045145;0.986382978723404;0.830229226361032;
139tcpsystem;79;22;0;0.782178217821782;1;0.877777777777778;
tcphttpsitunesexe;4366;1143;7;0.792521328734798;0.998399268236908;0.883626796195102;
tcphttpsthunderbirdexe;0;0;4;0;0;0;
tcphttpsmsmpengexe;0;0;32;0;0;0;
9875udp;0;0;5;0;0;0;
tcphttps;1119;259;1447;0.812046444121916;0.436087295401403;0.567444219066937;
40018udp;0;1;6;0;0;0;
tcphttpschromeexe;674;134;63;0.834158415841584;0.914518317503392;0.872491909385113;
udpssdp;5930;80;113;0.986688851913478;0.981300678470958;0.983987389031776;
udpdhcps;218;9;6;0.960352422907489;0.973214285714286;0.966740576496674;
tcphttponedriveexe;0;0;44;0;0;0;
udpdhcpc;16;1;26;0.941176470588235;0.380952380952381;0.542372881355932;
tcphttputorrentexe;79;107;279;0.424731182795699;0.220670391061453;0.290441176470588;
40028udp;0;0;4;0;0;0;
47993udp;0;0;52;0;0;0;
tcpjabbersslapsdaemonexe;74;29;9;0.718446601941748;0.891566265060241;0.795698924731183;
5353udp;60;0;23;1;0.72289156626506;0.839160839160839;
tcphttpsfirefoxexe;847;129;30;0.867827868852459;0.965792474344356;0.914193200215866;
tcpsmtptlssslthunderbirdexe;0;0;5;0;0;0;
udphttps;909;92;10;0.908091908091908;0.989118607181719;0.946875;
tcphttpitunesexe;0;0;123;0;0;0;
tcphttpsteamwebhelperexe;28;18;84;0.608695652173913;0.25;0.354430379746835;
udpdhcpv6c;0;0;11;0;0;0;
tcpteamviewerteamviewerserviceexe;1;0;19;1;0.05;0.0952380952380952;
udpnetbiosdgm;278;3;0;0.98932384341637;1;0.994633273703041;
tcpicslap;578;86;24;0.870481927710843;0.960132890365448;0.913112164296998;
11000udp;0;0;26;0;0;0;
udpdns;21711;22;309;0.998987714535499;0.985967302452316;0.992434804470551;
tcphttpsskypebrowserhostexe;0;0;33;0;0;0;
51654udp;802;180;8;0.816700610997963;0.990123456790123;0.895089285714286;
11888udp;0;0;7;0;0;0;
tcphttpspotifyexe;2815;334;81;0.893934582407113;0.972030386740331;0.931348221670802;
3702udp;19;0;1;1;0.95;0.974358974358974;
6992udp;0;0;2;0;0;0;
40005udp;0;4;0;0;0;0;
40025udp;1;1;0;0.5;1;0.666666666666667;
tcpteamviewersystem;0;0;9;0;0;0;
udpteamviewer;24;0;24;1;0.5;0.666666666666667;
139tcp;0;0;22;0;0;0;
tcphttputorrentieexe;0;0;174;0;0;0;
49001udp;0;0;36;0;0;0;
tcphttpteamviewerserviceexe;0;0;197;0;0;0;
tcpteamviewer;0;0;20;0;0;0;
