sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;0;8;0;0;0;
udpllmnr;22375;275;3;0.987858719646799;0.999865939762267;0.993826063782535;
tcphttpsspotifyexe;1;12;127;0.0769230769230769;0.0078125;0.0141843971631206;
tcphttpssystem;121;107;596;0.530701754385965;0.168758716875872;0.256084656084656;
tcphttpsskypeexe;1630;562;29;0.743613138686131;0.982519590114527;0.846533367956375;
tcpsshwinscpexe;0;0;15;0;0;0;
40036udp;0;0;3;0;0;0;
tcphttpsonedriveexe;299;115;36;0.722222222222222;0.892537313432836;0.798397863818425;
tcphttpssvchostexe;0;0;100;0;0;0;
40030udp;0;14;2;0;0;0;
43265udp;0;19;69;0;0;0;
udpspotify;107;3;0;0.972727272727273;1;0.986175115207373;
tcphttpsiexploreexe;911;108;19;0.894013738959764;0.979569892473118;0.934838378655721;
tcphttpiexploreexe;46;5;772;0.901960784313726;0.0562347188264059;0.105868814729574;
tcphttpsutorrentexe;0;0;36;0;0;0;
40024udp;1;5;4;0.166666666666667;0.2;0.181818181818182;
tcphttpchromeexe;2;5;317;0.285714285714286;0.00626959247648903;0.0122699386503067;
40029udp;1;1;7;0.5;0.125;0.2;
4070tcpspotifyexe;52;0;16;1;0.764705882352941;0.866666666666667;
40003udp;1;0;14;1;0.0666666666666667;0.125;
udpnatpmp;0;0;98;0;0;0;
udpstun;140;0;1;1;0.99290780141844;0.99644128113879;
udprtp;0;0;54;0;0;0;
8621udp;0;0;42;0;0;0;
50321udp;0;0;68;0;0;0;
udponlinegames;2357;56;22;0.976792374637381;0.990752416981925;0.983722871452421;
tcphttpavgmfapxexe;0;0;9;0;0;0;
tcphttpsystem;0;0;160;0;0;0;
udpnetbios;165;11;61;0.9375;0.730088495575221;0.82089552238806;
tcphttp;6720;2888;219;0.699417152373022;0.968439256377;0.812231824499909;
tcphttpfirefoxexe;0;0;623;0;0;0;
8999udp;0;0;41;0;0;0;
tcppop3tlssslthunderbirdexe;0;0;2;0;0;0;
tcpicslapsystem;0;0;177;0;0;0;
1024udp;0;0;8;0;0;0;
12350tcpskypeexe;0;0;8;0;0;0;
40020udp;0;0;16;0;0;0;
tcphttpsteamexe;0;0;216;0;0;0;
3800udp;0;0;31;0;0;0;
tcpsshputtyexe;0;0;1;0;0;0;
tcpjabberpidginexe;0;0;12;0;0;0;
udpp2pbittorrent;1159;517;16;0.691527446300716;0.986382978723404;0.813048053314626;
139tcpsystem;57;22;3;0.721518987341772;0.95;0.820143884892086;
tcphttpsitunesexe;4392;1146;7;0.793066088840737;0.998408729256649;0.883969004729798;
tcphttpsthunderbirdexe;0;0;4;0;0;0;
tcphttpsmsmpengexe;0;0;32;0;0;0;
9875udp;0;0;5;0;0;0;
tcphttps;1143;283;1437;0.801542776998597;0.443023255813953;0.570644033949076;
40018udp;0;0;6;0;0;0;
tcphttpschromeexe;702;137;60;0.836710369487485;0.921259842519685;0.876951905059338;
udpssdp;5930;79;113;0.986853053752704;0.981300678470958;0.984069034185197;
udpdhcps;218;9;6;0.960352422907489;0.973214285714286;0.966740576496674;
tcphttponedriveexe;0;0;44;0;0;0;
udpdhcpc;17;1;27;0.944444444444444;0.386363636363636;0.548387096774194;
tcphttputorrentexe;73;93;300;0.439759036144578;0.195710455764075;0.270871985157699;
40028udp;0;0;5;0;0;0;
47993udp;0;0;57;0;0;0;
tcpjabbersslapsdaemonexe;74;16;9;0.822222222222222;0.891566265060241;0.855491329479769;
5353udp;60;0;23;1;0.72289156626506;0.839160839160839;
tcphttpsfirefoxexe;815;136;30;0.856992639327024;0.964497041420118;0.907572383073497;
tcpsmtptlssslthunderbirdexe;0;0;5;0;0;0;
udphttps;909;91;9;0.909;0.990196078431373;0.947862356621481;
tcphttpitunesexe;0;0;127;0;0;0;
tcphttpsteamwebhelperexe;28;28;67;0.5;0.294736842105263;0.370860927152318;
udpdhcpv6c;0;0;12;0;0;0;
tcpteamviewerteamviewerserviceexe;1;0;18;1;0.0526315789473684;0.1;
udpnetbiosdgm;278;3;0;0.98932384341637;1;0.994633273703041;
tcpicslap;596;91;23;0.867540029112082;0.962843295638126;0.91271056661562;
11000udp;0;0;27;0;0;0;
udpdns;21691;22;357;0.998986782112099;0.983808055152395;0.991339320399443;
tcphttpsskypebrowserhostexe;0;0;36;0;0;0;
51654udp;800;178;8;0.81799591002045;0.99009900990099;0.895856662933931;
11888udp;0;0;7;0;0;0;
tcphttpspotifyexe;2823;408;56;0.87372330547818;0.980548801667246;0.924058919803601;
3702udp;38;0;1;1;0.974358974358974;0.987012987012987;
6992udp;0;0;2;0;0;0;
40005udp;0;1;0;0;0;0;
40025udp;1;10;0;0.0909090909090909;1;0.166666666666667;
tcpteamviewersystem;0;0;9;0;0;0;
tcphttpsgoogledrivesyncexe;0;0;1;0;0;0;
udpteamviewer;24;0;24;1;0.5;0.666666666666667;
139tcp;0;0;22;0;0;0;
tcphttputorrentieexe;0;0;169;0;0;0;
49001udp;0;0;36;0;0;0;
tcphttpteamviewerserviceexe;0;0;196;0;0;0;
tcpteamviewer;0;0;19;0;0;0;
