sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
11000udp;0;0;26;0;0;0;
40003udp;1;0;14;1;0.0666666666666667;0.125;
6969tcp;0;0;220;0;0;0;
50321udp;0;0;100;0;0;0;
6892udp;0;0;4;0;0;0;
4070tcp;0;0;67;0;0;0;
5005udp;0;0;12;0;0;0;
51413udp;192;167;412;0.534818941504178;0.317880794701987;0.398753894080997;
40025udp;0;1;1;0;0;0;
547udpdhcpv6c;0;0;6;0;0;0;
465tcp;0;0;64;0;0;0;
40024udp;0;0;4;0;0;0;
6889udp;0;0;306;0;0;0;
45776tcp;0;0;7;0;0;0;
27018udp;16;56;465;0.222222222222222;0.0332640332640333;0.0578661844484629;
53udpdns;39122;1693;350;0.958520151904937;0.99113295500608;0.974553788284529;
51654udp;868;386;274;0.692185007974482;0.760070052539405;0.724540901502504;
995tcp;0;0;193;0;0;0;
53tcpdns;0;0;17;0;0;0;
5004udp;0;0;21;0;0;0;
12350tcp;1;0;15;1;0.0625;0.117647058823529;
27021udp;0;0;164;0;0;0;
27036udp;0;0;14;0;0;0;
40020udp;0;1;13;0;0;0;
1900udp;10773;700;186;0.938987187309335;0.983027648508076;0.960502853067047;
40027udp;0;0;8;0;0;0;
40030udp;0;0;4;0;0;0;
1024udp;0;0;6;0;0;0;
27020udp;0;0;376;0;0;0;
40018udp;0;0;2;0;0;0;
40036udp;0;12;4;0;0;0;
49001udp;0;0;45;0;0;0;
27019udp;2694;1442;18;0.651353965183752;0.993362831858407;0.786799065420561;
8621udp;0;0;38;0;0;0;
443udphttps;1535;291;178;0.840635268346112;0.896088733216579;0.867476688330037;
139tcp;0;0;106;0;0;0;
5222tcpjabber;0;0;30;0;0;0;
3478udp;0;0;246;0;0;0;
9875udp;0;0;2;0;0;0;
57621udp;170;0;0;1;1;1;
40023udp;0;5;0;0;0;0;
5353udp;0;0;164;0;0;0;
22tcpssh;0;0;39;0;0;0;
67udpdhcps;148;0;193;1;0.434017595307918;0.605316973415133;
80tcphttp;24851;4156;10;0.856724238976799;0.999597763565424;0.922662805376105;
6992udp;0;0;1;0;0;0;
3800udp;0;0;35;0;0;0;
5223tcpjabberssl;3;0;100;1;0.029126213592233;0.0566037735849057;
5351udp;0;0;172;0;0;0;
27017udp;0;0;470;0;0;0;
11888udp;0;0;7;0;0;0;
40029tcp;0;0;3;0;0;0;
67udpdhcpc;15;2;23;0.882352941176471;0.394736842105263;0.545454545454545;
40029udp;2;26;12;0.0714285714285714;0.142857142857143;0.0952380952380952;
40028udp;0;0;3;0;0;0;
6882udp;0;0;12;0;0;0;
3128tcp;54;76;2288;0.415384615384615;0.0230572160546541;0.0436893203883495;
8999udp;0;0;54;0;0;0;
6881udp;232;88;630;0.725;0.269141531322506;0.392554991539763;
5355udp;40116;843;0;0.979418442833077;1;0.989602220166512;
5938tcp;0;0;222;0;0;0;
43265udp;0;0;119;0;0;0;
137udp;3;0;359;1;0.00828729281767956;0.0164383561643836;
2869tcp;104;3;1411;0.97196261682243;0.0686468646864686;0.128236744759556;
5938udp;0;0;82;0;0;0;
47993udp;0;0;68;0;0;0;
138udp;472;13;0;0.97319587628866;1;0.986415882967607;
3702udp;0;0;6;0;0;0;
443tcphttps;106739;595;55;0.994456556170459;0.999484989793434;0.996964432488979;
