sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
6892udp;0;0;4;0;0;0;
5355udp;40116;845;0;0,979370620834452;1;0,989577808749707;
27019udp;2694;1448;10;0,650410429744085;0,996301775147929;0,787028921998247;
6882udp;0;0;11;0;0;0;
11000udp;0;0;27;0;0;0;
137udp;7;0;364;1;0,0188679245283019;0,037037037037037;
51413udp;187;156;423;0,545189504373178;0,30655737704918;0,392444910807975;
2869tcp;104;3;1411;0,97196261682243;0,0686468646864686;0,128236744759556;
40027udp;0;0;7;0;0;0;
40028udp;0;0;3;0;0;0;
1024udp;0;0;7;0;0;0;
3478udp;0;0;246;0;0;0;
4070tcp;0;0;60;0;0;0;
22tcpssh;0;0;38;0;0;0;
8999udp;0;0;53;0;0;0;
5938udp;0;0;82;0;0;0;
3702udp;0;0;167;0;0;0;
45776tcp;0;0;7;0;0;0;
40030udp;0;11;3;0;0;0;
40029tcp;0;0;3;0;0;0;
547udpdhcpv6c;0;0;7;0;0;0;
80tcphttp;24849;4103;10;0,858282674772036;0,999597731203991;0,923565813681218;
40020udp;0;1;16;0;0;0;
5223tcpjabberssl;0;0;127;0;0;0;
138udp;472;13;0;0,97319587628866;1;0,986415882967607;
443udphttps;1537;319;179;0,828125;0,895687645687646;0,860582306830907;
995tcp;0;0;193;0;0;0;
443tcphttps;106822;604;56;0,994377524993949;0,999476038099515;0,996920262804241;
67udpdhcps;203;0;158;1;0,562326869806094;0,719858156028369;
5353udp;0;0;168;0;0;0;
27020udp;0;0;366;0;0;0;
465tcp;0;0;64;0;0;0;
40025udp;0;3;1;0;0;0;
67udpdhcpc;16;2;18;0,888888888888889;0,470588235294118;0,615384615384615;
27021udp;0;0;164;0;0;0;
40036udp;0;0;4;0;0;0;
27018udp;0;0;477;0;0;0;
5351udp;0;0;172;0;0;0;
57621udp;170;0;0;1;1;1;
5005udp;0;0;12;0;0;0;
53tcpdns;0;0;17;0;0;0;
6969tcp;0;0;220;0;0;0;
27036udp;0;0;14;0;0;0;
5938tcp;0;0;223;0;0;0;
11888udp;0;0;7;0;0;0;
1900udp;10763;842;186;0,92744506678156;0,983012147228057;0,954420501906535;
49001udp;0;0;46;0;0;0;
5222tcpjabber;0;0;29;0;0;0;
9875udp;0;0;2;0;0;0;
40024udp;0;10;5;0;0;0;
40018udp;0;0;2;0;0;0;
40003udp;1;1;15;0,5;0,0625;0,111111111111111;
12350tcp;1;0;15;1;0,0625;0,117647058823529;
6889udp;0;0;311;0;0;0;
40029udp;0;0;13;0;0;0;
47993udp;0;0;67;0;0;0;
53udpdns;39065;1692;499;0,958485658905219;0,987387524011728;0,972721953162934;
3128tcp;63;80;2235;0,440559440559441;0,0274151436031332;0,051618189266694;
27017udp;0;0;464;0;0;0;
5004udp;0;0;19;0;0;0;
6881udp;218;101;638;0,683385579937304;0,254672897196262;0,371063829787234;
6992udp;0;0;1;0;0;0;
50321udp;0;0;97;0;0;0;
139tcp;0;0;106;0;0;0;
43265udp;0;0;118;0;0;0;
51654udp;869;582;272;0,598897312198484;0,761612620508326;0,670524691358025;
8621udp;0;0;41;0;0;0;
3800udp;0;0;36;0;0;0;
