sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
3128tcpsystem;0;0;207;0;0;0;
443tcphttpssystem;1874;1659;345;0.530427398811209;0.844524560612889;0.651599443671766;
80tcphttpspotifyexe;4567;380;275;0.923185769153022;0.943205287071458;0.933088160179794;
80tcphttpiexploreexe;76;13;1846;0.853932584269663;0.0395421436004162;0.0755842864246643;
3128tcpchromeexe;0;1;720;0;0;0;
11000udp;0;0;28;0;0;0;
45776tcputorrentexe;0;0;2;0;0;0;
40003udp;0;0;17;0;0;0;
80tcphttputorrentexe;89;47;609;0.654411764705882;0.127507163323782;0.213429256594724;
443tcphttpsskypebrowserhostexe;0;0;35;0;0;0;
3128tcpspotifyexe;0;0;39;0;0;0;
465tcpthunderbirdexe;0;0;4;0;0;0;
5938tcpteamviewerserviceexe;0;0;40;0;0;0;
50321udp;0;0;88;0;0;0;
6892udp;0;0;4;0;0;0;
5005udp;0;0;25;0;0;0;
51413udp;156;135;223;0.536082474226804;0.411609498680739;0.465671641791045;
995tcpthunderbirdexe;0;0;13;0;0;0;
40025udp;1;4;0;0.2;1;0.333333333333333;
547udpdhcpv6c;0;0;17;0;0;0;
40024udp;0;1;6;0;0;0;
6889udp;0;1;241;0;0;0;
27018udp;11;47;414;0.189655172413793;0.0258823529411765;0.0455486542443064;
53udpdns;34503;378;525;0.989163154726069;0.985011990407674;0.987083208170622;
443tcphttpsutorrentexe;0;0;142;0;0;0;
139tcpsystem;0;0;13;0;0;0;
80tcphttpsteamexe;0;0;371;0;0;0;
80tcphttpavgmfapxexe;0;0;10;0;0;0;
443tcphttpssvchostexe;0;0;225;0;0;0;
443tcphttpsonedriveexe;64;0;682;1;0.0857908847184987;0.158024691358025;
5938tcpsystem;0;0;8;0;0;0;
51654udp;1221;386;14;0.75980087118855;0.988663967611336;0.859254046446165;
80tcphttpfirefoxexe;0;0;1142;0;0;0;
5004udp;0;0;29;0;0;0;
27021udp;0;0;151;0;0;0;
80tcphttputorrentieexe;0;0;289;0;0;0;
40020udp;0;0;22;0;0;0;
27036udp;0;0;12;0;0;0;
443tcphttpssteamwebhelperexe;0;0;5;0;0;0;
1900udp;9461;446;185;0.954981326334915;0.980821065726726;0.967728737278167;
2869tcpsystem;0;0;401;0;0;0;
443tcphttpsfirefoxexe;3556;363;116;0.907374330186272;0.968409586056645;0.936898959293901;
40027udp;0;0;11;0;0;0;
40030udp;0;1;3;0;0;0;
1024udp;0;0;6;0;0;0;
27020udp;0;0;326;0;0;0;
40018udp;0;0;2;0;0;0;
443tcphttpsthunderbirdexe;0;0;4;0;0;0;
40036udp;0;0;3;0;0;0;
443tcphttpsmsmpengexe;0;0;22;0;0;0;
4070tcpspotifyexe;0;0;51;0;0;0;
49001udp;0;0;43;0;0;0;
27019udp;2369;1254;20;0.653878001656086;0.991628296358309;0.788090485695276;
8621udp;0;0;20;0;0;0;
443udphttps;1374;416;157;0.767597765363129;0.89745264532985;0.827461607949413;
22tcpsshwinscpexe;0;0;11;0;0;0;
3478udp;2;0;208;1;0.00952380952380952;0.0188679245283019;
9875udp;0;0;4;0;0;0;
443tcphttpssteamexe;0;0;1;0;0;0;
57621udp;153;0;0;1;1;1;
40023udp;0;3;1;0;0;0;
5353udp;0;0;179;0;0;0;
80tcphttpteamviewerserviceexe;0;0;309;0;0;0;
67udpdhcps;295;1;80;0.996621621621622;0.786666666666667;0.879284649776453;
80tcphttp;11229;8188;198;0.578307668537879;0.982672617484904;0.728115678900272;
6992udp;0;0;1;0;0;0;
3800udp;0;0;15;0;0;0;
443tcphttpsspotifyexe;0;0;600;0;0;0;
443tcphttpsskypeexe;1797;206;44;0.897154268597104;0.976099945681695;0.934963579604579;
5223tcpjabbersslapsdaemonexe;21;0;20;1;0.51219512195122;0.67741935483871;
80tcphttpitunesexe;0;0;198;0;0;0;
5351udp;0;0;166;0;0;0;
6969tcputorrentexe;0;0;197;0;0;0;
443tcphttpsgoogledrivesyncexe;0;0;9;0;0;0;
80tcphttpsystem;0;0;73;0;0;0;
27017udp;0;0;412;0;0;0;
11888udp;0;0;4;0;0;0;
67udpdhcpc;18;3;21;0.857142857142857;0.461538461538462;0.6;
443tcphttpschromeexe;1044;169;677;0.860676009892828;0.606624055781522;0.711656441717791;
40029udp;0;5;16;0;0;0;
40028udp;0;0;4;0;0;0;
6882udp;0;0;12;0;0;0;
3128tcpsteamwebhelperexe;0;0;306;0;0;0;
3128tcp;0;0;743;0;0;0;
8999udp;0;0;40;0;0;0;
6881udp;526;648;138;0.448040885860307;0.792168674698795;0.572361262241567;
443tcphttpsiexploreexe;1223;137;353;0.899264705882353;0.776015228426396;0.833106267029973;
12350tcpskypeexe;0;0;17;0;0;0;
53tcpdnssystem;0;0;3;0;0;0;
5355udp;35685;709;0;0.980518766829697;1;0.990163570526783;
5938tcp;0;0;64;0;0;0;
43265udp;0;0;114;0;0;0;
137udp;43;1;198;0.977272727272727;0.178423236514523;0.301754385964912;
2869tcp;416;0;568;1;0.422764227642276;0.594285714285714;
5938udp;0;0;43;0;0;0;
443tcphttpsitunesexe;6676;1661;49;0.800767662228619;0.99271375464684;0.886469260390386;
80tcphttponedriveexe;0;0;61;0;0;0;
47993udp;0;0;67;0;0;0;
40005udp;0;2;1;0;0;0;
138udp;421;29;0;0.935555555555556;1;0.966704936854191;
3702udp;4;0;130;1;0.0298507462686567;0.0579710144927536;
5222tcpjabberpidginexe;0;0;4;0;0;0;
443tcphttps;2259;1305;2032;0.633838383838384;0.526450710790026;0.575175047740293;
