sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
3128tcpsystem;0;0;79;0;0;0;
80tcphttpspotifyexe;2857;340;88;0.893650297153581;0.970118845500849;0.930315858026701;
80tcphttpiexploreexe;38;4;973;0.904761904761905;0.0375865479723047;0.0721747388414055;
443tcphttpssystem;442;328;591;0.574025974025974;0.427879961277832;0.490293954520244;
22tcpsshputtyexe;0;0;1;0;0;0;
3128tcpchromeexe;44;46;224;0.488888888888889;0.164179104477612;0.245810055865922;
11000udp;0;0;26;0;0;0;
45776tcputorrentexe;0;0;2;0;0;0;
40003udp;0;0;13;0;0;0;
80tcphttputorrentexe;116;96;372;0.547169811320755;0.237704918032787;0.331428571428571;
443tcphttpsskypebrowserhostexe;0;0;27;0;0;0;
3128tcpspotifyexe;0;0;18;0;0;0;
465tcpthunderbirdexe;0;0;2;0;0;0;
5938tcpteamviewerserviceexe;2;0;25;1;0.0740740740740741;0.137931034482759;
50321udp;0;0;67;0;0;0;
6892udp;0;0;3;0;0;0;
5005udp;0;0;22;0;0;0;
51413udp;118;228;58;0.341040462427746;0.670454545454545;0.452107279693487;
995tcpthunderbirdexe;0;0;6;0;0;0;
40025udp;0;7;1;0;0;0;
547udpdhcpv6c;0;0;6;0;0;0;
40024udp;0;1;5;0;0;0;
6889udp;0;0;159;0;0;0;
27018udp;17;61;2;0.217948717948718;0.894736842105263;0.350515463917526;
53udpdns;21667;14;257;0.999354273326876;0.988277686553549;0.993785116385736;
443tcphttpsutorrentexe;0;0;26;0;0;0;
139tcpsystem;78;21;0;0.787878787878788;1;0.88135593220339;
80tcphttpsteamexe;0;0;209;0;0;0;
80tcphttpavgmfapxexe;0;0;10;0;0;0;
443tcphttpssvchostexe;0;0;82;0;0;0;
443tcphttpsonedriveexe;290;118;54;0.71078431372549;0.843023255813954;0.771276595744681;
5938tcpsystem;0;0;9;0;0;0;
51654udp;767;197;4;0.795643153526971;0.994811932555123;0.884149855907781;
80tcphttpfirefoxexe;0;0;646;0;0;0;
5004udp;0;0;28;0;0;0;
27021udp;0;0;9;0;0;0;
80tcphttputorrentieexe;0;0;152;0;0;0;
40020udp;0;0;14;0;0;0;
27036udp;0;0;9;0;0;0;
443tcphttpssteamwebhelperexe;0;0;6;0;0;0;
1900udp;5916;79;127;0.986822351959967;0.978983948370015;0.982887522844326;
2869tcpsystem;0;0;161;0;0;0;
443tcphttpsfirefoxexe;980;129;32;0.883678990081154;0.968379446640316;0.924092409240924;
