sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;30;28;
11888_UDP-;30;8;
12350_TCP-skypeexe;38;31;
137_UDP-;229;243;
138_UDP-;284;251;
139_TCP-;31;21;
139_TCP-system;118;80;
1900_UDP-;6080;6085;
22_TCP_SSH-puttyexe;30;6;
22_TCP_SSH-winscpexe;31;31;
27017_UDP-;291;266;
27018_UDP-;286;285;
27019_UDP-;1514;1512;
27020_UDP-;223;212;
27021_UDP-;112;92;
27036_UDP-;32;15;
2869_TCP-;796;769;
2869_TCP-system;252;249;
3128_TCP-;423;508;
3128_TCP-chromeexe;478;466;
3128_TCP-spotifyexe;34;42;
3128_TCP-steamwebhelperexe;244;245;
3128_TCP-system;153;118;
3478_UDP-;151;129;
3702_UDP-;135;145;
3800_UDP-;30;36;
40003_UDP-;30;23;
40005_UDP-;30;1;
40018_UDP-;30;9;
40020_UDP-;30;32;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;30;26;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;92;113;
43265_UDP-;76;74;
443_TCP_Https-;7737;7860;
443_TCP_Https-chromeexe;6056;6096;
443_TCP_Https-firefoxexe;10512;10321;
443_TCP_Https-googledrivesyncexe;30;21;
443_TCP_Https-iexploreexe;5550;5574;
443_TCP_Https-itunesexe;5656;5521;
443_TCP_Https-mshtaexe;30;4;
443_TCP_Https-msmpengexe;30;38;
443_TCP_Https-onedriveexe;842;862;
443_TCP_Https-skypebrowserhostexe;381;390;
443_TCP_Https-skypeexe;2942;2793;
443_TCP_Https-spotifyexe;3264;3165;
443_TCP_Https-steamexe;35;28;
443_TCP_Https-steamwebhelperexe;31;23;
443_TCP_Https-svchostexe;324;326;
443_TCP_Https-system;15881;16068;
443_TCP_Https-thunderbirdexe;30;17;
443_TCP_Https-utorrentexe;190;174;
443_UDP_Https-;980;938;
45776_TCP-utorrentexe;30;13;
465_TCP-thunderbirdexe;46;48;
47993_UDP-;48;50;
49001_UDP-;42;42;
5004_UDP-;32;39;
5005_UDP-;34;36;
50321_UDP-;70;74;
51413_UDP-;365;358;
51654_UDP-;796;772;
5222_TCP_Jabber-pidginexe;33;28;
5223_TCP_JabberSsl-apsdaemonexe;101;86;
53_TCP_Dns-system;30;17;
53_UDP_Dns-;22157;22315;
5351_UDP-;93;109;
5353_UDP-;129;133;
5355_UDP-;22214;22356;
547_UDP_DhcPv6C-;30;17;
57621_UDP-;92;108;
5938_TCP-;70;55;
5938_TCP-system;38;40;
5938_TCP-teamviewer_serviceexe;64;56;
5938_UDP-;54;58;
67_UDP_DhcPc-;43;31;
67_UDP_DhcPs-;242;226;
6881_UDP-;525;533;
6882_UDP-;30;14;
6889_UDP-;192;175;
6892_UDP-;30;4;
6969_TCP-utorrentexe;122;128;
6992_UDP-;30;2;
80_TCP_HTTP-;7234;7260;
80_TCP_HTTP-avgmfapxexe;30;10;
80_TCP_HTTP-firefoxexe;709;778;
80_TCP_HTTP-iexploreexe;1189;1227;
80_TCP_HTTP-itunesexe;143;124;
80_TCP_HTTP-onedriveexe;52;39;
80_TCP_HTTP-spotifyexe;3104;3060;
80_TCP_HTTP-steamexe;270;271;
80_TCP_HTTP-system;59;63;
80_TCP_HTTP-teamviewer_serviceexe;191;196;
80_TCP_HTTP-utorrentexe;614;692;
80_TCP_HTTP-utorrentieexe;200;163;
8621_UDP-;33;39;
8999_UDP-;46;42;
9875_UDP-;30;5;
995_TCP-thunderbirdexe;118;105;
