sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
40027udp;0;1;8;0;0;0;
547udpdhcpv6c;0;0;17;0;0;0;
995tcp;0;0;110;0;0;0;
27019udp;1234;8;13;0.993558776167472;0.989574979951884;0.991562876657292;
40036udp;0;0;4;0;0;0;
5351udp;0;0;106;0;0;0;
40030udp;0;15;4;0;0;0;
6889udp;0;0;141;0;0;0;
6892udp;0;0;4;0;0;0;
27021udp;0;0;4;0;0;0;
43265udp;0;10;56;0;0;0;
5223tcpjabberssl;77;30;9;0.719626168224299;0.895348837209302;0.797927461139896;
12350tcp;2;0;16;1;0.111111111111111;0.2;
138udp;251;5;0;0.98046875;1;0.990138067061144;
67udpdhcps;217;1;7;0.995412844036697;0.96875;0.981900452488688;
40024udp;1;7;4;0.125;0.2;0.153846153846154;
40023udp;0;3;1;0;0;0;
40029udp;0;0;15;0;0;0;
40003udp;0;0;17;0;0;0;
67udpdhcpc;12;0;19;1;0.387096774193548;0.558139534883721;
8621udp;0;0;31;0;0;0;
5355udp;22358;261;0;0.988461028339007;1;0.99419703403962;
50321udp;0;0;71;0;0;0;
6969tcp;0;0;135;0;0;0;
53tcpdns;0;0;5;0;0;0;
8999udp;0;0;46;0;0;0;
443udphttps;922;121;12;0.88398849472675;0.987152034261242;0.932726353060192;
1900udp;5917;135;146;0.97769332452082;0.975919511792842;0.976805612876599;
1024udp;0;0;8;0;0;0;
5938tcp;139;2;3;0.985815602836879;0.97887323943662;0.982332155477032;
40020udp;0;0;20;0;0;0;
3800udp;0;0;33;0;0;0;
9875udp;0;0;5;0;0;0;
40018udp;0;0;4;0;0;0;
443tcphttps;59200;165;46;0.997220584519498;0.999223576275192;0.998221075616933;
27017udp;0;0;11;0;0;0;
3128tcp;343;95;123;0.78310502283105;0.736051502145923;0.758849557522124;
40028udp;0;0;1;0;0;0;
27036udp;0;0;13;0;0;0;
47993udp;0;0;39;0;0;0;
5353udp;28;0;51;1;0.354430379746835;0.523364485981308;
51413udp;107;79;51;0.575268817204301;0.677215189873418;0.622093023255814;
53udpdns;21871;14;189;0.999360292437743;0.99143245693563;0.99538058937308;
2869tcp;965;0;8;1;0.991778006166495;0.995872033023736;
57621udp;106;24;0;0.815384615384615;1;0.898305084745763;
4070tcp;54;0;10;1;0.84375;0.915254237288136;
11000udp;0;0;27;0;0;0;
40029tcp;0;0;5;0;0;0;
5222tcpjabber;0;0;5;0;0;0;
22tcpssh;0;0;41;0;0;0;
51654udp;763;264;3;0.742940603700097;0.996083550913838;0.851087562744004;
11888udp;0;0;8;0;0;0;
3702udp;139;0;2;1;0.985815602836879;0.992857142857143;
27018udp;6;30;0;0.166666666666667;1;0.285714285714286;
6992udp;0;0;2;0;0;0;
40005udp;0;0;1;0;0;0;
6882udp;0;0;12;0;0;0;
137udp;172;10;53;0.945054945054945;0.764444444444444;0.845208845208845;
5005udp;0;0;37;0;0;0;
40025udp;0;4;0;0;0;0;
5938udp;26;0;0;1;1;1;
5004udp;0;0;36;0;0;0;
80tcphttp;13693;273;13;0.980452527566948;0.999051510287465;0.989664642960393;
3478udp;124;0;1;1;0.992;0.995983935742972;
139tcp;101;0;0;1;1;1;
6881udp;398;424;47;0.484184914841849;0.89438202247191;0.628255722178374;
465tcp;0;0;39;0;0;0;
49001udp;0;0;28;0;0;0;
27020udp;0;0;5;0;0;0;
