sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_https-spotifyexe;1;1;1930;0,5;0,000517866390471258;0,00103466114847387;
tcp_dns-system;11;0;3;1;0,785714285714286;0,88;
tcp_http-system;0;0;122;0;0;0;
tcp_https-skypebrowserhostexe;0;1;232;0;0;0;
tcp_https-itunesexe;120;0;3129;1;0,0369344413665743;0,0712377560106857;
tcp_https-chromeexe;22;75;3580;0,22680412371134;0,00610771793448084;0,0118951067856177;
tcp_http-steamwebhelperexe;81;84;61;0,490909090909091;0,570422535211268;0,527687296416938;
tcp_http-firefoxexe;2;49;445;0,0392156862745098;0,00447427293064877;0,00803212851405622;
tcp_jabber-pidginexe;17;0;3;1;0,85;0,918918918918919;
tcp_https-;3695;19227;1131;0,161198848268039;0,765644426025694;0,266325500937004;
udp_ssdp-;0;0;3656;0;0;0;
9875_udp-;5;0;0;1;1;1;
50321_udp-;4;19;29;0,173913043478261;0,121212121212121;0,142857142857143;
tcp_http-onedriveexe;6;3;29;0,666666666666667;0,171428571428571;0,272727272727273;
udp_dhcps-;0;0;151;0;0;0;
udp_teamviewer-;8;0;13;1;0,380952380952381;0,551724137931034;
12350_tcp-skypeexe;17;0;2;1;0,894736842105263;0,944444444444444;
11888_udp-;0;0;8;0;0;0;
udp_dns-;12738;5374;578;0,703290636042403;0,956593571643136;0,81061473844979;
udp_natpmp-;0;0;59;0;0;0;
tcp_https-mshtaexe;0;0;4;0;0;0;
tcp_http-itunesexe;0;0;78;0;0;0;
139_tcp-;0;0;15;0;0;0;
5353_udp-;73;13;2;0,848837209302326;0,973333333333333;0,906832298136646;
40005_udp-;0;0;1;0;0;0;
udp_onlinegames-;39;7;1395;0,847826086956522;0,0271966527196653;0,0527027027027027;
40036_udp-;0;1;5;0;0;0;
udp_dhcpc-;9;1;17;0,9;0,346153846153846;0,5;
tcp_https-skypeexe;0;50;1649;0;0;0;
43265_udp-;17;14;32;0,548387096774194;0,346938775510204;0,425;
tcp_https-svchostexe;0;0;207;0;0;0;
tcp_https-iexploreexe;4;100;3273;0,0384615384615385;0,00122062862374123;0,00236616385684709;
tcp_http-chromeexe;98;93;199;0,513089005235602;0,32996632996633;0,401639344262295;
tcp_http-utorrentieexe;0;0;95;0;0;0;
1024_udp-;0;0;8;0;0;0;
tcp_teamviewer-teamviewer_serviceexe;31;21;5;0,596153846153846;0,861111111111111;0,704545454545455;
8621_udp-;0;0;23;0;0;0;
udp_llmnr-;0;0;13326;0;0;0;
udp_stun-;82;0;7;1;0,921348314606742;0,95906432748538;
tcp_https-firefoxexe;3686;6969;2608;0,345940872829657;0,585637114712425;0,434951914567231;
tcp_http-teamviewer_serviceexe;86;2;18;0,977272727272727;0,826923076923077;0,895833333333333;
tcp_http-avgmfapxexe;0;0;6;0;0;0;
8999_udp-;0;0;28;0;0;0;
tcp_https-onedriveexe;0;0;502;0;0;0;
3800_udp-;1;2;14;0,333333333333333;0,0666666666666667;0,111111111111111;
tcp_http-;3813;2335;773;0,620201691607027;0,83144352376799;0,710452766908888;
11000_udp-;9;0;14;1;0,391304347826087;0,5625;
udp_spotify-;70;2;1;0,972222222222222;0,985915492957747;0,979020979020979;
40025_udp-;0;4;1;0;0;0;
tcp_teamviewer-;30;3;2;0,909090909090909;0,9375;0,923076923076923;
tcp_jabberssl-apsdaemonexe;39;1;11;0,975;0,78;0,866666666666667;
6992_udp-;0;0;2;0;0;0;
