sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_https-spotifyexe;0;7;5826;0;0;0;
tcp_dns-system;17;0;0;1;1;1;
tcp_https-skypebrowserhostexe;13;175;671;0,0691489361702128;0,0190058479532164;0,0298165137614679;
tcp_http-system;9;98;348;0,0841121495327103;0,0252100840336134;0,0387931034482759;
tcp_https-itunesexe;4037;1167;6018;0,775749423520369;0,401491795126803;0,529130349302051;
tcp_https-chromeexe;476;1591;10423;0,230285437832608;0,0436737315350032;0,0734227980873053;
tcp_http-steamwebhelperexe;289;219;159;0,568897637795276;0,645089285714286;0,604602510460251;
tcp_http-firefoxexe;5;130;1341;0,037037037037037;0,0037147102526003;0,00675219446320054;
tcp_jabber-pidginexe;29;0;2;1;0,935483870967742;0,966666666666667;
tcp_https-;8154;37938;5912;0,176907055454309;0,579695720176312;0,271086139831776;
udp_ssdp-;0;2;10943;0;0;0;
9875_udp-;5;0;0;1;1;1;
50321_udp-;0;0;114;0;0;0;
tcp_http-onedriveexe;33;28;28;0,540983606557377;0,540983606557377;0,540983606557377;
udp_dhcps-;0;0;420;0;0;0;
udp_teamviewer-;42;0;40;1;0,51219512195122;0,67741935483871;
12350_tcp-skypeexe;33;3;6;0,916666666666667;0,846153846153846;0,88;
11888_udp-;1;411;7;0,00242718446601942;0,125;0,00476190476190476;
udp_dns-;38456;5995;1505;0,865132392972037;0,962338279822827;0,911150073449273;
udp_natpmp-;159;0;13;1;0,924418604651163;0,960725075528701;
tcp_https-mshtaexe;0;0;4;0;0;0;
tcp_http-itunesexe;0;1;237;0;0;0;
139_tcp-;7;0;15;1;0,318181818181818;0,482758620689655;
5353_udp-;206;35;26;0,854771784232365;0,887931034482759;0,871035940803383;
40005_udp-;0;5;1;0;0;0;
udp_onlinegames-;97;2;4278;0,97979797979798;0,0221714285714286;0,0433616450603487;
40036_udp-;0;3;5;0;0;0;
udp_dhcpc-;44;3;0;0,936170212765957;1;0,967032967032967;
tcp_https-skypeexe;2925;3133;2227;0,482832618025751;0,567740683229814;0,52185548617306;
43265_udp-;45;19;75;0,703125;0,375;0,489130434782609;
tcp_https-svchostexe;2;0;576;1;0,00346020761245675;0,00689655172413793;
tcp_https-iexploreexe;14;117;10038;0,106870229007634;0,00139275766016713;0,00274968084061671;
tcp_http-chromeexe;409;592;435;0,408591408591409;0,484597156398104;0,443360433604336;
tcp_http-utorrentieexe;1;91;329;0,0108695652173913;0,00303030303030303;0,00473933649289099;
1024_udp-;0;34;8;0;0;0;
tcp_teamviewer-teamviewer_serviceexe;74;81;16;0,47741935483871;0,822222222222222;0,604081632653061;
