sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;30;28;
11888_UDP;30;8;
12350_TCP;30;39;
139_TCP;30;220;
3702_UDP;30;250;
3800_UDP;30;36;
40003_UDP;30;23;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;30;32;
40023_UDP;30;1;
40024_UDP;30;10;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;30;26;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;30;175;
43265_UDP;30;120;
45776_TCP;30;13;
47993_UDP;30;68;
49001_UDP;30;54;
50321_UDP;30;114;
51654_UDP;78;1490;
5353_UDP;30;232;
6992_UDP;30;2;
8621_UDP;30;42;
8999_UDP;30;58;
9875_UDP;30;5;
TCP_Dns;30;17;
TCP_HTTP;1581;29059;
TCP_Https;5922;112865;
TCP_icslap;102;1966;
TCP_Jabber;30;31;
TCP_JabberSsl;30;157;
TCP_POP3tlsSSL;30;193;
TCP_SMTPtlsSSL;30;64;
TCP_SSH;30;68;
TCP_TeamViewer;30;293;
UDP_DhcPc;30;44;
UDP_DhcPs;30;438;
UDP_DhcPv6C;30;17;
UDP_Dns;2291;42173;
UDP_Https;85;1833;
UDP_LLMNR;2257;42321;
UDP_NATpmp;30;172;
UDP_netbios;30;442;
UDP_netbiosdgm;30;505;
UDP_OnlineGames;258;4595;
UDP_P2PBittorrent;123;2181;
UDP_RTP;30;120;
UDP_spotify;30;172;
UDP_SSDP;614;11551;
UDP_STUN;30;250;
UDP_TeamViewer;30;82;
