sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_icslap;473;0;1493;1;0,24059003051882;0,387863878638786;
tcp_http;28576;1894;483;0,937840498851329;0,983378643449534;0,960069881906298;
12350_tcp;33;0;6;1;0,846153846153846;0,916666666666667;
40036_udp;0;22;5;0;0;0;
11888_udp;0;383;8;0;0;0;
udp_spotify;166;666;6;0,199519230769231;0,965116279069767;0,330677290836653;
50321_udp;5;23;109;0,178571428571429;0,043859649122807;0,0704225352112676;
tcp_smtptlsssl;6;0;58;1;0,09375;0,171428571428571;
udp_dhcpv6c;17;319;0;0,0505952380952381;1;0,0963172804532578;
udp_rtp;117;13054;3;0,00888315238022929;0,975;0,0176058987284629;
45776_tcp;10;0;3;1;0,769230769230769;0,869565217391304;
8999_udp;0;0;58;0;0;0;
40005_udp;0;10;1;0;0;0;
tcp_teamviewer;233;72;60;0,763934426229508;0,795221843003413;0,779264214046823;
9875_udp;5;1;0;0,833333333333333;1;0,909090909090909;
udp_onlinegames;72;1;4523;0,986301369863014;0,0156692056583243;0,0308483290488432;
tcp_jabberssl;113;7;44;0,941666666666667;0,719745222929936;0,815884476534296;
11000_udp;28;4;0;0,875;1;0,933333333333333;
udp_dns;40738;5297;1435;0,884935375257956;0,965973490147725;0,923680391801197;
40028_udp;0;111;6;0;0;0;
tcp_https;112067;732;798;0,99351058076756;0,992929606166659;0,993220008508225;
tcp_pop3tlsssl;0;0;193;0;0;0;
8621_udp;0;0;42;0;0;0;
udp_netbiosdgm;448;0;57;1;0,887128712871287;0,940188877229801;
6992_udp;0;94;2;0;0;0;
tcp_ssh;34;1;34;0,971428571428571;0,5;0,660194174757281;
40027_udp;0;7;13;0;0;0;
40029_udp;9;296;17;0,0295081967213115;0,346153846153846;0,054380664652568;
udp_netbios;30;0;412;1;0,0678733031674208;0,127118644067797;
udp_https;1633;40;200;0,976090854751943;0,89088925259138;0,931545921277809;
40024_udp;2;585;8;0,00340715502555366;0,2;0,0067001675041876;
udp_natpmp;0;0;172;0;0;0;
3702_udp;229;1;21;0,995652173913044;0,916;0,954166666666667;
40003_udp;1;29;22;0,0333333333333333;0,0434782608695652;0,0377358490566038;
5353_udp;215;23;17;0,903361344537815;0,926724137931034;0,914893617021277;
udp_p2pbittorrent;176;70;2005;0,715447154471545;0,0806969280146722;0,145035022661722;
40025_udp;0;15;1;0;0;0;
tcp_dns;17;0;0;1;1;1;
40023_udp;0;4;1;0;0;0;
40020_udp;9;570;23;0,0155440414507772;0,28125;0,0294599018003273;
udp_llmnr;41835;120;486;0,997139792634966;0,988516339405969;0,992809340737576;
51654_udp;308;136;1182;0,693693693693694;0,206711409395973;0,318510858324716;
40029_tcp;4;0;1;1;0,8;0,888888888888889;
udp_ssdp;0;0;11551;0;0;0;
47993_udp;0;0;68;0;0;0;
4070_tcp;124;6;51;0,953846153846154;0,708571428571429;0,813114754098361;
udp_stun;121;0;129;1;0,484;0,652291105121294;
40018_udp;3;4;6;0,428571428571429;0,333333333333333;0,375;
43265_udp;37;22;83;0,627118644067797;0,308333333333333;0,41340782122905;
udp_teamviewer;39;0;43;1;0,475609756097561;0,644628099173554;
tcp_jabber;31;0;0;1;1;1;
udp_dhcpc;40;2;4;0,952380952380952;0,909090909090909;0,930232558139535;
3800_udp;0;0;36;0;0;0;
139_tcp;205;0;15;1;0,931818181818182;0,964705882352941;
49001_udp;15;1326;39;0,0111856823266219;0,277777777777778;0,021505376344086;
40030_udp;0;37;5;0;0;0;
udp_dhcps;383;0;55;1;0,874429223744292;0,933008526187576;
1024_udp;1;116;7;0,00854700854700855;0,125;0,016;
