sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;35;23;
11888_UDP-;30;8;
12350_TCP-skypeexe;50;19;
137_UDP-;333;139;
138_UDP-;383;152;
139_TCP-;35;17;
139_TCP-system;157;41;
1900_UDP-;8552;3613;
22_TCP_SSH-puttyexe;30;6;
22_TCP_SSH-winscpexe;45;17;
27017_UDP-;384;173;
27018_UDP-;395;176;
27019_UDP-;2119;907;
27020_UDP-;309;126;
27021_UDP-;150;54;
27036_UDP-;34;13;
2869_TCP-;1115;450;
2869_TCP-system;354;147;
3128_TCP-;634;297;
3128_TCP-chromeexe;668;276;
3128_TCP-spotifyexe;51;25;
3128_TCP-steamwebhelperexe;338;151;
3128_TCP-system;196;75;
3478_UDP-;206;74;
3702_UDP-;195;85;
3800_UDP-;44;22;
40003_UDP-;30;23;
40005_UDP-;30;1;
40018_UDP-;31;8;
40020_UDP-;44;18;
40023_UDP-;30;1;
40024_UDP-;33;7;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;39;17;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;144;61;
43265_UDP-;90;60;
443_TCP_Https-;10773;4824;
443_TCP_Https-firefoxexe;14540;6293;
443_TCP_Https-googledrivesyncexe;41;10;
443_TCP_Https-chromeexe;8548;3604;
443_TCP_Https-iexploreexe;7849;3275;
443_TCP_Https-itunesexe;7929;3248;
443_TCP_Https-mshtaexe;30;4;
443_TCP_Https-msmpengexe;49;19;
443_TCP_Https-onedriveexe;1204;500;
443_TCP_Https-skypebrowserhostexe;538;233;
443_TCP_Https-skypeexe;4052;1683;
443_TCP_Https-spotifyexe;4573;1856;
443_TCP_Https-steamexe;42;21;
443_TCP_Https-steamwebhelperexe;31;23;
443_TCP_Https-svchostexe;470;180;
443_TCP_Https-system;22366;9583;
443_TCP_Https-thunderbirdexe;35;12;
443_TCP_Https-utorrentexe;269;95;
443_UDP_Https-;1354;564;
45776_TCP-utorrentexe;30;13;
465_TCP-thunderbirdexe;66;28;
47993_UDP-;71;27;
49001_UDP-;56;28;
5004_UDP-;52;19;
5005_UDP-;49;21;
50321_UDP-;98;46;
51413_UDP-;506;217;
51654_UDP-;1112;456;
5222_TCP_Jabber-pidginexe;46;15;
5223_TCP_JabberSsl-apsdaemonexe;137;50;
53_TCP_Dns-system;36;11;
53_UDP_Dns-;31124;13348;
5351_UDP-;130;72;
5353_UDP-;176;86;
5355_UDP-;31249;13321;
547_UDP_DhcPv6C-;33;14;
57621_UDP-;148;52;
5938_TCP-;81;44;
5938_TCP-system;58;20;
5938_TCP-teamviewer_serviceexe;84;36;
5938_UDP-;74;38;
67_UDP_DhcPc-;56;18;
67_UDP_DhcPs-;334;134;
6881_UDP-;740;318;
6882_UDP-;33;11;
6889_UDP-;268;99;
6892_UDP-;30;4;
6969_TCP-utorrentexe;175;75;
6992_UDP-;30;2;
80_TCP_HTTP-;10184;4310;
80_TCP_HTTP-avgmfapxexe;30;10;
80_TCP_HTTP-firefoxexe;1009;478;
80_TCP_HTTP-iexploreexe;1696;720;
80_TCP_HTTP-itunesexe;188;79;
80_TCP_HTTP-onedriveexe;64;27;
80_TCP_HTTP-spotifyexe;4336;1828;
80_TCP_HTTP-steamexe;380;161;
80_TCP_HTTP-system;78;44;
80_TCP_HTTP-teamviewer_serviceexe;261;126;
80_TCP_HTTP-utorrentexe;886;420;
80_TCP_HTTP-utorrentieexe;266;97;
8621_UDP-;53;19;
8999_UDP-;64;24;
9875_UDP-;30;5;
995_TCP-thunderbirdexe;157;66;
