sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5938_tcp-teamviewer_serviceexe;44;29;12;0,602739726027397;0,785714285714286;0,682170542635659;
138_udp-;224;0;27;1;0,892430278884462;0,943157894736842;
67_udp_dhcpc-;17;2;14;0,894736842105263;0,548387096774194;0,68;
27020_udp-;0;0;212;0;0;0;
5223_tcp_jabberssl-apsdaemonexe;71;2;16;0,972602739726027;0,816091954022989;0,8875;
443_tcp_https-onedriveexe;0;0;862;0;0;0;
80_tcp_http-utorrentexe;309;7;383;0,977848101265823;0,446531791907514;0,613095238095238;
67_udp_dhcps-;0;1;226;0;0;0;
6881_udp-;134;230;400;0,368131868131868;0,250936329588015;0,298440979955457;
443_tcp_https-steamexe;0;0;28;0;0;0;
9875_udp-;5;0;0;1;1;1;
50321_udp-;22;161;53;0,120218579234973;0,293333333333333;0,170542635658915;
80_tcp_http-utorrentieexe;63;668;100;0,0861833105335157;0,386503067484663;0,140939597315436;
2869_tcp-;7;0;762;1;0,00910273081924577;0,0180412371134021;
443_tcp_https-skypebrowserhostexe;0;0;389;0;0;0;
80_tcp_http-onedriveexe;7;3;32;0,7;0,179487179487179;0,285714285714286;
12350_tcp-skypeexe;23;0;8;1;0,741935483870968;0,851851851851852;
11888_udp-;0;0;8;0;0;0;
3128_tcp-system;0;0;118;0;0;0;
3128_tcp-;53;46;455;0,535353535353535;0,104330708661417;0,174629324546952;
443_tcp_https-msmpengexe;0;0;38;0;0;0;
57621_udp-;107;457;0;0,189716312056738;1;0,31892697466468;
80_tcp_http-spotifyexe;3002;789;58;0,791875494592456;0,981045751633987;0,876368413370311;
443_tcp_https-skypeexe;2;76;2792;0,0256410256410256;0,000715819613457409;0,00139275766016713;
139_tcp-;0;0;21;0;0;0;
5353_udp-;131;141;3;0,481617647058824;0,977611940298508;0,645320197044335;
40005_udp-;0;4;1;0;0;0;
3128_tcp-spotifyexe;2;1;40;0,666666666666667;0,0476190476190476;0,0888888888888889;
40036_udp-;1;35;4;0,0277777777777778;0,2;0,048780487804878;
80_tcp_http-firefoxexe;13;83;765;0,135416666666667;0,0167095115681234;0,0297482837528604;
5938_tcp-;35;9;21;0,795454545454545;0,625;0,7;
80_tcp_http-;4555;1704;2705;0,727752037066624;0,627410468319559;0,673866410237444;
