sep=;
Label;Training;Verification
1024_UDP-;31;7;
11000_UDP-;53;5;
11888_UDP-;32;6;
12350_TCP-skypeexe;59;10;
137_UDP-;419;53;
138_UDP-;497;38;
139_TCP-;48;4;
139_TCP-system;184;14;
1900_UDP-;10970;1195;
22_TCP_SSH-puttyexe;34;2;
22_TCP_SSH-winscpexe;56;6;
27017_UDP-;505;52;
27018_UDP-;513;58;
27019_UDP-;2707;319;
27020_UDP-;382;53;
27021_UDP-;192;12;
27036_UDP-;43;4;
2869_TCP-;1398;167;
2869_TCP-system;453;48;
3128_TCP-;843;88;
3128_TCP-chromeexe;846;98;
3128_TCP-spotifyexe;63;13;
3128_TCP-steamwebhelperexe;446;43;
3128_TCP-system;246;25;
3478_UDP-;255;25;
3702_UDP-;250;30;
3800_UDP-;57;9;
40003_UDP-;45;8;
40005_UDP-;30;1;
40018_UDP-;32;7;
40020_UDP-;59;3;
40023_UDP-;30;1;
40024_UDP-;37;3;
40025_UDP-;30;1;
40027_UDP-;39;4;
40028_UDP-;33;3;
40029_TCP-skypeexe;31;4;
40029_UDP-;48;8;
40030_UDP-;31;4;
40036_UDP-;34;1;
4070_TCP-spotifyexe;184;21;
43265_UDP-;134;16;
443_TCP_Https-;13997;1600;
443_TCP_Https-firefoxexe;18756;2077;
443_TCP_Https-googledrivesyncexe;47;4;
443_TCP_Https-chromeexe;10944;1208;
443_TCP_Https-iexploreexe;10036;1088;
443_TCP_Https-itunesexe;10074;1103;
443_TCP_Https-mshtaexe;31;3;
443_TCP_Https-msmpengexe;61;7;
443_TCP_Https-onedriveexe;1548;156;
443_TCP_Https-skypebrowserhostexe;696;75;
443_TCP_Https-skypeexe;5167;568;
443_TCP_Https-spotifyexe;5823;606;
443_TCP_Https-steamexe;60;3;
443_TCP_Https-steamwebhelperexe;48;6;
443_TCP_Https-svchostexe;584;66;
443_TCP_Https-system;28779;3170;
443_TCP_Https-thunderbirdexe;44;3;
443_TCP_Https-utorrentexe;325;39;
443_UDP_Https-;1732;186;
45776_TCP-utorrentexe;40;3;
465_TCP-thunderbirdexe;85;9;
47993_UDP-;89;9;
49001_UDP-;78;6;
5004_UDP-;63;8;
5005_UDP-;64;6;
50321_UDP-;130;14;
51413_UDP-;669;54;
51654_UDP-;1422;146;
5222_TCP_Jabber-pidginexe;54;7;
5223_TCP_JabberSsl-apsdaemonexe;171;16;
53_TCP_Dns-system;45;2;
53_UDP_Dns-;39994;4478;
5351_UDP-;179;23;
5353_UDP-;237;25;
5355_UDP-;40145;4425;
547_UDP_DhcPv6C-;45;2;
57621_UDP-;175;25;
5938_TCP-;110;15;
5938_TCP-system;69;9;
5938_TCP-teamviewer_serviceexe;108;12;
5938_UDP-;100;12;
67_UDP_DhcPc-;67;7;
67_UDP_DhcPs-;425;43;
6881_UDP-;953;105;
6882_UDP-;43;1;
6889_UDP-;334;33;
6892_UDP-;33;1;
6969_TCP-utorrentexe;220;30;
6992_UDP-;31;1;
80_TCP_HTTP-;13052;1442;
80_TCP_HTTP-avgmfapxexe;39;1;
80_TCP_HTTP-firefoxexe;1336;151;
80_TCP_HTTP-iexploreexe;2166;250;
80_TCP_HTTP-itunesexe;237;30;
80_TCP_HTTP-onedriveexe;87;4;
80_TCP_HTTP-spotifyexe;5554;610;
80_TCP_HTTP-steamexe;482;59;
80_TCP_HTTP-system;114;8;
80_TCP_HTTP-teamviewer_serviceexe;348;39;
80_TCP_HTTP-utorrentexe;1178;128;
80_TCP_HTTP-utorrentieexe;316;47;
8621_UDP-;62;10;
8999_UDP-;78;10;
9875_UDP-;32;3;
995_TCP-thunderbirdexe;200;23;
