sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5938_tcp-teamviewer_serviceexe;67;1291;23;0,0493372606774669;0,744444444444444;0,0925414364640884;
138_udp-;441;0;64;1;0,873267326732673;0,932346723044397;
67_udp_dhcpc-;21;5;23;0,807692307692308;0,477272727272727;0,6;
27020_udp-;4;24;401;0,142857142857143;0,00987654320987654;0,0184757505773672;
5223_tcp_jabberssl-apsdaemonexe;127;110;30;0,535864978902954;0,808917197452229;0,644670050761421;
443_tcp_https-onedriveexe;1236;1582;438;0,43860894251242;0,738351254480287;0,550311665182547;
67_udp_dhcps-;398;0;40;1;0,908675799086758;0,952153110047847;
6881_udp-;13;11;1015;0,541666666666667;0,0126459143968872;0,0247148288973384;
80_tcp_http-utorrentexe;624;68;652;0,901734104046243;0,489028213166144;0,634146341463415;
443_tcp_https-steamexe;1;12;32;0,0769230769230769;0,0303030303030303;0,0434782608695652;
9875_udp-;5;10;0;0,333333333333333;1;0,5;
50321_udp-;0;8;114;0;0;0;
80_tcp_http-utorrentieexe;200;2491;133;0,0743218134522482;0,600600600600601;0,132275132275132;
2869_tcp-;538;15;997;0,972875226039783;0,350488599348534;0,515325670498084;
443_tcp_https-skypebrowserhostexe;296;1341;445;0,180818570555895;0,399460188933873;0,248948696383516;
80_tcp_http-onedriveexe;59;70;2;0,457364341085271;0,967213114754098;0,621052631578947;
12350_tcp-skypeexe;36;36;3;0,5;0,923076923076923;0,648648648648649;
11888_udp-;0;0;8;0;0;0;
3128_tcp-system;0;12;241;0;0;0;
3128_tcp-;487;431;414;0,530501089324619;0,540510543840178;0,535459043430456;
443_tcp_https-msmpengexe;19;38;19;0,333333333333333;0,5;0,4;
57621_udp-;170;7921;0;0,0210109998764059;1;0,0411572448856071;
443_tcp_https-skypeexe;2396;1302;3269;0,647917793401839;0,422947925860547;0,511801772936025;
80_tcp_http-spotifyexe;5713;605;391;0,904241848686293;0,935943643512451;0,919819674770568;
139_tcp-;12;0;10;1;0,545454545454545;0,705882352941176;
5353_udp-;225;44;7;0,836431226765799;0,969827586206897;0,898203592814371;
40005_udp-;0;10;1;0;0;0;
3128_tcp-spotifyexe;23;60;23;0,27710843373494;0,5;0,356589147286822;
40036_udp-;0;3;5;0;0;0;
80_tcp_http-firefoxexe;24;519;1433;0,0441988950276243;0,0164722031571723;0,024;
5938_tcp-;42;164;53;0,203883495145631;0,442105263157895;0,27906976744186;
80_tcp_http-;12186;5623;2155;0,684260767027907;0,849731538944286;0,758071539657854;
80_tcp_http-steamexe;225;38;286;0,855513307984791;0,440313111545988;0,581395348837209;
443_tcp_https-spotifyexe;2;121;6363;0,016260162601626;0,000314218381775334;0,00061652281134402;
43265_udp-;39;59;81;0,397959183673469;0,325;0,357798165137615;
443_tcp_https-svchostexe;246;553;374;0,307884856070088;0,396774193548387;0,346723044397463;
137_udp-;14;0;428;1;0,0316742081447964;0,0614035087719298;
1024_udp-;0;1;8;0;0;0;
8621_udp-;0;0;42;0;0;0;
6969_tcp-utorrentexe;110;0;110;1;0,5;0,666666666666667;
6889_udp-;0;0;337;0;0;0;
80_tcp_http-system;10;194;82;0,0490196078431373;0,108695652173913;0,0675675675675676;
1900_udp-;0;0;12045;0;0;0;
2869_tcp-system;131;0;340;1;0,278131634819533;0,435215946843854;
8999_udp-;20;609;38;0,0317965023847377;0,344827586206897;0,0582241630276565;
80_tcp_http-teamviewer_serviceexe;290;5;67;0,983050847457627;0,812324929971989;0,889570552147239;
443_tcp_https-mshtaexe;0;58;4;0;0;0;
443_tcp_https-system;5216;2707;26431;0,658336488703774;0,16481815021961;0,263634066211777;
547_udp_dhcpv6c-;16;38;1;0,296296296296296;0,941176470588235;0,450704225352113;
22_tcp_ssh-puttyexe;6;7;0;0,461538461538462;1;0,631578947368421;
3800_udp-;0;0;36;0;0;0;
11000_udp-;28;10;0;0,736842105263158;1;0,848484848484848;
40025_udp-;0;17;1;0;0;0;
443_tcp_https-iexploreexe;876;427;10123;0,672294704528012;0,0796436039639967;0,142415867338644;
27018_udp-;495;1520;46;0,245657568238213;0,914972273567468;0,387323943661972;
22_tcp_ssh-winscpexe;12;18;20;0,4;0,375;0,387096774193548;
5004_udp-;40;2980;1;0,0132450331125828;0,975609756097561;0,0261352499183273;
80_tcp_http-itunesexe;8;13;229;0,380952380952381;0,0337552742616034;0,062015503875969;
6892_udp-;1;93;3;0,0106382978723404;0,25;0,0204081632653061;
6992_udp-;0;0;2;0;0;0;
40020_udp-;0;4;32;0;0;0;
47993_udp-;2;0;66;1;0,0294117647058824;0,0571428571428571;
5005_udp-;32;0;8;1;0,8;0,888888888888889;
3702_udp-;248;6;2;0,976377952755906;0,992;0,984126984126984;
27017_udp-;0;0;527;0;0;0;
40023_udp-;0;2;1;0;0;0;
443_udp_https-;1634;6;254;0,996341463414634;0,865466101694915;0,926303854875283;
49001_udp-;18;3513;36;0,00509770603228547;0,333333333333333;0,0100418410041841;
53_tcp_dns-system;16;0;1;1;0,941176470588235;0,96969696969697;
4070_tcp-spotifyexe;144;22;31;0,867469879518072;0,822857142857143;0,844574780058651;
443_tcp_https-thunderbirdexe;0;0;17;0;0;0;
5355_udp-;43578;180;543;0,995886466474702;0,987692935336914;0,9917727784795;
40024_udp-;3;765;7;0,00390625;0,3;0,0077120822622108;
40030_udp-;0;0;5;0;0;0;
53_udp_dns-;42370;4481;1637;0,904356363791595;0,962801372508919;0,932664157256378;
40029_tcp-skypeexe;5;12;0;0,294117647058824;1;0,454545454545455;
40027_udp-;0;18;13;0;0;0;
995_tcp-thunderbirdexe;128;1;65;0,992248062015504;0,663212435233161;0,795031055900621;
40018_udp-;0;1;9;0;0;0;
443_tcp_https-firefoxexe;11946;22411;8673;0,347702069447274;0,579368543576313;0,43458963911525;
40029_udp-;13;373;13;0,0336787564766839;0,5;0,0631067961165049;
5351_udp-;0;0;172;0;0;0;
27021_udp-;7;68;167;0,0933333333333333;0,0402298850574713;0,0562248995983936;
45776_tcp-utorrentexe;10;0;3;1;0,769230769230769;0,869565217391304;
3128_tcp-steamwebhelperexe;288;278;171;0,508833922261484;0,627450980392157;0,561951219512195;
443_tcp_https-utorrentexe;188;0;146;1;0,562874251497006;0,720306513409962;
443_tcp_https-steamwebhelperexe;2;45;22;0,0425531914893617;0,0833333333333333;0,0563380281690141;
40028_udp-;0;170;6;0;0;0;
51654_udp-;331;87;1207;0,791866028708134;0,215214564369311;0,338445807770961;
443_tcp_https-googledrivesyncexe;0;43;21;0;0;0;
443_tcp_https-chromeexe;2561;7455;9460;0,25569089456869;0,21304383994676;0,232427281390389;
27036_udp-;16;0;1;1;0,941176470588235;0,96969696969697;
443_tcp_https-;7404;33393;8031;0,181483932642106;0,479689018464529;0,26333760136577;
443_tcp_https-itunesexe;7642;3877;3426;0,663425644587204;0,690458980845681;0,676672422189755;
465_tcp-thunderbirdexe;26;2;38;0,928571428571429;0,40625;0,565217391304348;
139_tcp-system;60;3;108;0,952380952380952;0,357142857142857;0,519480519480519;
3478_udp-;239;0;11;1;0,956;0,977505112474438;
6882_udp-;0;0;14;0;0;0;
5938_udp-;43;0;39;1;0,524390243902439;0,688;
80_tcp_http-avgmfapxexe;0;1;10;0;0;0;
3128_tcp-chromeexe;339;514;575;0,397420867526378;0,37089715536105;0,383701188455009;
27019_udp-;0;0;2996;0;0;0;
51413_udp-;0;0;693;0;0;0;
5938_tcp-system;23;39;25;0,370967741935484;0,479166666666667;0,418181818181818;
5222_tcp_jabber-pidginexe;30;3;1;0,909090909090909;0,967741935483871;0,9375;
40003_udp-;0;577;23;0;0;0;
80_tcp_http-iexploreexe;2;5;2384;0,285714285714286;0,000838222967309304;0,00167154199749269;
