sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5938_tcp-teamviewer_serviceexe;58;14;32;0,805555555555556;0,644444444444444;0,716049382716049;
138_udp-;377;0;44;1;0,895486935866983;0,944862155388471;
67_udp_dhcpc-;16;2;28;0,888888888888889;0,363636363636364;0,516129032258064;
27020_udp-;3;4;336;0,428571428571429;0,00884955752212389;0,0173410404624277;
5223_tcp_jabberssl-apsdaemonexe;118;1;30;0,991596638655462;0,797297297297297;0,883895131086142;
443_tcp_https-onedriveexe;268;166;1100;0,617511520737327;0,195906432748538;0,297447280799112;
67_udp_dhcps-;355;0;36;1;0,907928388746803;0,951742627345844;
80_tcp_http-utorrentexe;649;61;414;0,914084507042254;0,610536218250235;0,732092498589961;
6881_udp-;160;178;668;0,473372781065089;0,193236714975845;0,274442538593482;
443_tcp_https-steamexe;0;0;33;0;0;0;
9875_udp-;4;0;1;1;0,8;0,888888888888889;
50321_udp-;0;0;114;0;0;0;
80_tcp_http-utorrentieexe;125;1200;160;0,0943396226415094;0,43859649122807;0,15527950310559;
2869_tcp-;0;3;1270;0;0;0;
443_tcp_https-skypebrowserhostexe;0;40;625;0;0;0;
80_tcp_http-onedriveexe;33;38;28;0,464788732394366;0,540983606557377;0,5;
12350_tcp-skypeexe;36;2;3;0,947368421052632;0,923076923076923;0,935064935064935;
11888_udp-;0;0;8;0;0;0;
3128_tcp-system;0;5;210;0;0;0;
3128_tcp-;199;113;549;0,637820512820513;0,266042780748663;0,375471698113208;
443_tcp_https-msmpengexe;2;0;36;1;0,0526315789473684;0,1;
57621_udp-;159;7697;0;0,0202393075356415;1;0,0396756082345602;
80_tcp_http-spotifyexe;4866;1359;79;0,781686746987952;0,984024266936299;0,871262309758281;
443_tcp_https-skypeexe;2542;2476;2036;0,506576325229175;0,555264307557886;0,529804085035431;
139_tcp-;0;0;22;0;0;0;
5353_udp-;200;85;14;0,701754385964912;0,934579439252336;0,801603206412826;
40005_udp-;0;23;1;0;0;0;
3128_tcp-spotifyexe;12;11;34;0,521739130434783;0,260869565217391;0,347826086956522;
40036_udp-;0;40;5;0;0;0;
80_tcp_http-firefoxexe;365;2186;819;0,143081144649157;0,308277027027027;0,195448460508701;
5938_tcp-;61;80;34;0,432624113475177;0,642105263157895;0,516949152542373;
80_tcp_http-;8405;4125;3169;0,670790103750998;0,726196647658545;0,697394623299037;
80_tcp_http-steamexe;208;37;236;0,848979591836735;0,468468468468468;0,60377358490566;
443_tcp_https-spotifyexe;1;3;5086;0,25;0,00019657951641439;0,000392850127676292;
43265_udp-;34;25;86;0,576271186440678;0,283333333333333;0,379888268156425;
443_tcp_https-svchostexe;2;3;527;0,4;0,00378071833648393;0,00749063670411985;
137_udp-;0;0;376;0;0;0;
1024_udp-;0;0;8;0;0;0;
8621_udp-;0;0;42;0;0;0;
6969_tcp-utorrentexe;131;0;66;1;0,66497461928934;0,798780487804878;
6889_udp-;0;0;293;0;0;0;
80_tcp_http-system;1;113;91;0,0087719298245614;0,0108695652173913;0,00970873786407767;
1900_udp-;0;2;9716;0;0;0;
2869_tcp-system;216;0;185;1;0,538653366583541;0,700162074554295;
8999_udp-;0;27;58;0;0;0;
80_tcp_http-teamviewer_serviceexe;252;11;58;0,958174904942966;0,812903225806452;0,879581151832461;
443_tcp_https-mshtaexe;0;0;4;0;0;0;
443_tcp_https-system;6094;3834;19528;0,613819500402901;0,237842479119507;0,342841068917018;
547_udp_dhcpv6c-;16;187;1;0,0788177339901478;0,941176470588235;0,145454545454545;
22_tcp_ssh-puttyexe;6;0;0;1;1;1;
3800_udp-;1;13;35;0,0714285714285714;0,0277777777777778;0,04;
11000_udp-;27;1;1;0,964285714285714;0,964285714285714;0,964285714285714;
40025_udp-;0;4;1;0;0;0;
443_tcp_https-iexploreexe;31;241;8928;0,113970588235294;0,00346020761245675;0,00671649875419781;
27018_udp-;16;54;425;0,228571428571429;0,036281179138322;0,0626223091976517;
22_tcp_ssh-winscpexe;24;10;8;0,705882352941177;0,75;0,727272727272727;
5004_udp-;40;2764;1;0,014265335235378;0,975609756097561;0,0281195079086116;
80_tcp_http-itunesexe;0;0;208;0;0;0;
6892_udp-;1;102;3;0,00970873786407767;0,25;0,0186915887850467;
6992_udp-;0;0;2;0;0;0;
40020_udp-;1;4;31;0,2;0,03125;0,0540540540540541;
47993_udp-;0;0;68;0;0;0;
5005_udp-;38;0;2;1;0,95;0,974358974358974;
3702_udp-;211;11;4;0,95045045045045;0,981395348837209;0,965675057208238;
27017_udp-;0;0;430;0;0;0;
