sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;30;28;
11888_UDP-;30;8;
12350_TCP-skypeexe;30;39;
137_UDP-;160;312;
138_UDP-;198;337;
139_TCP-;30;22;
139_TCP-system;77;121;
1900_UDP-;4282;7883;
22_TCP_SSH-puttyexe;30;6;
22_TCP_SSH-winscpexe;30;32;
27017_UDP-;203;354;
27018_UDP-;226;345;
27019_UDP-;1058;1968;
27020_UDP-;154;281;
27021_UDP-;83;121;
27036_UDP-;30;17;
2869_TCP-;547;1018;
2869_TCP-system;180;321;
3128_TCP-;323;608;
3128_TCP-chromeexe;328;616;
3128_TCP-spotifyexe;30;46;
3128_TCP-steamwebhelperexe;160;329;
3128_TCP-system;110;161;
3478_UDP-;92;188;
3702_UDP-;100;180;
3800_UDP-;30;36;
40003_UDP-;30;23;
40005_UDP-;30;1;
40018_UDP-;30;9;
40020_UDP-;30;32;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;30;26;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;77;128;
43265_UDP-;61;89;
443_TCP_Https-;5305;10292;
443_TCP_Https-firefoxexe;7277;13556;
443_TCP_Https-googledrivesyncexe;30;21;
443_TCP_Https-chromeexe;4389;7763;
443_TCP_Https-iexploreexe;3857;7267;
443_TCP_Https-itunesexe;3895;7282;
443_TCP_Https-mshtaexe;30;4;
443_TCP_Https-msmpengexe;30;38;
443_TCP_Https-onedriveexe;592;1112;
443_TCP_Https-skypebrowserhostexe;259;512;
443_TCP_Https-skypeexe;2037;3698;
443_TCP_Https-spotifyexe;2337;4092;
443_TCP_Https-steamexe;30;33;
443_TCP_Https-steamwebhelperexe;30;24;
443_TCP_Https-svchostexe;205;445;
443_TCP_Https-system;11099;20850;
443_TCP_Https-thunderbirdexe;30;17;
443_TCP_Https-utorrentexe;120;244;
443_UDP_Https-;667;1251;
45776_TCP-utorrentexe;30;13;
465_TCP-thunderbirdexe;31;63;
47993_UDP-;33;65;
49001_UDP-;30;54;
5004_UDP-;30;41;
5005_UDP-;30;40;
50321_UDP-;52;92;
51413_UDP-;240;483;
51654_UDP-;562;1006;
5222_TCP_Jabber-pidginexe;30;31;
5223_TCP_JabberSsl-apsdaemonexe;59;128;
53_TCP_Dns-system;30;17;
53_UDP_Dns-;15405;29067;
5351_UDP-;71;131;
5353_UDP-;92;170;
5355_UDP-;15627;28943;
547_UDP_DhcPv6C-;30;17;
57621_UDP-;76;124;
5938_TCP-;49;76;
5938_TCP-system;30;48;
5938_TCP-teamviewer_serviceexe;42;78;
5938_UDP-;37;75;
67_UDP_DhcPc-;30;44;
67_UDP_DhcPs-;164;304;
6881_UDP-;368;690;
6882_UDP-;30;14;
6889_UDP-;127;240;
6892_UDP-;30;4;
6969_TCP-utorrentexe;87;163;
6992_UDP-;30;2;
80_TCP_HTTP-;5070;9424;
80_TCP_HTTP-avgmfapxexe;30;10;
80_TCP_HTTP-firefoxexe;514;973;
80_TCP_HTTP-iexploreexe;844;1572;
80_TCP_HTTP-itunesexe;108;159;
80_TCP_HTTP-onedriveexe;30;61;
80_TCP_HTTP-spotifyexe;2156;4008;
80_TCP_HTTP-steamexe;196;345;
80_TCP_HTTP-system;42;80;
80_TCP_HTTP-teamviewer_serviceexe;126;261;
80_TCP_HTTP-utorrentexe;451;855;
80_TCP_HTTP-utorrentieexe;126;237;
8621_UDP-;31;41;
8999_UDP-;30;58;
9875_UDP-;30;5;
995_TCP-thunderbirdexe;76;147;
