sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5938_tcp-teamviewer_serviceexe;8;6;4;0,571428571428571;0,666666666666667;0,615384615384615;
138_udp-;34;0;4;1;0,894736842105263;0,944444444444444;
67_udp_dhcpc-;4;0;3;1;0,571428571428571;0,727272727272727;
27020_udp-;0;0;53;0;0;0;
5223_tcp_jabberssl-apsdaemonexe;15;1;1;0,9375;0,9375;0,9375;
443_tcp_https-onedriveexe;0;0;156;0;0;0;
80_tcp_http-utorrentexe;3;0;125;1;0,0234375;0,0458015267175573;
67_udp_dhcps-;0;0;43;0;0;0;
6881_udp-;30;28;75;0,517241379310345;0,285714285714286;0,368098159509202;
443_tcp_https-steamexe;0;0;3;0;0;0;
9875_udp-;3;0;0;1;1;1;
50321_udp-;1;31;13;0,03125;0,0714285714285714;0,0434782608695652;
80_tcp_http-utorrentieexe;16;39;31;0,290909090909091;0,340425531914894;0,313725490196078;
2869_tcp-;0;0;167;0;0;0;
443_tcp_https-skypebrowserhostexe;0;0;75;0;0;0;
80_tcp_http-onedriveexe;0;2;4;0;0;0;
12350_tcp-skypeexe;9;0;1;1;0,9;0,947368421052632;
11888_udp-;0;6;6;0;0;0;
3128_tcp-system;0;0;25;0;0;0;
3128_tcp-;30;34;58;0,46875;0,340909090909091;0,394736842105263;
443_tcp_https-msmpengexe;0;0;7;0;0;0;
57621_udp-;25;108;0;0,18796992481203;1;0,316455696202532;
80_tcp_http-spotifyexe;602;163;8;0,786928104575163;0,986885245901639;0,875636363636364;
443_tcp_https-skypeexe;0;11;568;0;0;0;
139_tcp-;0;0;4;0;0;0;
5353_udp-;25;1;0;0,961538461538462;1;0,980392156862745;
40005_udp-;0;0;1;0;0;0;
3128_tcp-spotifyexe;3;1;10;0,75;0,230769230769231;0,352941176470588;
40036_udp-;0;3;1;0;0;0;
80_tcp_http-firefoxexe;0;22;151;0;0;0;
5938_tcp-;14;12;1;0,538461538461538;0,933333333333333;0,682926829268293;
80_tcp_http-;1119;612;323;0,646447140381282;0,776005547850208;0,705326189725812;
80_tcp_http-steamexe;35;66;24;0,346534653465347;0,593220338983051;0,4375;
443_tcp_https-spotifyexe;0;1;606;0;0;0;
43265_udp-;2;3;14;0,4;0,125;0,19047619047619;
443_tcp_https-svchostexe;0;0;66;0;0;0;
137_udp-;5;0;48;1;0,0943396226415094;0,172413793103448;
1024_udp-;0;0;7;0;0;0;
8621_udp-;0;0;10;0;0;0;
6969_tcp-utorrentexe;24;0;6;1;0,8;0,888888888888889;
80_tcp_http-system;0;0;8;0;0;0;
6889_udp-;0;0;33;0;0;0;
1900_udp-;0;0;1195;0;0;0;
2869_tcp-system;0;0;48;0;0;0;
8999_udp-;0;0;10;0;0;0;
80_tcp_http-teamviewer_serviceexe;34;2;5;0,944444444444444;0,871794871794872;0,906666666666667;
443_tcp_https-mshtaexe;0;0;3;0;0;0;
443_tcp_https-system;274;168;2896;0,619909502262443;0,0864353312302839;0,15171650055371;
547_udp_dhcpv6c-;1;2;1;0,333333333333333;0,5;0,4;
22_tcp_ssh-puttyexe;1;0;1;1;0,5;0,666666666666667;
3800_udp-;0;0;9;0;0;0;
11000_udp-;5;0;0;1;1;1;
40025_udp-;0;1;1;0;0;0;
443_tcp_https-iexploreexe;4;28;1084;0,125;0,00367647058823529;0,00714285714285714;
27018_udp-;2;5;56;0,285714285714286;0,0344827586206897;0,0615384615384615;
22_tcp_ssh-winscpexe;2;0;4;1;0,333333333333333;0,5;
5004_udp-;7;97;1;0,0673076923076923;0,875;0,125;
80_tcp_http-itunesexe;0;0;30;0;0;0;
6892_udp-;1;4;0;0,2;1;0,333333333333333;
6992_udp-;0;0;1;0;0;0;
40020_udp-;0;3;3;0;0;0;
47993_udp-;0;0;9;0;0;0;
3702_udp-;29;0;1;1;0,966666666666667;0,983050847457627;
5005_udp-;6;1113;0;0,00536193029490617;1;0,0106666666666667;
27017_udp-;0;0;52;0;0;0;
40023_udp-;0;0;1;0;0;0;
