sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;35;23;
11888_UDP;30;8;
12350_TCP;50;19;
137_UDP;333;139;
138_UDP;383;152;
139_TCP;192;58;
1900_UDP;8552;3613;
22_TCP_SSH;67;31;
27017_UDP;387;170;
27018_UDP;392;179;
27019_UDP;2118;908;
27020_UDP;308;127;
27021_UDP;151;53;
27036_UDP;34;13;
2869_TCP;1468;598;
3128_TCP;1887;824;
3478_UDP;209;71;
3702_UDP;195;85;
3800_UDP;41;25;
40003_UDP;31;22;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;46;16;
40023_UDP;30;1;
40024_UDP;33;7;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;34;22;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;144;61;
43265_UDP;96;54;
443_TCP_Https;83324;35478;
443_UDP_Https;1356;562;
45776_TCP;31;12;
465_TCP;62;32;
47993_UDP;77;21;
49001_UDP;54;30;
5004_UDP;51;20;
5005_UDP;49;21;
50321_UDP;99;45;
51413_UDP;506;217;
51654_UDP;1110;458;
5222_TCP_Jabber;47;14;
5223_TCP_JabberSsl;136;51;
53_TCP_Dns;39;8;
53_UDP_Dns;31121;13351;
5351_UDP;136;66;
5353_UDP;175;87;
5355_UDP;31244;13326;
547_UDP_DhcPv6C;34;13;
57621_UDP;145;55;
5938_TCP;226;97;
5938_UDP;74;38;
67_UDP_DhcPc;56;18;
67_UDP_DhcPs;336;132;
6881_UDP;736;322;
6882_UDP;32;12;
6889_UDP;268;99;
6892_UDP;30;4;
6969_TCP;175;75;
6992_UDP;30;2;
80_TCP_HTTP;19374;8304;
8621_UDP;54;18;
8999_UDP;66;22;
9875_UDP;30;5;
995_TCP;153;70;
