sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;0;0;598;0;0;0;
5005_udp;21;3356;0;0,00621853716316257;1;0,0123602118893467;
12350_tcp;14;0;5;1;0,736842105263158;0,848484848484848;
3128_tcp;378;0;446;1;0,45873786407767;0,628951747088186;
6882_udp;0;0;12;0;0;0;
80_tcp_http;8275;1346;29;0,860097702941482;0,996507707129094;0,923291492329149;
40036_udp;0;26;5;0;0;0;
11888_udp;0;0;8;0;0;0;
50321_udp;14;241;31;0,0549019607843137;0,311111111111111;0,0933333333333333;
5004_udp;20;96;0;0,172413793103448;1;0,294117647058824;
465_tcp;1;0;31;1;0,03125;0,0606060606060606;
443_tcp_https;35216;135;262;0,996181154705666;0,992615141778003;0,994394951220545;
27017_udp;0;0;170;0;0;0;
27020_udp;0;1;127;0;0;0;
547_udp_dhcpv6c;13;2;0;0,866666666666667;1;0,928571428571429;
27018_udp;4;3;175;0,571428571428571;0,0223463687150838;0,043010752688172;
57621_udp;55;329;0;0,143229166666667;1;0,250569476082005;
22_tcp_ssh;20;0;11;1;0,645161290322581;0,784313725490196;
45776_tcp;8;0;4;1;0,666666666666667;0,8;
8999_udp;0;0;22;0;0;0;
40005_udp;0;2;1;0;0;0;
53_tcp_dns;6;0;2;1;0,75;0,857142857142857;
5351_udp;0;0;66;0;0;0;
6892_udp;0;44;4;0;0;0;
9875_udp;5;0;0;1;1;1;
67_udp_dhcps;0;0;132;0;0;0;
11000_udp;22;0;1;1;0,956521739130435;0,977777777777778;
138_udp;138;0;14;1;0,907894736842105;0,951724137931035;
6969_tcp;38;0;37;1;0,506666666666667;0,672566371681416;
40028_udp;0;20;6;0;0;0;
995_tcp;0;0;70;0;0;0;
67_udp_dhcpc;8;0;10;1;0,444444444444444;0,615384615384615;
8621_udp;0;0;18;0;0;0;
5223_tcp_jabberssl;42;1;9;0,976744186046512;0,823529411764706;0,893617021276596;
6992_udp;0;0;2;0;0;0;
40027_udp;0;0;13;0;0;0;
40029_udp;11;53;11;0,171875;0,5;0,255813953488372;
5355_udp;13238;64;88;0,99518869342956;0,993396368002401;0,994291722998348;
6889_udp;0;0;99;0;0;0;
40024_udp;0;414;7;0;0;0;
5938_tcp;96;30;1;0,761904761904762;0,989690721649485;0,860986547085202;
3702_udp;85;0;0;1;1;1;
40003_udp;0;0;22;0;0;0;
27036_udp;13;65;0;0,166666666666667;1;0,285714285714286;
1900_udp;0;0;3613;0;0;0;
5353_udp;87;0;0;1;1;1;
27021_udp;1;25;52;0,0384615384615385;0,0188679245283019;0,0253164556962025;
40025_udp;1;7;0;0,125;1;0,222222222222222;
40023_udp;0;2;1;0;0;0;
5222_tcp_jabber;10;0;4;1;0,714285714285714;0,833333333333333;
40020_udp;4;6;12;0,4;0,25;0,307692307692308;
5938_udp;20;0;18;1;0,526315789473684;0,689655172413793;
51413_udp;3;15;214;0,166666666666667;0,0138248847926267;0,025531914893617;
51654_udp;430;244;28;0,637982195845697;0,938864628820961;0,759717314487633;
40029_tcp;3;0;2;1;0,6;0,75;
47993_udp;0;0;21;0;0;0;
4070_tcp;52;0;9;1;0,852459016393443;0,920353982300885;
27019_udp;0;0;908;0;0;0;
3478_udp;68;0;3;1;0,957746478873239;0,97841726618705;
137_udp;8;0;131;1;0,0575539568345324;0,108843537414966;
6881_udp;82;146;240;0,359649122807018;0,254658385093168;0,298181818181818;
40018_udp;0;2;9;0;0;0;
53_udp_dns;12859;1733;492;0,881236293859649;0,963148827803161;0,920373617721791;
43265_udp;4;3;50;0,571428571428571;0,0740740740740741;0,131147540983607;
443_udp_https;504;51;58;0,908108108108108;0,896797153024911;0,902417188898836;
3800_udp;1;11;24;0,0833333333333333;0,04;0,0540540540540541;
139_tcp;54;0;4;1;0,931034482758621;0,964285714285714;
49001_udp;1;11;29;0,0833333333333333;0,0333333333333333;0,0476190476190476;
40030_udp;0;0;5;0;0;0;
1024_udp;0;0;8;0;0;0;
