sep=;
Label;Training;Verification
1024_UDP;31;7;
11000_UDP;53;5;
11888_UDP;32;6;
12350_TCP;59;10;
137_UDP;419;53;
138_UDP;497;38;
139_TCP;232;18;
1900_UDP;10970;1195;
22_TCP_SSH;90;8;
27017_UDP;505;52;
27018_UDP;513;58;
27019_UDP;2707;319;
27020_UDP;382;53;
27021_UDP;192;12;
27036_UDP;43;4;
2869_TCP;1851;215;
3128_TCP;2444;267;
3478_UDP;255;25;
3702_UDP;250;30;
3800_UDP;57;9;
40003_UDP;45;8;
40005_UDP;30;1;
40018_UDP;32;7;
40020_UDP;59;3;
40023_UDP;30;1;
40024_UDP;37;3;
40025_UDP;30;1;
40027_UDP;39;4;
40028_UDP;33;3;
40029_TCP;31;4;
40029_UDP;48;8;
40030_UDP;31;4;
40036_UDP;34;1;
4070_TCP;184;21;
43265_UDP;134;16;
443_TCP_Https;107020;11782;
443_UDP_Https;1732;186;
45776_TCP;40;3;
465_TCP;85;9;
47993_UDP;89;9;
49001_UDP;78;6;
5004_UDP;63;8;
5005_UDP;64;6;
50321_UDP;130;14;
51413_UDP;669;54;
51654_UDP;1422;146;
5222_TCP_Jabber;54;7;
5223_TCP_JabberSsl;171;16;
53_TCP_Dns;45;2;
53_UDP_Dns;39994;4478;
5351_UDP;179;23;
5353_UDP;237;25;
5355_UDP;40145;4425;
547_UDP_DhcPv6C;45;2;
57621_UDP;175;25;
5938_TCP;287;36;
5938_UDP;100;12;
67_UDP_DhcPc;67;7;
67_UDP_DhcPs;425;43;
6881_UDP;953;105;
6882_UDP;43;1;
6889_UDP;334;33;
6892_UDP;33;1;
6969_TCP;220;30;
6992_UDP;31;1;
80_TCP_HTTP;24909;2769;
8621_UDP;62;10;
8999_UDP;78;10;
9875_UDP;32;3;
995_TCP;200;23;
