sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;0;0;1335;0;0;0;
5005_udp;39;7467;1;0,00519584332533973;0,975;0,0103366021733369;
12350_tcp;27;1;12;0,964285714285714;0,692307692307692;0,805970149253731;
3128_tcp;778;2;998;0,997435897435897;0,438063063063063;0,608763693270736;
6882_udp;0;0;14;0;0;0;
80_tcp_http;17891;2880;114;0,861345144672861;0,993668425437379;0,922787291107902;
40036_udp;0;2;5;0;0;0;
11888_udp;0;0;8;0;0;0;
50321_udp;0;0;94;0;0;0;
5004_udp;41;22;0;0,650793650793651;1;0,788461538461539;
465_tcp;0;0;58;0;0;0;
443_tcp_https;76773;307;526;0,996017125064868;0,993195254789842;0,994604188393499;
27017_udp;0;0;362;0;0;0;
27020_udp;0;7;283;0;0;0;
547_udp_dhcpv6c;17;1;0;0,944444444444444;1;0,971428571428571;
27018_udp;3;4;346;0,428571428571429;0,00859598853868195;0,0168539325842697;
57621_udp;120;569;0;0,174165457184325;1;0,296662546353523;
22_tcp_ssh;40;0;23;1;0,634920634920635;0,776699029126214;
45776_tcp;11;0;2;1;0,846153846153846;0,916666666666667;
8999_udp;0;0;56;0;0;0;
40005_udp;0;3;1;0;0;0;
53_tcp_dns;10;0;7;1;0,588235294117647;0,740740740740741;
5351_udp;0;0;136;0;0;0;
6892_udp;1;64;3;0,0153846153846154;0,25;0,0289855072463768;
9875_udp;5;1;0;0,833333333333333;1;0,909090909090909;
67_udp_dhcps;280;0;30;1;0,903225806451613;0,949152542372881;
11000_udp;9;0;19;1;0,321428571428571;0,486486486486487;
138_udp;305;0;32;1;0,905044510385757;0,950155763239875;
6969_tcp;122;0;42;1;0,74390243902439;0,853146853146853;
40028_udp;1;226;5;0,00440528634361234;0,166666666666667;0,00858369098712447;
995_tcp;0;0;152;0;0;0;
67_udp_dhcpc;15;2;29;0,882352941176471;0,340909090909091;0,491803278688525;
8621_udp;0;0;39;0;0;0;
5223_tcp_jabberssl;94;0;30;1;0,758064516129032;0,862385321100917;
6992_udp;0;0;2;0;0;0;
40027_udp;0;112;13;0;0;0;
40029_udp;14;44;12;0,241379310344828;0,538461538461538;0,333333333333333;
5355_udp;28695;127;251;0,995593643744362;0,991328680992192;0,993456584960532;
6889_udp;0;1;242;0;0;0;
40024_udp;1;114;9;0,00869565217391304;0,1;0,016;
5938_tcp;190;121;18;0,610932475884244;0,913461538461538;0,732177263969171;
3702_udp;176;3;4;0,983240223463687;0,977777777777778;0,98050139275766;
40003_udp;2;0;21;1;0,0869565217391304;0,16;
27036_udp;17;187;0;0,0833333333333333;1;0,153846153846154;
1900_udp;0;0;7882;0;0;0;
5353_udp;161;1;2;0,993827160493827;0,987730061349693;0,990769230769231;
27021_udp;2;48;121;0,04;0,016260162601626;0,023121387283237;
40025_udp;0;6;1;0;0;0;
40023_udp;0;2;1;0;0;0;
5222_tcp_jabber;28;0;3;1;0,903225806451613;0,949152542372881;
40020_udp;3;301;29;0,00986842105263158;0,09375;0,0178571428571429;
5938_udp;33;0;38;1;0,464788732394366;0,634615384615385;
51413_udp;0;12;478;0;0;0;
51654_udp;958;356;52;0,729071537290715;0,948514851485148;0,824440619621343;
40029_tcp;3;0;2;1;0,6;0,75;
47993_udp;0;0;60;0;0;0;
4070_tcp;119;1;17;0,991666666666667;0,875;0,9296875;
27019_udp;0;0;1964;0;0;0;
3478_udp;80;0;100;1;0,444444444444444;0,615384615384615;
137_udp;25;0;287;1;0,0801282051282051;0,148367952522255;
6881_udp;206;341;486;0,376599634369287;0,297687861271676;0,332526230831316;
40018_udp;1;0;8;1;0,111111111111111;0,2;
53_udp_dns;28226;4277;850;0,868412146571086;0,970766267712203;0,916741096802481;
43265_udp;2;2;88;0,5;0,0222222222222222;0,0425531914893617;
443_udp_https;1115;115;143;0,90650406504065;0,886327503974563;0,896302250803859;
3800_udp;0;1;36;0;0;0;
139_tcp;110;0;42;1;0,723684210526316;0,83969465648855;
49001_udp;15;341;39;0,0421348314606742;0,277777777777778;0,0731707317073171;
40030_udp;1;4;4;0,2;0,2;0,2;
1024_udp;0;0;8;0;0;0;
