sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;215;0;1458;1;0,128511655708308;0,227754237288136;
5005_udp;40;8848;0;0,0045004500450045;1;0,00896057347670251;
12350_tcp;32;0;7;1;0,82051282051282;0,901408450704225;
3128_tcp;1091;1;1072;0,999084249084249;0,504392048081369;0,670353302611367;
6882_udp;0;4;14;0;0;0;
80_tcp_http;22002;3222;160;0,872264509990485;0,992780434978793;0,928628708901363;
40036_udp;1;6;4;0,142857142857143;0,2;0,166666666666667;
11888_udp;0;3;8;0;0;0;
50321_udp;35;359;79;0,0888324873096447;0,307017543859649;0,137795275590551;
5004_udp;41;23;0;0,640625;1;0,780952380952381;
465_tcp;5;30;59;0,142857142857143;0,078125;0,101010101010101;
443_tcp_https;94578;425;682;0,995526457059251;0,99284064665127;0,994181737910156;
27017_udp;0;1;424;0;0;0;
27020_udp;14;58;324;0,194444444444444;0,0414201183431953;0,0682926829268293;
547_udp_dhcpv6c;16;29;1;0,355555555555556;0,941176470588235;0,516129032258065;
27018_udp;2;2;444;0,5;0,00448430493273543;0,00888888888888889;
57621_udp;167;1021;0;0,140572390572391;1;0,246494464944649;
22_tcp_ssh;41;0;27;1;0,602941176470588;0,752293577981651;
45776_tcp;10;0;3;1;0,769230769230769;0,869565217391304;
8999_udp;2;69;56;0,028169014084507;0,0344827586206897;0,0310077519379845;
40005_udp;0;0;1;0;0;0;
53_tcp_dns;17;0;0;1;1;1;
5351_udp;146;0;13;1;0,918238993710692;0,957377049180328;
6892_udp;2;96;2;0,0204081632653061;0,5;0,0392156862745098;
9875_udp;5;1;0;0,833333333333333;1;0,909090909090909;
67_udp_dhcps;358;1;4;0,997214484679666;0,988950276243094;0,993065187239945;
11000_udp;27;0;1;1;0,964285714285714;0,981818181818182;
138_udp;377;0;44;1;0,895486935866983;0,944862155388471;
6969_tcp;150;0;55;1;0,731707317073171;0,845070422535211;
40028_udp;0;166;6;0;0;0;
995_tcp;0;0;174;0;0;0;
67_udp_dhcpc;19;4;25;0,826086956521739;0,431818181818182;0,567164179104478;
8621_udp;0;0;42;0;0;0;
5223_tcp_jabberssl;127;2;30;0,984496124031008;0,808917197452229;0,888111888111888;
6992_udp;0;0;2;0;0;0;
40027_udp;0;52;13;0;0;0;
40029_udp;8;170;18;0,0449438202247191;0,307692307692308;0,0784313725490196;
5355_udp;35378;4;303;0,999886948165734;0,991508085535719;0,995679889675358;
6889_udp;0;0;286;0;0;0;
40024_udp;1;631;9;0,00158227848101266;0,1;0,00311526479750779;
5938_tcp;219;44;36;0,832699619771863;0,858823529411765;0,845559845559846;
3702_udp;212;0;1;1;0,995305164319249;0,997647058823529;
40003_udp;0;18;23;0;0;0;
27036_udp;17;265;0;0,0602836879432624;1;0,11371237458194;
1900_udp;0;0;9718;0;0;0;
5353_udp;207;1;6;0,995192307692308;0,971830985915493;0,983372921615202;
27021_udp;0;0;155;0;0;0;
40025_udp;0;11;1;0;0;0;
40023_udp;0;3;1;0;0;0;
5222_tcp_jabber;21;0;10;1;0,67741935483871;0,807692307692308;
40020_udp;5;193;27;0,0252525252525253;0,15625;0,0434782608695652;
5938_udp;40;0;42;1;0,48780487804878;0,655737704918033;
51413_udp;27;34;562;0,442622950819672;0,0458404074702886;0,0830769230769231;
51654_udp;1172;275;74;0,809951624049758;0,940609951845907;0,870404753063498;
40029_tcp;5;0;0;1;1;1;
47993_udp;0;0;68;0;0;0;
4070_tcp;123;0;48;1;0,719298245614035;0,836734693877551;
27019_udp;0;0;2410;0;0;0;
3478_udp;113;0;114;1;0,497797356828194;0,664705882352941;
137_udp;0;0;376;0;0;0;
6881_udp;168;243;681;0,408759124087591;0,197879858657244;0,266666666666667;
40018_udp;0;1;9;0;0;0;
53_udp_dns;34446;5214;1159;0,868532526475038;0,967448392079764;0,91532584866804;
43265_udp;5;5;111;0,5;0,0431034482758621;0,0793650793650794;
443_udp_https;1375;127;167;0,915446071904128;0,891699092088197;0,903416557161629;
3800_udp;3;36;33;0,0769230769230769;0,0833333333333333;0,08;
139_tcp;177;0;13;1;0,931578947368421;0,964577656675749;
49001_udp;0;63;54;0;0;0;
40030_udp;0;0;5;0;0;0;
1024_udp;0;1;8;0;0;0;
