sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;0;0;1862;0;0;0;
5005_udp;38;0;2;1;0,95;0,974358974358974;
12350_tcp;38;2;1;0,95;0,974358974358974;0,962025316455696;
3128_tcp;2222;11;213;0,995073891625616;0,912525667351129;0,952013710368466;
6882_udp;0;3;14;0;0;0;
80_tcp_http;24668;2922;200;0,894092062341428;0,991957535788966;0,940485721910862;
40036_udp;0;13;5;0;0;0;
11888_udp;0;19;8;0;0;0;
50321_udp;18;221;96;0,0753138075313808;0,157894736842105;0,101983002832861;
5004_udp;41;2267;0;0,0177642980935875;1;0,0349084716900809;
465_tcp;0;0;64;0;0;0;
443_tcp_https;106235;520;736;0,99512903376891;0,993119630554075;0,99412331677007;
27017_udp;0;0;495;0;0;0;
27020_udp;2;7;390;0,222222222222222;0,00510204081632653;0,00997506234413965;
547_udp_dhcpv6c;17;23;0;0,425;1;0,596491228070175;
27018_udp;17;59;489;0,223684210526316;0,033596837944664;0,0584192439862543;
57621_udp;170;8401;0;0,0198343250495858;1;0,0388971513556801;
22_tcp_ssh;44;0;24;1;0,647058823529412;0,785714285714286;
45776_tcp;10;0;3;1;0,769230769230769;0,869565217391304;
8999_udp;0;2;58;0;0;0;
40005_udp;0;7;1;0;0;0;
53_tcp_dns;16;0;1;1;0,941176470588235;0,96969696969697;
5351_udp;0;0;172;0;0;0;
6892_udp;0;150;4;0;0;0;
9875_udp;4;0;1;1;0,8;0,888888888888889;
67_udp_dhcps;392;0;40;1;0,907407407407407;0,951456310679612;
11000_udp;26;0;2;1;0,928571428571429;0,962962962962963;
138_udp;421;0;51;1;0,891949152542373;0,942889137737962;
6969_tcp;108;0;112;1;0,490909090909091;0,658536585365854;
40028_udp;0;43;6;0;0;0;
995_tcp;0;0;193;0;0;0;
67_udp_dhcpc;16;2;28;0,888888888888889;0,363636363636364;0,516129032258064;
8621_udp;0;0;42;0;0;0;
5223_tcp_jabberssl;133;2;24;0,985185185185185;0,847133757961783;0,910958904109589;
6992_udp;0;0;2;0;0;0;
40027_udp;0;0;13;0;0;0;
40029_udp;11;298;15;0,0355987055016181;0,423076923076923;0,0656716417910448;
5355_udp;39768;211;348;0,994722229170314;0,991325157044571;0,99302078781447;
6889_udp;0;0;329;0;0;0;
40024_udp;2;681;8;0,00292825768667643;0,2;0,00577200577200577;
5938_tcp;194;22;98;0,898148148148148;0,664383561643836;0,763779527559055;
3702_udp;243;0;1;1;0,995901639344262;0,997946611909651;
40003_udp;0;590;23;0;0;0;
27036_udp;16;335;1;0,0455840455840456;0,941176470588235;0,0869565217391304;
1900_udp;0;0;10959;0;0;0;
5353_udp;226;52;6;0,81294964028777;0,974137931034483;0,886274509803922;
27021_udp;0;0;174;0;0;0;
40025_udp;0;11;1;0;0;0;
40023_udp;0;1;1;0;0;0;
5222_tcp_jabber;29;0;2;1;0,935483870967742;0,966666666666667;
40020_udp;0;1;32;0;0;0;
5938_udp;39;0;43;1;0,475609756097561;0,644628099173554;
51413_udp;135;68;514;0,665024630541872;0,208012326656394;0,316901408450704;
51654_udp;752;243;669;0,755778894472362;0,529204785362421;0,622516556291391;
40029_tcp;5;0;0;1;1;1;
47993_udp;0;0;68;0;0;0;
4070_tcp;148;4;27;0,973684210526316;0,845714285714286;0,90519877675841;
27019_udp;0;0;2736;0;0;0;
3478_udp;121;1;129;0,991803278688525;0,484;0,650537634408602;
137_udp;16;0;412;1;0,0373831775700935;0,0720720720720721;
6881_udp;16;8;932;0,666666666666667;0,0168776371308017;0,0329218106995885;
40018_udp;0;0;9;0;0;0;
53_udp_dns;38620;6504;1352;0,855863841857991;0,966176323426398;0,90768073704992;
43265_udp;7;4;113;0,636363636363636;0,0583333333333333;0,106870229007634;
443_udp_https;1532;91;199;0,943930991990142;0,885037550548816;0,913536076326774;
3800_udp;3;33;33;0,0833333333333333;0,0833333333333333;0,0833333333333333;
139_tcp;199;0;21;1;0,904545454545455;0,949880668257757;
49001_udp;19;823;35;0,0225653206650831;0,351851851851852;0,0424107142857143;
40030_udp;0;0;5;0;0;0;
1024_udp;0;0;8;0;0;0;
