sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;215;0;0;1;1;1;
3702_udp;217;5;0;0,977477477477477;1;0,988610478359909;
tcp_dns;17;2;0;0,894736842105263;1;0,944444444444444;
40003_udp;5;23;18;0,178571428571429;0,217391304347826;0,196078431372549;
tcp_smtptlsssl;48;20;16;0,705882352941177;0,75;0,727272727272727;
6992_udp;0;31;2;0;0;0;
40023_udp;1;22;0;0,0434782608695652;1;0,0833333333333333;
udp_ssdp;9776;9;0;0,999080224833929;1;0,999539900823066;
40028_udp;3;16;3;0,157894736842105;0,5;0,24;
9875_udp;5;0;0;1;1;1;
40025_udp;0;1;1;0;0;0;
40005_udp;1;8;0;0,111111111111111;1;0,2;
udp_teamviewer;82;8;0;0,911111111111111;1;0,953488372093023;
tcp_jabber;29;3;2;0,90625;0,935483870967742;0,920634920634921;
43265_udp;81;52;36;0,609022556390977;0,692307692307692;0,648;
tcp_teamviewer;254;6;4;0,976923076923077;0,984496124031008;0,980694980694981;
40020_udp;15;4;17;0,789473684210526;0,46875;0,588235294117647;
50321_udp;14;63;100;0,181818181818182;0,12280701754386;0,146596858638743;
udp_netbios;371;21;0;0,946428571428571;1;0,972477064220183;
49001_udp;6;48;48;0,111111111111111;0,111111111111111;0,111111111111111;
tcp_icslap;1637;35;22;0,979066985645933;0,986738999397227;0,982888021615131;
40036_udp;0;3;5;0;0;0;
45776_tcp;13;3;0;0,8125;1;0,896551724137931;
1024_udp;0;69;8;0;0;0;
40029_udp;1;0;25;1;0,0384615384615385;0,0740740740740741;
51654_udp;1205;24;50;0,980471928397071;0,960159362549801;0,970209339774557;
tcp_jabberssl;122;33;27;0,787096774193548;0,818791946308725;0,802631578947368;
8621_udp;5;29;37;0,147058823529412;0,119047619047619;0,131578947368421;
3800_udp;3;52;33;0,0545454545454545;0,0833333333333333;0,0659340659340659;
udp_rtp;105;1;13;0,990566037735849;0,889830508474576;0,9375;
udp_stun;220;12;2;0,948275862068966;0,990990990990991;0,969162995594714;
udp_https;1494;6;10;0,996;0,993351063829787;0,994673768308921;
udp_natpmp;155;0;13;1;0,922619047619048;0,959752321981424;
40030_udp;3;1;2;0,75;0,6;0,666666666666667;
udp_p2pbittorrent;1557;243;292;0,865;0,842076798269335;0,853384488901069;
tcp_https;95159;42;88;0,99955882816357;0,999076086385923;0,999317398975048;
40018_udp;7;13;2;0,35;0,777777777777778;0,482758620689655;
udp_dhcpc;33;4;11;0,891891891891892;0,75;0,814814814814815;
40027_udp;9;25;4;0,264705882352941;0,692307692307692;0,382978723404255;
47993_udp;22;20;46;0,523809523809524;0,323529411764706;0,4;
tcp_pop3tlsssl;179;3;6;0,983516483516483;0,967567567567568;0,975476839237057;
11888_udp;1;40;7;0,024390243902439;0,125;0,0408163265306122;
udp_dhcpv6c;16;1;1;0,941176470588235;0,941176470588235;0,941176470588235;
udp_onlinegames;3839;14;13;0,996366467687516;0,9966251298027;0,996495781959766;
udp_dhcps;370;11;2;0,971128608923885;0,994623655913979;0,98273572377158;
tcp_ssh;63;6;5;0,91304347826087;0,926470588235294;0,91970802919708;
40029_tcp;4;6;1;0,4;0,8;0,533333333333333;
4070_tcp;149;11;17;0,93125;0,897590361445783;0,914110429447853;
12350_tcp;34;2;5;0,944444444444444;0,871794871794872;0,906666666666667;
40024_udp;3;7;7;0,3;0,3;0,3;
udp_netbiosdgm;434;0;0;1;1;1;
tcp_http;24437;48;50;0,998039616091485;0,997958100216441;0,997998856489423;
139_tcp;204;2;0;0,990291262135922;1;0,995121951219512;
udp_dns;35534;18;48;0,999493699369937;0,998651003316284;0,999072173644108;
8999_udp;2;23;56;0,08;0,0344827586206897;0,0481927710843374;
udp_llmnr;35696;7;0;0,999803938044422;1;0,999901959411196;
11000_udp;28;1;0;0,96551724137931;1;0,982456140350877;
udp_spotify;163;0;2;1;0,987878787878788;0,99390243902439;
