sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;25;1;0;0,961538461538462;1;0,980392156862745;
3702_udp;30;1;1;0,967741935483871;0,967741935483871;0,967741935483871;
tcp_dns;15;0;0;1;1;1;
40003_udp;9;17;7;0,346153846153846;0,5625;0,428571428571429;
tcp_smtptlsssl;16;3;1;0,842105263157895;0,941176470588235;0,888888888888889;
6992_udp;1;5;15;0,166666666666667;0,0625;0,0909090909090909;
40023_udp;14;6;4;0,7;0,777777777777778;0,736842105263158;
udp_ssdp;1201;3;2;0,997508305647841;0,99833748960931;0,997922725384296;
40028_udp;6;14;7;0,3;0,461538461538462;0,363636363636364;
9875_udp;17;0;1;1;0,944444444444444;0,971428571428571;
40025_udp;5;7;9;0,416666666666667;0,357142857142857;0,384615384615385;
40005_udp;1;11;15;0,0833333333333333;0,0625;0,0714285714285714;
udp_teamviewer;10;1;0;0,909090909090909;1;0,952380952380952;
tcp_jabber;12;1;0;0,923076923076923;1;0,96;
43265_udp;8;8;10;0,5;0,444444444444444;0,470588235294118;
tcp_teamviewer;37;1;4;0,973684210526316;0,902439024390244;0,936708860759494;
40020_udp;8;13;7;0,380952380952381;0,533333333333333;0,444444444444444;
50321_udp;1;21;15;0,0454545454545455;0,0625;0,0526315789473684;
udp_netbios;53;1;0;0,981481481481482;1;0,990654205607477;
49001_udp;3;6;11;0,333333333333333;0,214285714285714;0,260869565217391;
tcp_icslap;201;2;5;0,990147783251232;0,975728155339806;0,982885085574572;
40036_udp;2;7;15;0,222222222222222;0,117647058823529;0,153846153846154;
45776_tcp;20;2;0;0,909090909090909;1;0,952380952380952;
1024_udp;5;19;12;0,208333333333333;0,294117647058824;0,24390243902439;
40029_udp;1;3;11;0,25;0,0833333333333333;0,125;
51654_udp;145;1;1;0,993150684931507;0,993150684931507;0,993150684931507;
tcp_jabberssl;19;1;1;0,95;0,95;0,95;
8621_udp;2;12;9;0,142857142857143;0,181818181818182;0,16;
3800_udp;1;5;19;0,166666666666667;0,05;0,0769230769230769;
udp_rtp;14;7;2;0,666666666666667;0,875;0,756756756756757;
udp_stun;30;1;0;0,967741935483871;1;0,983606557377049;
udp_https;211;4;2;0,981395348837209;0,990610328638498;0,985981308411215;
udp_natpmp;20;0;1;1;0,952380952380952;0,975609756097561;
40030_udp;3;6;7;0,333333333333333;0,3;0,315789473684211;
udp_p2pbittorrent;183;57;38;0,7625;0,828054298642534;0,793926247288503;
tcp_https;11793;7;7;0,999406779661017;0,999406779661017;0,999406779661017;
40018_udp;8;10;5;0,444444444444444;0,615384615384615;0,516129032258065;
udp_dhcpc;18;2;0;0,9;1;0,947368421052632;
40027_udp;6;7;11;0,461538461538462;0,352941176470588;0,4;
47993_udp;9;7;8;0,5625;0,529411764705882;0,545454545454546;
tcp_pop3tlsssl;22;1;1;0,956521739130435;0,956521739130435;0,956521739130435;
11888_udp;2;6;10;0,25;0,166666666666667;0,2;
udp_dhcpv6c;16;0;0;1;1;1;
udp_onlinegames;487;4;3;0,991853360488798;0,993877551020408;0,992864424057085;
udp_dhcps;43;0;2;1;0,955555555555556;0,977272727272727;
tcp_ssh;16;0;2;1;0,888888888888889;0,941176470588235;
40029_tcp;16;1;3;0,941176470588235;0,842105263157895;0,888888888888889;
4070_tcp;18;3;2;0,857142857142857;0,9;0,878048780487805;
12350_tcp;13;2;3;0,866666666666667;0,8125;0,838709677419355;
40024_udp;6;8;10;0,428571428571429;0,375;0,4;
udp_netbiosdgm;36;0;0;1;1;1;
tcp_http;3049;7;5;0,99770942408377;0,998362802881467;0,998036006546645;
139_tcp;27;0;0;1;1;1;
udp_dns;4433;3;6;0,999323715058611;0,998648344221672;0,998985915492958;
8999_udp;1;9;15;0,1;0,0625;0,0769230769230769;
udp_llmnr;4424;0;0;1;1;1;
11000_udp;13;1;0;0,928571428571429;1;0,962962962962963;
udp_spotify;18;0;0;1;1;1;
