sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
139_tcp;204;0;0;1;1;1;
40029_tcp;4;5;1;0,444444444444444;0,8;0,571428571428571;
udp_natpmp;155;0;13;1;0,922619047619048;0,959752321981424;
tcp_http;24436;60;51;0,997550620509471;0,99791726222077;0,997733907682257;
6992_udp;0;28;2;0;0;0;
12350_tcp;37;4;2;0,902439024390244;0,948717948717949;0,925;
udp_dhcps;369;1;3;0,997297297297297;0,991935483870968;0,994609164420485;
40024_udp;5;9;5;0,357142857142857;0,5;0,416666666666667;
tcp_pop3tlsssl;179;1;6;0,994444444444444;0,967567567567568;0,980821917808219;
udp_dns;35552;17;30;0,99952205572268;0,999156877072677;0,999339433036781;
tcp_jabberssl;135;10;14;0,931034482758621;0,906040268456376;0,918367346938776;
40018_udp;5;7;4;0,416666666666667;0,555555555555556;0,476190476190476;
udp_p2pbittorrent;1507;172;342;0,897558070279929;0,815035154137372;0,854308390022676;
40025_udp;1;3;0;0,25;1;0,4;
40030_udp;2;7;3;0,222222222222222;0,4;0,285714285714286;
11000_udp;28;0;0;1;1;1;
tcp_smtptlsssl;59;14;5;0,808219178082192;0,921875;0,861313868613139;
40027_udp;3;10;10;0,230769230769231;0,230769230769231;0,230769230769231;
49001_udp;10;29;44;0,256410256410256;0,185185185185185;0,21505376344086;
tcp_ssh;59;1;9;0,983333333333333;0,867647058823529;0,921875;
5353_udp;214;4;1;0,981651376146789;0,995348837209302;0,988452655889146;
40028_udp;4;25;2;0,137931034482759;0,666666666666667;0,228571428571429;
8999_udp;11;44;47;0,2;0,189655172413793;0,194690265486726;
udp_onlinegames;3839;12;13;0,996883926252921;0,9966251298027;0,996754511229391;
udp_rtp;103;32;15;0,762962962962963;0,872881355932203;0,814229249011858;
40003_udp;6;24;17;0,2;0,260869565217391;0,226415094339623;
40029_udp;6;9;20;0,4;0,230769230769231;0,292682926829268;
udp_ssdp;9767;14;9;0,998568653511911;0,99907937806874;0,998823950503656;
40005_udp;0;7;1;0;0;0;
4070_tcp;150;26;16;0,852272727272727;0,903614457831325;0,87719298245614;
51654_udp;1237;23;18;0,981746031746032;0,985657370517928;0,983697813121272;
udp_https;1488;5;16;0,996651038178165;0,98936170212766;0,992992992992993;
47993_udp;33;42;35;0,44;0,485294117647059;0,461538461538462;
3702_udp;217;4;0;0,981900452488688;1;0,990867579908676;
tcp_dns;17;0;0;1;1;1;
udp_dhcpv6c;16;1;1;0,941176470588235;0,941176470588235;0,941176470588235;
udp_spotify;163;2;2;0,987878787878788;0,987878787878788;0,987878787878788;
tcp_jabber;31;10;0;0,75609756097561;1;0,861111111111111;
9875_udp;5;0;0;1;1;1;
8621_udp;3;45;39;0,0625;0,0714285714285714;0,0666666666666667;
1024_udp;3;135;5;0,0217391304347826;0,375;0,0410958904109589;
50321_udp;16;84;98;0,16;0,140350877192982;0,149532710280374;
udp_stun;220;2;2;0,990990990990991;0,990990990990991;0,990990990990991;
40036_udp;1;12;4;0,0769230769230769;0,2;0,111111111111111;
40020_udp;18;4;14;0,818181818181818;0,5625;0,666666666666667;
tcp_icslap;1625;15;34;0,990853658536585;0,979505726341169;0,985147014246741;
udp_netbios;371;12;0;0,968668407310705;1;0,984084880636605;
udp_llmnr;35696;1;0;0,999971986441438;1;0,999985993024526;
tcp_teamviewer;220;5;38;0,977777777777778;0,852713178294574;0,910973084886128;
45776_tcp;13;5;0;0,722222222222222;1;0,838709677419355;
tcp_https;95190;64;57;0,999328112205262;0,999401555954518;0,999364832730537;
udp_netbiosdgm;434;0;0;1;1;1;
udp_dhcpc;44;4;0;0,916666666666667;1;0,956521739130435;
40023_udp;1;1;0;0,5;1;0,666666666666667;
11888_udp;0;42;8;0;0;0;
43265_udp;63;37;54;0,63;0,538461538461538;0,580645161290323;
3800_udp;0;15;36;0;0;0;
udp_teamviewer;82;1;0;0,987951807228916;1;0,993939393939394;
