sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_https-spotifyexe;4148;2671;1678;0,608300337292858;0,711980775832475;0,656069592724397;
tcp_dns-system;17;0;0;1;1;1;
tcp_https-skypebrowserhostexe;263;256;421;0,506743737957611;0,384502923976608;0,437240232751455;
tcp_http-system;60;125;297;0,324324324324324;0,168067226890756;0,22140221402214;
tcp_https-chromeexe;6279;3214;4620;0,661434741388391;0,576107899807322;0,615829737151824;
tcp_https-itunesexe;8818;1714;1237;0,837257880744398;0,876976628543013;0,856657113712537;
tcp_http-steamwebhelperexe;314;148;134;0,67965367965368;0,700892857142857;0,69010989010989;
tcp_http-firefoxexe;159;188;1187;0,45821325648415;0,118127786032689;0,187832250443001;
tcp_jabber-pidginexe;30;2;1;0,9375;0,967741935483871;0,952380952380952;
tcp_https-;6066;1942;8000;0,757492507492508;0,431252666003128;0,549605871160642;
9875_udp-;5;12;0;0,294117647058824;1;0,454545454545455;
50321_udp-;22;108;92;0,169230769230769;0,192982456140351;0,180327868852459;
udp_ssdp-;10939;8;4;0,999269206175208;0,999634469523897;0,99945180447693;
tcp_http-onedriveexe;39;32;22;0,549295774647887;0,639344262295082;0,590909090909091;
udp_dhcps-;418;2;2;0,995238095238095;0,995238095238095;0,995238095238095;
12350_tcp-skypeexe;31;3;8;0,911764705882353;0,794871794871795;0,849315068493151;
11888_udp-;3;154;5;0,0191082802547771;0,375;0,0363636363636364;
udp_teamviewer-;82;11;0;0,881720430107527;1;0,937142857142857;
udp_dns-;39850;66;111;0,998346527708187;0,997222291734441;0,997784093043054;
udp_natpmp-;172;1;0;0,994219653179191;1;0,997101449275362;
tcp_https-mshtaexe;0;0;4;0;0;0;
tcp_http-itunesexe;21;51;216;0,291666666666667;0,0886075949367089;0,135922330097087;
139_tcp-;14;4;8;0,777777777777778;0,636363636363636;0,7;
5353_udp-;222;11;10;0,952789699570816;0,956896551724138;0,954838709677419;
