sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_https-spotifyexe;193;164;101;0,540616246498599;0,656462585034014;0,592933947772657;
tcp_dns-system;13;0;0;1;1;1;
tcp_https-skypebrowserhostexe;15;4;24;0,789473684210526;0,384615384615385;0,517241379310345;
tcp_http-system;1;3;16;0,25;0,0588235294117647;0,0952380952380952;
tcp_https-chromeexe;360;188;275;0,656934306569343;0,566929133858268;0,608622147083686;
tcp_https-itunesexe;474;95;78;0,833040421792619;0,858695652173913;0,845673505798394;
tcp_http-steamwebhelperexe;7;3;17;0,7;0,291666666666667;0,411764705882353;
tcp_http-firefoxexe;5;10;66;0,333333333333333;0,0704225352112676;0,116279069767442;
tcp_jabber-pidginexe;11;1;1;0,916666666666667;0,916666666666667;0,916666666666667;
tcp_https-;337;90;447;0,789227166276347;0,42984693877551;0,556564822460776;
udp_ssdp-;595;0;0;1;1;1;
9875_udp-;19;0;0;1;1;1;
50321_udp-;1;4;15;0,2;0,0625;0,0952380952380952;
tcp_http-onedriveexe;15;4;5;0,789473684210526;0,75;0,769230769230769;
udp_dhcps-;20;2;0;0,909090909090909;1;0,952380952380952;
udp_teamviewer-;12;0;0;1;1;1;
12350_tcp-skypeexe;9;1;3;0,9;0,75;0,818181818181818;
11888_udp-;0;3;13;0;0;0;
udp_dns-;2244;11;9;0,995121951219512;0,996005326231691;0,995563442768412;
udp_natpmp-;16;0;0;1;1;1;
tcp_https-mshtaexe;0;0;14;0;0;0;
tcp_http-itunesexe;0;1;16;0;0;0;
139_tcp-;14;4;1;0,777777777777778;0,933333333333333;0,848484848484849;
5353_udp-;15;0;1;1;0,9375;0,967741935483871;
40005_udp-;1;14;14;0,0666666666666667;0,0666666666666667;0,0666666666666667;
udp_onlinegames-;233;4;0;0,983122362869198;1;0,991489361702128;
40036_udp-;5;3;14;0,625;0,263157894736842;0,37037037037037;
udp_dhcpc-;10;0;1;1;0,909090909090909;0,952380952380952;
tcp_https-skypeexe;190;38;118;0,833333333333333;0,616883116883117;0,708955223880597;
43265_udp-;12;14;4;0,461538461538462;0,75;0,571428571428571;
tcp_https-svchostexe;33;7;3;0,825;0,916666666666667;0,868421052631579;
tcp_https-iexploreexe;171;72;399;0,703703703703704;0,3;0,420664206642066;
tcp_http-chromeexe;16;28;30;0,363636363636364;0,347826086956522;0,355555555555556;
tcp_http-utorrentieexe;0;4;16;0;0;0;
1024_udp-;1;8;14;0,111111111111111;0,0666666666666667;0,0833333333333333;
tcp_teamviewer-teamviewer_serviceexe;11;10;6;0,523809523809524;0,647058823529412;0,578947368421053;
8621_udp-;3;2;8;0,6;0,272727272727273;0,375;
udp_llmnr-;2176;1;0;0,999540652273771;1;0,999770273374684;
udp_stun-;15;0;0;1;1;1;
tcp_https-firefoxexe;587;236;462;0,713244228432564;0,559580552907531;0,627136752136752;
tcp_http-teamviewer_serviceexe;18;0;2;1;0,9;0,947368421052632;
tcp_http-avgmfapxexe;0;0;15;0;0;0;
8999_udp-;3;4;11;0,428571428571429;0,214285714285714;0,285714285714286;
tcp_https-onedriveexe;61;28;27;0,685393258426966;0,693181818181818;0,689265536723164;
3800_udp-;12;59;3;0,169014084507042;0,8;0,27906976744186;
udp_spotify-;13;0;0;1;1;1;
tcp_http-;679;211;67;0,762921348314607;0,910187667560322;0,830073349633252;
11000_udp-;16;0;0;1;1;1;
40025_udp-;6;6;9;0,5;0,4;0,444444444444444;
tcp_teamviewer-;12;1;7;0,923076923076923;0,631578947368421;0,75;
tcp_jabberssl-apsdaemonexe;13;0;2;1;0,866666666666667;0,928571428571429;
6992_udp-;6;12;14;0,333333333333333;0,3;0,315789473684211;
udp_https-;110;2;1;0,982142857142857;0,990990990990991;0,986547085201794;
40020_udp-;9;8;2;0,529411764705882;0,818181818181818;0,642857142857143;
47993_udp-;5;4;13;0,555555555555556;0,277777777777778;0,37037037037037;
3702_udp-;17;0;0;1;1;1;
40023_udp-;10;13;7;0,434782608695652;0,588235294117647;0,5;
49001_udp-;2;6;11;0,25;0,153846153846154;0,19047619047619;
tcp_http-utorrentexe;58;18;8;0,763157894736842;0,878787878787879;0,816901408450704;
tcp_ssh-winscpexe;11;3;2;0,785714285714286;0,846153846153846;0,814814814814815;
4070_tcp-spotifyexe;16;0;2;1;0,888888888888889;0,941176470588235;
40024_udp-;5;7;10;0,416666666666667;0,333333333333333;0,37037037037037;
udp_dhcpv6c-;14;0;0;1;1;1;
40030_udp-;6;10;10;0,375;0,375;0,375;
tcp_https-steamexe;18;5;1;0,782608695652174;0,947368421052632;0,857142857142857;
40029_tcp-skypeexe;14;3;0;0,823529411764706;1;0,903225806451613;
40027_udp-;5;8;13;0,384615384615385;0,277777777777778;0,32258064516129;
tcp_https-thunderbirdexe;5;3;9;0,625;0,357142857142857;0,454545454545455;
40018_udp-;2;11;13;0,153846153846154;0,133333333333333;0,142857142857143;
tcp_ssh-puttyexe;12;1;1;0,923076923076923;0,923076923076923;0,923076923076923;
40029_udp-;7;7;9;0,5;0,4375;0,466666666666667;
tcp_teamviewer-system;12;6;5;0,666666666666667;0,705882352941177;0,685714285714286;
udp_p2pbittorrent-;81;40;47;0,669421487603306;0,6328125;0,650602409638554;
45776_tcp-utorrentexe;15;3;0;0,833333333333333;1;0,909090909090909;
udp_rtp-;12;0;3;1;0,8;0,888888888888889;
40028_udp-;8;10;9;0,444444444444444;0,470588235294118;0,457142857142857;
51654_udp-;69;1;2;0,985714285714286;0,971830985915493;0,978723404255319;
tcp_icslap-system;10;4;14;0,714285714285714;0,416666666666667;0,526315789473684;
tcp_https-msmpengexe;7;8;1;0,466666666666667;0,875;0,608695652173913;
139_tcp-system;12;1;5;0,923076923076923;0,705882352941177;0,8;
tcp_http-spotifyexe;291;20;25;0,935691318327974;0,920886075949367;0,92822966507177;
udp_netbios-;19;1;1;0,95;0,95;0,95;
udp_netbiosdgm-;44;0;0;1;1;1;
tcp_https-steamwebhelperexe;0;0;19;0;0;0;
tcp_https-system;1275;1373;316;0,481495468277946;0,801382778126964;0,601556970983723;
tcp_pop3tlsssl-thunderbirdexe;13;1;1;0,928571428571429;0,928571428571429;0,928571428571429;
tcp_icslap-;74;14;5;0,840909090909091;0,936708860759494;0,88622754491018;
tcp_http-steamexe;11;7;9;0,611111111111111;0,55;0,578947368421053;
tcp_https-googledrivesyncexe;2;0;12;1;0,142857142857143;0,25;
40003_udp-;5;14;9;0,263157894736842;0,357142857142857;0,303030303030303;
tcp_https-utorrentexe;19;2;2;0,904761904761905;0,904761904761905;0,904761904761905;
tcp_smtptlsssl-thunderbirdexe;14;1;4;0,933333333333333;0,777777777777778;0,848484848484849;
tcp_http-iexploreexe;37;74;90;0,333333333333333;0,291338582677165;0,310924369747899;
