sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_https-spotifyexe;230;178;57;0,563725490196078;0,801393728222996;0,661870503597122;
tcp_dns-system;14;1;0;0,933333333333333;1;0,96551724137931;
tcp_http-system;0;0;21;0;0;0;
tcp_https-skypebrowserhostexe;11;5;26;0,6875;0,297297297297297;0,415094339622642;
tcp_https-chromeexe;369;297;228;0,554054054054054;0,618090452261307;0,584323040380048;
tcp_https-itunesexe;465;106;108;0,814360770577933;0,81151832460733;0,812937062937063;
tcp_http-steamwebhelperexe;7;2;14;0,777777777777778;0,333333333333333;0,466666666666667;
tcp_http-firefoxexe;2;2;71;0,5;0,0273972602739726;0,0519480519480519;
tcp_jabber-pidginexe;9;3;3;0,75;0,75;0,75;
tcp_https-;314;116;488;0,730232558139535;0,391521197007481;0,50974025974026;
udp_ssdp-;621;0;0;1;1;1;
9875_udp-;17;0;1;1;0,944444444444444;0,971428571428571;
50321_udp-;1;6;14;0,142857142857143;0,0666666666666667;0,0909090909090909;
tcp_http-onedriveexe;11;3;1;0,785714285714286;0,916666666666667;0,846153846153846;
udp_dhcps-;25;0;2;1;0,925925925925926;0,961538461538461;
12350_tcp-skypeexe;13;0;3;1;0,8125;0,896551724137931;
11888_udp-;3;9;10;0,25;0,230769230769231;0,24;
udp_teamviewer-;13;1;0;0,928571428571429;1;0,962962962962963;
udp_dns-;2207;13;5;0,994144144144144;0,997739602169982;0,995938628158845;
udp_natpmp-;15;0;0;1;1;1;
tcp_https-mshtaexe;0;0;15;0;0;0;
tcp_http-itunesexe;0;0;12;0;0;0;
139_tcp-;13;0;0;1;1;1;
5353_udp-;16;0;2;1;0,888888888888889;0,941176470588235;
40005_udp-;4;19;11;0,173913043478261;0,266666666666667;0,210526315789474;
udp_onlinegames-;252;0;0;1;1;1;
40036_udp-;2;9;16;0,181818181818182;0,111111111111111;0,137931034482759;
udp_dhcpc-;16;3;0;0,842105263157895;1;0,914285714285714;
tcp_https-skypeexe;171;61;124;0,737068965517241;0,579661016949153;0,648956356736243;
43265_udp-;8;10;2;0,444444444444444;0,8;0,571428571428571;
tcp_https-svchostexe;26;8;6;0,764705882352941;0,8125;0,787878787878788;
tcp_https-iexploreexe;180;91;353;0,664206642066421;0,337711069418386;0,447761194029851;
tcp_http-chromeexe;19;31;30;0,38;0,387755102040816;0,383838383838384;
tcp_http-utorrentieexe;1;4;15;0,2;0,0625;0,0952380952380952;
1024_udp-;0;7;14;0;0;0;
