sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;219;0;13;1;0,943965517241379;0,971175166297117;
3702_udp;248;1;2;0,995983935742972;0,992;0,993987975951904;
tcp_dns;17;0;0;1;1;1;
40003_udp;12;31;11;0,27906976744186;0,521739130434783;0,363636363636364;
tcp_smtptlsssl;48;30;16;0,615384615384615;0,75;0,676056338028169;
6992_udp;0;38;2;0;0;0;
40023_udp;1;10;0;0,0909090909090909;1;0,166666666666667;
udp_ssdp;10926;7;13;0,999359736577335;0,998811591553158;0,999085588880761;
40028_udp;0;5;6;0;0;0;
9875_udp;4;0;1;1;0,8;0,888888888888889;
40025_udp;1;14;0;0,0666666666666667;1;0,125;
40005_udp;0;13;1;0;0;0;
tcp_jabber;30;6;1;0,833333333333333;0,967741935483871;0,895522388059702;
udp_teamviewer;82;6;0;0,931818181818182;1;0,964705882352941;
43265_udp;33;26;87;0,559322033898305;0,275;0,368715083798883;
tcp_teamviewer;274;24;5;0,919463087248322;0,982078853046595;0,949740034662045;
50321_udp;11;36;103;0,234042553191489;0,0964912280701754;0,136645962732919;
40020_udp;6;7;26;0,461538461538462;0,1875;0,266666666666667;
udp_netbios;357;11;73;0,970108695652174;0,830232558139535;0,894736842105263;
49001_udp;5;42;49;0,106382978723404;0,0925925925925926;0,099009900990099;
tcp_icslap;1828;14;30;0,992399565689468;0,983853606027987;0,988108108108108;
40036_udp;0;3;5;0;0;0;
45776_tcp;13;6;0;0,684210526315789;1;0,8125;
1024_udp;3;108;5;0,027027027027027;0,375;0,0504201680672269;
40029_udp;11;5;15;0,6875;0,423076923076923;0,523809523809524;
51654_udp;1389;33;32;0,976793248945148;0,977480647431386;0,977136827295111;
8621_udp;0;20;42;0;0;0;
tcp_jabberssl;115;13;42;0,8984375;0,732484076433121;0,807017543859649;
3800_udp;0;4;36;0;0;0;
udp_rtp;102;0;18;1;0,85;0,918918918918919;
udp_stun;248;0;2;1;0,992;0,995983935742972;
udp_https;1688;27;32;0,984256559766764;0,981395348837209;0,982823871906841;
udp_natpmp;158;10;14;0,94047619047619;0,918604651162791;0,929411764705882;
40030_udp;2;7;3;0,222222222222222;0,4;0,285714285714286;
udp_p2pbittorrent;1716;204;342;0,89375;0,833819241982507;0,862745098039216;
tcp_https;106921;109;74;0,998981593945623;0,99930837889621;0,99914495970097;
40018_udp;5;20;4;0,2;0,555555555555556;0,294117647058824;
udp_dhcpc;44;5;0;0,897959183673469;1;0,946236559139785;
40027_udp;3;19;10;0,136363636363636;0,230769230769231;0,171428571428571;
47993_udp;47;60;21;0,439252336448598;0,691176470588235;0,537142857142857;
tcp_pop3tlsssl;155;12;38;0,92814371257485;0,803108808290155;0,861111111111111;
11888_udp;1;110;7;0,00900900900900901;0,125;0,0168067226890756;
udp_onlinegames;4338;48;15;0,9890560875513;0,996554100620262;0,992790937178167;
udp_dhcpv6c;17;18;0;0,485714285714286;1;0,653846153846154;
udp_dhcps;414;0;5;1;0,988066825775656;0,993997599039616;
tcp_ssh;59;13;9;0,819444444444444;0,867647058823529;0,842857142857143;
40029_tcp;5;7;0;0,416666666666667;1;0,588235294117647;
4070_tcp;163;22;12;0,881081081081081;0,931428571428571;0,905555555555555;
12350_tcp;36;1;3;0,972972972972973;0,923076923076923;0,947368421052632;
40024_udp;3;7;7;0,3;0,3;0,3;
udp_netbiosdgm;473;0;0;1;1;1;
tcp_http;27500;66;89;0,997605746209098;0,996774076624742;0,99718973801106;
139_tcp;220;0;0;1;1;1;
udp_dns;39919;72;35;0,998199594908854;0,99912399259148;0,998661579836137;
8999_udp;7;65;51;0,0972222222222222;0,120689655172414;0,107692307692308;
udp_llmnr;40118;12;17;0,999700971841515;0,999576429550268;0,999638696816794;
11000_udp;27;0;1;1;0,964285714285714;0,981818181818182;
udp_spotify;170;0;2;1;0,988372093023256;0,994152046783626;
