sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;30;28;
11888_UDP;30;8;
12350_TCP;30;39;
139_TCP;30;220;
3702_UDP;30;250;
3800_UDP;30;36;
40003_UDP;30;23;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;30;32;
40023_UDP;30;1;
40024_UDP;30;10;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;30;26;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;30;175;
43265_UDP;30;120;
45776_TCP;30;13;
47993_UDP;30;68;
49001_UDP;30;54;
50321_UDP;30;114;
51654_UDP;147;1421;
5353_UDP;30;232;
6992_UDP;30;2;
8621_UDP;30;42;
8999_UDP;30;58;
9875_UDP;30;5;
TCP_Dns;30;17;
TCP_HTTP;3051;27589;
TCP_Https;11792;106995;
TCP_icslap;210;1858;
TCP_Jabber;30;31;
TCP_JabberSsl;30;157;
TCP_POP3tlsSSL;30;193;
TCP_SMTPtlsSSL;30;64;
TCP_SSH;30;68;
TCP_TeamViewer;44;279;
UDP_DhcPc;30;44;
UDP_DhcPs;49;419;
UDP_DhcPv6C;30;17;
UDP_Dns;4510;39954;
UDP_Https;198;1720;
UDP_LLMNR;4443;40135;
UDP_NATpmp;30;172;
UDP_netbios;42;430;
UDP_netbiosdgm;62;473;
UDP_OnlineGames;500;4353;
UDP_P2PBittorrent;246;2058;
UDP_RTP;30;120;
UDP_spotify;30;172;
UDP_SSDP;1226;10939;
UDP_STUN;30;250;
UDP_TeamViewer;30;82;
