sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;16;0;1;1;0,941176470588235;0,96969696969697;
3702_udp;18;0;0;1;1;1;
tcp_dns;14;0;0;1;1;1;
40003_udp;4;18;5;0,181818181818182;0,444444444444444;0,258064516129032;
tcp_smtptlsssl;17;0;2;1;0,894736842105263;0,944444444444444;
6992_udp;3;5;15;0,375;0,166666666666667;0,230769230769231;
40023_udp;13;5;5;0,722222222222222;0,722222222222222;0,722222222222222;
udp_ssdp;591;1;0;0,998310810810811;1;0,999154691462384;
40028_udp;4;8;11;0,333333333333333;0,266666666666667;0,296296296296296;
9875_udp;14;0;0;1;1;1;
40025_udp;7;14;6;0,333333333333333;0,538461538461538;0,411764705882353;
40005_udp;6;11;9;0,352941176470588;0,4;0,375;
udp_teamviewer;15;0;0;1;1;1;
tcp_jabber;11;4;0;0,733333333333333;1;0,846153846153846;
43265_udp;5;4;11;0,555555555555556;0,3125;0,4;
tcp_teamviewer;19;1;1;0,95;0,95;0,95;
40020_udp;6;2;11;0,75;0,352941176470588;0,48;
50321_udp;1;18;14;0,0526315789473684;0,0666666666666667;0,0588235294117647;
udp_netbios;16;0;4;1;0,8;0,888888888888889;
49001_udp;1;12;9;0,0769230769230769;0,1;0,0869565217391304;
tcp_icslap;100;7;4;0,934579439252336;0,961538461538462;0,947867298578199;
40036_udp;2;7;15;0,222222222222222;0,117647058823529;0,153846153846154;
45776_tcp;16;0;0;1;1;1;
1024_udp;2;17;13;0,105263157894737;0,133333333333333;0,117647058823529;
40029_udp;6;13;7;0,315789473684211;0,461538461538462;0,375;
51654_udp;60;4;6;0,9375;0,909090909090909;0,923076923076923;
tcp_jabberssl;8;3;1;0,727272727272727;0,888888888888889;0,8;
8621_udp;2;6;12;0,25;0,142857142857143;0,181818181818182;
3800_udp;1;15;13;0,0625;0,0714285714285714;0,0666666666666667;
udp_rtp;14;1;1;0,933333333333333;0,933333333333333;0,933333333333333;
udp_stun;12;0;0;1;1;1;
udp_https;97;4;0;0,96039603960396;1;0,97979797979798;
udp_natpmp;14;0;0;1;1;1;
40030_udp;4;4;8;0,5;0,333333333333333;0,4;
udp_p2pbittorrent;79;52;43;0,603053435114504;0,647540983606557;0,624505928853755;
tcp_https;5868;1;7;0,999829613222014;0,998808510638298;0,999318801089918;
40018_udp;10;9;8;0,526315789473684;0,555555555555556;0,54054054054054;
udp_dhcpc;16;1;0;0,941176470588235;1;0,96969696969697;
40027_udp;7;9;9;0,4375;0,4375;0,4375;
47993_udp;6;8;4;0,428571428571429;0,6;0,5;
tcp_pop3tlsssl;11;2;0;0,846153846153846;1;0,916666666666667;
11888_udp;2;17;15;0,105263157894737;0,117647058823529;0,111111111111111;
udp_dhcpv6c;15;1;0;0,9375;1;0,967741935483871;
udp_onlinegames;251;1;3;0,996031746031746;0,988188976377953;0,992094861660079;
udp_dhcps;27;0;0;1;1;1;
tcp_ssh;13;0;3;1;0,8125;0,896551724137931;
40029_tcp;13;3;3;0,8125;0,8125;0,8125;
4070_tcp;16;7;0;0,695652173913043;1;0,82051282051282;
12350_tcp;12;0;3;1;0,8;0,888888888888889;
40024_udp;2;4;14;0,333333333333333;0,125;0,181818181818182;
udp_netbiosdgm;26;0;0;1;1;1;
tcp_http;1545;6;11;0,996131528046422;0,99293059125964;0,994528484068233;
139_tcp;16;2;0;0,888888888888889;1;0,941176470588235;
udp_dns;2285;3;2;0,998688811188811;0,9991254919108;0,998907103825137;
8999_udp;3;11;17;0,214285714285714;0,15;0,176470588235294;
udp_llmnr;2224;4;0;0,998204667863555;1;0,999101527403414;
11000_udp;14;1;0;0,933333333333333;1;0,96551724137931;
udp_spotify;14;0;0;1;1;1;
