sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;18;0;0;1;1;1;
3702_udp;14;0;0;1;1;1;
tcp_dns;18;0;0;1;1;1;
40003_udp;5;9;13;0,357142857142857;0,277777777777778;0,3125;
tcp_smtptlsssl;11;0;8;1;0,578947368421053;0,733333333333333;
6992_udp;3;8;10;0,272727272727273;0,230769230769231;0,25;
40023_udp;11;5;6;0,6875;0,647058823529412;0,666666666666667;
udp_ssdp;604;0;0;1;1;1;
40028_udp;4;7;14;0,363636363636364;0,222222222222222;0,275862068965517;
9875_udp;18;1;0;0,947368421052632;1;0,972972972972973;
40025_udp;3;4;13;0,428571428571429;0,1875;0,260869565217391;
40005_udp;2;1;15;0,666666666666667;0,117647058823529;0,2;
udp_teamviewer;14;1;0;0,933333333333333;1;0,96551724137931;
tcp_jabber;14;0;4;1;0,777777777777778;0,875;
43265_udp;6;9;10;0,4;0,375;0,387096774193548;
tcp_teamviewer;24;1;0;0,96;1;0,979591836734694;
40020_udp;5;24;7;0,172413793103448;0,416666666666667;0,24390243902439;
50321_udp;0;1;14;0;0;0;
udp_netbios;18;6;6;0,75;0,75;0,75;
49001_udp;3;9;11;0,25;0,214285714285714;0,230769230769231;
tcp_icslap;106;2;2;0,981481481481482;0,981481481481482;0,981481481481482;
40036_udp;1;8;13;0,111111111111111;0,0714285714285714;0,0869565217391304;
45776_tcp;11;1;0;0,916666666666667;1;0,956521739130435;
1024_udp;1;23;12;0,0416666666666667;0,0769230769230769;0,0540540540540541;
40029_udp;2;5;14;0,285714285714286;0,125;0,173913043478261;
51654_udp;63;0;6;1;0,91304347826087;0,954545454545454;
8621_udp;1;5;16;0,166666666666667;0,0588235294117647;0,0869565217391304;
tcp_jabberssl;16;2;4;0,888888888888889;0,8;0,842105263157895;
3800_udp;3;19;10;0,136363636363636;0,230769230769231;0,171428571428571;
udp_rtp;10;6;5;0,625;0,666666666666667;0,645161290322581;
udp_stun;7;1;0;0,875;1;0,933333333333333;
udp_https;96;1;1;0,989690721649485;0,989690721649485;0,989690721649485;
udp_natpmp;14;0;0;1;1;1;
40030_udp;2;9;7;0,181818181818182;0,222222222222222;0,2;
udp_p2pbittorrent;93;53;31;0,636986301369863;0,75;0,688888888888889;
tcp_https;5852;14;4;0,997613365155131;0,99931693989071;0,998464425865893;
40018_udp;7;20;7;0,259259259259259;0,5;0,341463414634146;
udp_dhcpc;20;0;0;1;1;1;
40027_udp;2;14;10;0,125;0,166666666666667;0,142857142857143;
47993_udp;12;7;7;0,631578947368421;0,631578947368421;0,631578947368421;
tcp_pop3tlsssl;12;1;0;0,923076923076923;1;0,96;
11888_udp;8;14;10;0,363636363636364;0,444444444444444;0,4;
udp_dhcpv6c;15;0;0;1;1;1;
udp_onlinegames;254;3;0;0,988326848249027;1;0,99412915851272;
udp_dhcps;34;0;0;1;1;1;
tcp_ssh;12;1;7;0,923076923076923;0,631578947368421;0,75;
40029_tcp;14;2;2;0,875;0,875;0,875;
4070_tcp;13;4;1;0,764705882352941;0,928571428571429;0,838709677419355;
12350_tcp;12;0;2;1;0,857142857142857;0,923076923076923;
40024_udp;5;17;12;0,227272727272727;0,294117647058824;0,256410256410256;
udp_netbiosdgm;34;0;0;1;1;1;
tcp_http;1489;4;3;0,997320830542532;0,99798927613941;0,997654941373534;
139_tcp;11;1;0;0,916666666666667;1;0,956521739130435;
udp_dns;2239;11;9;0,995111111111111;0,995996441281139;0,995553579368608;
8999_udp;0;1;14;0;0;0;
udp_llmnr;2288;5;0;0,997819450501526;1;0,998908535254311;
11000_udp;11;0;0;1;1;1;
udp_spotify;15;0;0;1;1;1;
