sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_icslap;1824;8;34;0,995633187772926;0,981700753498385;0,988617886178862;
tcp_http;27563;58;26;0,997900148437783;0,999057595418464;0,998478536497011;
12350_tcp;30;9;9;0,769230769230769;0,769230769230769;0,769230769230769;
40036_udp;0;7;5;0;0;0;
11888_udp;2;193;6;0,0102564102564103;0,25;0,0197044334975369;
udp_spotify;170;2;2;0,988372093023256;0,988372093023256;0,988372093023256;
50321_udp;3;8;111;0,272727272727273;0,0263157894736842;0,048;
tcp_smtptlsssl;37;3;27;0,925;0,578125;0,711538461538462;
udp_rtp;94;58;26;0,618421052631579;0,783333333333333;0,691176470588235;
udp_dhcpv6c;17;5;0;0,772727272727273;1;0,871794871794872;
45776_tcp;13;8;0;0,619047619047619;1;0,764705882352941;
8999_udp;3;11;55;0,214285714285714;0,0517241379310345;0,0833333333333333;
40005_udp;0;3;1;0;0;0;
tcp_teamviewer;276;38;3;0,878980891719745;0,989247311827957;0,930860033726813;
9875_udp;4;6;1;0,4;0,8;0,533333333333333;
udp_onlinegames;4338;53;15;0,98792985652471;0,996554100620262;0,992223238792315;
tcp_jabberssl;119;8;38;0,937007874015748;0,757961783439491;0,838028169014085;
11000_udp;27;3;1;0,9;0,964285714285714;0,931034482758621;
udp_dns;39825;38;129;0,999046735067607;0,996771286980027;0,997907713895536;
40028_udp;1;5;5;0,166666666666667;0,166666666666667;0,166666666666667;
tcp_https;106877;66;118;0,999382848807309;0,998897144726389;0,999139937738971;
tcp_pop3tlsssl;175;45;18;0,795454545454545;0,906735751295337;0,847457627118644;
8621_udp;1;90;41;0,010989010989011;0,0238095238095238;0,0150375939849624;
udp_netbiosdgm;473;0;0;1;1;1;
6992_udp;1;138;1;0,00719424460431655;0,5;0,0141843971631206;
tcp_ssh;52;21;16;0,712328767123288;0,764705882352941;0,737588652482269;
40027_udp;6;21;7;0,222222222222222;0,461538461538462;0,3;
40029_udp;3;9;23;0,25;0,115384615384615;0,157894736842105;
udp_netbios;360;9;70;0,975609756097561;0,837209302325581;0,901126408010013;
udp_https;1685;4;35;0,997631734754292;0,979651162790698;0,988559694925198;
40024_udp;1;13;9;0,0714285714285714;0,1;0,0833333333333333;
udp_natpmp;158;16;14;0,908045977011494;0,918604651162791;0,913294797687861;
3702_udp;248;1;2;0,995983935742972;0,992;0,993987975951904;
40003_udp;9;15;14;0,375;0,391304347826087;0,382978723404255;
5353_udp;229;0;3;1;0,987068965517241;0,993492407809111;
udp_p2pbittorrent;1420;192;638;0,880893300248139;0,689990281827016;0,773841961852861;
40025_udp;0;6;1;0;0;0;
40023_udp;1;5;0;0,166666666666667;1;0,285714285714286;
tcp_dns;17;1;0;0,944444444444444;1;0,971428571428571;
40020_udp;17;9;15;0,653846153846154;0,53125;0,586206896551724;
udp_llmnr;40119;52;16;0,998705533842822;0,999601345459076;0,999153238861355;
51654_udp;1376;26;45;0,981455064194009;0,968332160450387;0,974849450938718;
40029_tcp;5;5;0;0,5;1;0,666666666666667;
udp_ssdp;10935;3;4;0,999725726823917;0,99963433586251;0,999680029254468;
47993_udp;48;49;20;0,494845360824742;0,705882352941177;0,581818181818182;
4070_tcp;163;14;12;0,92090395480226;0,931428571428571;0,926136363636364;
udp_stun;248;9;2;0,964980544747082;0,992;0,978303747534517;
40018_udp;6;35;3;0,146341463414634;0,666666666666667;0,24;
43265_udp;53;25;67;0,67948717948718;0,441666666666667;0,535353535353535;
udp_teamviewer;82;17;0;0,828282828282828;1;0,906077348066298;
tcp_jabber;29;1;2;0,966666666666667;0,935483870967742;0,950819672131148;
udp_dhcpc;43;5;1;0,895833333333333;0,977272727272727;0,934782608695652;
3800_udp;15;162;21;0,0847457627118644;0,416666666666667;0,140845070422535;
139_tcp;218;4;2;0,981981981981982;0,990909090909091;0,986425339366516;
49001_udp;7;44;47;0,137254901960784;0,12962962962963;0,133333333333333;
40030_udp;0;16;5;0;0;0;
udp_dhcps;414;0;5;1;0,988066825775656;0,993997599039616;
1024_udp;3;124;5;0,0236220472440945;0,375;0,0444444444444444;
