sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_icslap;1828;26;30;0,985976267529666;0,983853606027987;0,984913793103448;
tcp_http;27541;63;48;0,997717722069265;0,998260176157164;0,997988875400866;
12350_tcp;32;1;7;0,96969696969697;0,82051282051282;0,888888888888889;
40036_udp;0;3;5;0;0;0;
11888_udp;2;156;6;0,0126582278481013;0,25;0,0240963855421687;
udp_spotify;170;0;2;1;0,988372093023256;0,994152046783626;
50321_udp;9;18;105;0,333333333333333;0,0789473684210526;0,127659574468085;
tcp_smtptlsssl;59;37;5;0,614583333333333;0,921875;0,7375;
udp_rtp;108;38;12;0,73972602739726;0,9;0,81203007518797;
udp_dhcpv6c;17;1;0;0,944444444444444;1;0,971428571428571;
45776_tcp;13;2;0;0,866666666666667;1;0,928571428571429;
8999_udp;7;63;51;0,1;0,120689655172414;0,109375;
40005_udp;0;13;1;0;0;0;
tcp_teamviewer;275;18;4;0,938566552901024;0,985663082437276;0,961538461538462;
9875_udp;4;0;1;1;0,8;0,888888888888889;
udp_onlinegames;4328;38;25;0,99129638112689;0,994256834367103;0,992774400734029;
tcp_jabberssl;113;51;44;0,689024390243902;0,719745222929936;0,70404984423676;
11000_udp;27;3;1;0,9;0,964285714285714;0,931034482758621;
udp_dns;39783;17;171;0,999572864321608;0,995720078089803;0,997642751460742;
40028_udp;3;19;3;0,136363636363636;0,5;0,214285714285714;
tcp_https;106888;98;107;0,999083992298058;0,998999953268844;0,999041971016118;
tcp_pop3tlsssl;131;1;62;0,992424242424242;0,678756476683938;0,806153846153846;
8621_udp;2;50;40;0,0384615384615385;0,0476190476190476;0,0425531914893617;
udp_netbiosdgm;473;0;0;1;1;1;
6992_udp;0;36;2;0;0;0;
tcp_ssh;59;17;9;0,776315789473684;0,867647058823529;0,819444444444444;
40027_udp;5;19;8;0,208333333333333;0,384615384615385;0,27027027027027;
40029_udp;6;8;20;0,428571428571429;0,230769230769231;0,3;
udp_netbios;397;2;33;0,994987468671679;0,923255813953488;0,957780458383595;
udp_https;1710;21;10;0,987868284228769;0,994186046511628;0,99101709649377;
40024_udp;2;12;8;0,142857142857143;0,2;0,166666666666667;
udp_natpmp;158;0;14;1;0,918604651162791;0,957575757575758;
3702_udp;231;1;19;0,995689655172414;0,924;0,95850622406639;
40003_udp;11;18;12;0,379310344827586;0,478260869565217;0,423076923076923;
5353_udp;229;0;3;1;0,987068965517241;0,993492407809111;
udp_p2pbittorrent;1653;217;405;0,883957219251337;0,803206997084548;0,841649694501018;
40025_udp;0;2;1;0;0;0;
40023_udp;0;15;1;0;0;0;
tcp_dns;17;0;0;1;1;1;
40020_udp;11;7;21;0,611111111111111;0,34375;0,44;
udp_llmnr;40128;57;7;0,998581560283688;0,999825588638346;0,999203187250996;
51654_udp;1392;31;29;0,978215038650738;0,979591836734694;0,978902953586498;
40029_tcp;5;3;0;0,625;1;0,769230769230769;
47993_udp;47;70;21;0,401709401709402;0,691176470588235;0,508108108108108;
udp_ssdp;10937;13;2;0,998812785388128;0,999817167931255;0,99931472429074;
4070_tcp;160;4;15;0,975609756097561;0,914285714285714;0,943952802359882;
udp_stun;247;2;3;0,991967871485944;0,988;0,98997995991984;
40018_udp;2;23;7;0,08;0,222222222222222;0,117647058823529;
43265_udp;36;35;84;0,507042253521127;0,3;0,37696335078534;
udp_teamviewer;82;22;0;0,788461538461538;1;0,881720430107527;
tcp_jabber;30;7;1;0,810810810810811;0,967741935483871;0,882352941176471;
udp_dhcpc;43;6;1;0,877551020408163;0,977272727272727;0,924731182795699;
3800_udp;2;82;34;0,0238095238095238;0,0555555555555556;0,0333333333333333;
139_tcp;220;0;0;1;1;1;
49001_udp;6;29;48;0,171428571428571;0,111111111111111;0,134831460674157;
40030_udp;1;35;4;0,0277777777777778;0,2;0,048780487804878;
udp_dhcps;414;7;5;0,983372921615202;0,988066825775656;0,985714285714286;
1024_udp;0;48;8;0;0;0;
