sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;11;0;0;1;1;1;
3702_udp;17;1;0;0,944444444444444;1;0,971428571428571;
tcp_dns;19;0;0;1;1;1;
40003_udp;7;12;7;0,368421052631579;0,5;0,424242424242424;
tcp_smtptlsssl;16;0;0;1;1;1;
6992_udp;6;13;10;0,315789473684211;0,375;0,342857142857143;
40023_udp;6;8;1;0,428571428571429;0,857142857142857;0,571428571428571;
udp_ssdp;593;1;0;0,998316498316498;1;0,999157540016849;
40028_udp;4;9;7;0,307692307692308;0,363636363636364;0,333333333333333;
9875_udp;17;0;0;1;1;1;
40025_udp;6;6;8;0,5;0,428571428571429;0,461538461538462;
40005_udp;5;13;7;0,277777777777778;0,416666666666667;0,333333333333333;
udp_teamviewer;14;1;0;0,933333333333333;1;0,96551724137931;
tcp_jabber;12;0;0;1;1;1;
43265_udp;3;8;13;0,272727272727273;0,1875;0,222222222222222;
tcp_teamviewer;21;1;1;0,954545454545455;0,954545454545455;0,954545454545455;
40020_udp;6;11;10;0,352941176470588;0,375;0,363636363636364;
50321_udp;5;15;11;0,25;0,3125;0,277777777777778;
udp_netbios;19;2;2;0,904761904761905;0,904761904761905;0,904761904761905;
49001_udp;5;2;14;0,714285714285714;0,263157894736842;0,384615384615385;
tcp_icslap;108;0;4;1;0,964285714285714;0,981818181818182;
40036_udp;2;7;14;0,222222222222222;0,125;0,16;
45776_tcp;13;2;0;0,866666666666667;1;0,928571428571429;
1024_udp;0;18;14;0;0;0;
40029_udp;2;8;9;0,2;0,181818181818182;0,19047619047619;
51654_udp;59;7;7;0,893939393939394;0,893939393939394;0,893939393939394;
tcp_jabberssl;15;0;0;1;1;1;
8621_udp;3;14;12;0,176470588235294;0,2;0,1875;
3800_udp;3;15;12;0,166666666666667;0,2;0,181818181818182;
udp_rtp;9;1;3;0,9;0,75;0,818181818181818;
udp_stun;19;0;0;1;1;1;
udp_https;105;2;0;0,981308411214953;1;0,990566037735849;
udp_natpmp;15;0;0;1;1;1;
40030_udp;10;3;2;0,769230769230769;0,833333333333333;0,8;
udp_p2pbittorrent;87;34;41;0,71900826446281;0,6796875;0,698795180722892;
tcp_https;5908;3;6;0,999492471663001;0,998985458234697;0,999238900634249;
40018_udp;7;3;11;0,7;0,388888888888889;0,5;
udp_dhcpc;15;0;0;1;1;1;
40027_udp;4;12;7;0,25;0,363636363636364;0,296296296296296;
47993_udp;9;10;7;0,473684210526316;0,5625;0,514285714285714;
tcp_pop3tlsssl;14;3;1;0,823529411764706;0,933333333333333;0,875;
11888_udp;3;5;16;0,375;0,157894736842105;0,222222222222222;
udp_dhcpv6c;14;0;0;1;1;1;
udp_onlinegames;250;3;1;0,988142292490119;0,99601593625498;0,992063492063492;
udp_dhcps;26;0;0;1;1;1;
tcp_ssh;14;1;1;0,933333333333333;0,933333333333333;0,933333333333333;
40029_tcp;13;2;1;0,866666666666667;0,928571428571429;0,896551724137931;
4070_tcp;9;1;1;0,9;0,9;0,9;
12350_tcp;10;0;3;1;0,769230769230769;0,869565217391304;
40024_udp;4;3;13;0,571428571428571;0,235294117647059;0,333333333333333;
udp_netbiosdgm;31;0;0;1;1;1;
tcp_http;1507;5;0;0,996693121693122;1;0,998343822457767;
139_tcp;13;0;0;1;1;1;
udp_dns;2259;8;3;0,996471107190119;0,99867374005305;0,997571207772135;
8999_udp;4;16;9;0,2;0,307692307692308;0,242424242424242;
udp_llmnr;2241;2;2;0,999108337048596;0,999108337048596;0,999108337048596;
11000_udp;15;0;0;1;1;1;
udp_spotify;17;0;0;1;1;1;
