sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
tcp_https-spotifyexe;3891;2342;1308;0,624257981710252;0,748413156376226;0,68072078376487;
tcp_dns-system;17;1;0;0,944444444444444;1;0,971428571428571;
tcp_https-skypebrowserhostexe;316;175;285;0,643584521384929;0,525790349417637;0,578754578754579;
tcp_http-system;50;62;271;0,446428571428571;0,155763239875389;0,23094688221709;
tcp_https-itunesexe;8332;1831;622;0,819836662402834;0,930533839624749;0,871684887796202;
tcp_https-chromeexe;6472;2876;3199;0,692340607616602;0,669217247440802;0,680582575319417;
tcp_http-steamwebhelperexe;280;129;128;0,684596577017115;0,686274509803922;0,685434516523868;
tcp_http-firefoxexe;251;376;947;0,400318979266348;0,209515859766277;0,275068493150685;
tcp_jabber-pidginexe;30;1;1;0,967741935483871;0,967741935483871;0,967741935483871;
tcp_https-;6155;1774;6435;0,776264346071384;0,488880063542494;0,599931770554121;
9875_udp-;5;0;0;1;1;1;
50321_udp-;20;31;94;0,392156862745098;0,175438596491228;0,242424242424242;
udp_ssdp-;9774;6;4;0,999386503067485;0,999590918388218;0,999488700276102;
tcp_http-onedriveexe;46;33;15;0,582278481012658;0,754098360655738;0,657142857142857;
udp_dhcps-;377;1;4;0,997354497354497;0,989501312335958;0,993412384716732;
udp_teamviewer-;82;14;0;0,854166666666667;1;0,921348314606742;
12350_tcp-skypeexe;33;5;6;0,868421052631579;0,846153846153846;0,857142857142857;
11888_udp-;0;40;8;0;0;0;
udp_dns-;35528;39;44;0,998903477943037;0,998763072079163;0,998833270076892;
tcp_https-mshtaexe;0;0;4;0;0;0;
udp_natpmp-;154;4;0;0,974683544303797;1;0,987179487179487;
tcp_http-itunesexe;14;6;200;0,7;0,0654205607476635;0,11965811965812;
139_tcp-;22;9;0;0,709677419354839;1;0,830188679245283;
5353_udp-;214;1;0;0,995348837209302;1;0,997668997668998;
40005_udp-;0;5;1;0;0;0;
udp_onlinegames-;3862;14;14;0,996388028895769;0,996388028895769;0,996388028895769;
40036_udp-;3;16;2;0,157894736842105;0,6;0,25;
udp_dhcpc-;42;5;2;0,893617021276596;0,954545454545455;0,923076923076923;
tcp_https-skypeexe;3626;660;919;0,846010265982268;0,797799779977998;0,821198052315706;
43265_udp-;50;42;63;0,543478260869565;0,442477876106195;0,487804878048781;
tcp_https-svchostexe;383;123;122;0,756916996047431;0,758415841584158;0,757665677546983;
tcp_https-iexploreexe;4928;1205;4027;0,803521930539703;0,550307091010609;0,653234358430541;
tcp_http-chromeexe;455;360;305;0,558282208588957;0,598684210526316;0,577777777777778;
tcp_http-utorrentieexe;92;76;190;0,547619047619048;0,326241134751773;0,408888888888889;
1024_udp-;0;87;8;0;0;0;
tcp_teamviewer-teamviewer_serviceexe;56;40;34;0,583333333333333;0,622222222222222;0,602150537634409;
8621_udp-;6;41;36;0,127659574468085;0,142857142857143;0,134831460674157;
udp_llmnr-;35690;5;8;0,999859924359154;0,999775897809401;0,999817909318841;
udp_stun-;225;4;2;0,982532751091703;0,991189427312775;0,986842105263158;
tcp_https-firefoxexe;12338;3436;4379;0,782173196399138;0,738051085721122;0,759471853744114;
tcp_http-teamviewer_serviceexe;256;41;54;0,861952861952862;0,825806451612903;0,843492586490939;
tcp_http-avgmfapxexe;1;11;9;0,0833333333333333;0,1;0,0909090909090909;
8999_udp-;15;116;43;0,114503816793893;0,258620689655172;0,158730158730159;
tcp_https-onedriveexe;973;191;400;0,835910652920962;0,708667152221413;0,767047694126922;
3800_udp-;6;95;30;0,0594059405940594;0,166666666666667;0,0875912408759124;
udp_spotify-;161;0;1;1;0,993827160493827;0,996904024767802;
tcp_http-;11215;3190;1064;0,778549114890663;0,913347992507533;0,840578623894469;
11000_udp-;25;1;3;0,961538461538462;0,892857142857143;0,925925925925926;
40025_udp-;0;5;1;0;0;0;
tcp_teamviewer-;71;31;24;0,696078431372549;0,747368421052632;0,720812182741117;
tcp_jabberssl-apsdaemonexe;143;21;12;0,871951219512195;0,92258064516129;0,896551724137931;
6992_udp-;1;62;1;0,0158730158730159;0,5;0,0307692307692308;
udp_https-;1468;3;45;0,997960571040109;0,970257766027759;0,983914209115282;
40020_udp-;21;6;11;0,777777777777778;0,65625;0,711864406779661;
47993_udp-;28;62;40;0,311111111111111;0,411764705882353;0,354430379746835;
3702_udp-;216;0;2;1;0,990825688073395;0,995391705069124;
40023_udp-;0;3;1;0;0;0;
49001_udp-;8;49;46;0,140350877192982;0,148148148148148;0,144144144144144;
tcp_http-utorrentexe;1102;214;151;0,837386018237082;0,879489225857941;0,857921370182951;
tcp_ssh-winscpexe;27;7;5;0,794117647058823;0,84375;0,818181818181818;
4070_tcp-spotifyexe;151;6;16;0,961783439490446;0,904191616766467;0,932098765432099;
40024_udp-;4;5;6;0,444444444444444;0,4;0,421052631578947;
udp_dhcpv6c-;17;6;0;0,739130434782609;1;0,85;
40030_udp-;2;9;3;0,181818181818182;0,4;0,25;
tcp_https-steamexe;31;27;2;0,53448275862069;0,939393939393939;0,681318681318681;
40029_tcp-skypeexe;4;9;1;0,307692307692308;0,8;0,444444444444444;
40027_udp-;4;8;9;0,333333333333333;0,307692307692308;0,32;
tcp_https-thunderbirdexe;5;89;12;0,0531914893617021;0,294117647058824;0,0900900900900901;
40018_udp-;8;5;1;0,615384615384615;0,888888888888889;0,727272727272727;
tcp_ssh-puttyexe;6;8;0;0,428571428571429;1;0,6;
40029_udp-;9;1;17;0,9;0,346153846153846;0,5;
tcp_teamviewer-system;30;38;18;0,441176470588235;0,625;0,517241379310345;
udp_p2pbittorrent-;1478;173;362;0,895215021199273;0,803260869565217;0,846748782583787;
45776_tcp-utorrentexe;13;13;0;0,5;1;0,666666666666667;
udp_rtp-;112;5;8;0,957264957264957;0,933333333333333;0,945147679324895;
40028_udp-;3;15;3;0,166666666666667;0,5;0,25;
51654_udp-;1221;6;34;0,995110024449878;0,972908366533865;0,983883964544722;
tcp_icslap-system;299;86;80;0,776623376623377;0,788918205804749;0,782722513089005;
tcp_https-msmpengexe;27;37;11;0,421875;0,710526315789474;0,529411764705882;
139_tcp-system;147;2;9;0,986577181208054;0,942307692307692;0,963934426229508;
tcp_http-spotifyexe;4553;198;439;0,958324563249842;0,912059294871795;0,934619726983475;
udp_netbios-;367;0;17;1;0,955729166666667;0,977363515312916;
udp_netbiosdgm-;412;0;0;1;1;1;
tcp_https-steamwebhelperexe;1;7;23;0,125;0,0416666666666667;0,0625;
tcp_https-system;19343;13162;6263;0,595077680356868;0,755408888541748;0,665725938290513;
tcp_pop3tlsssl-thunderbirdexe;179;1;5;0,994444444444444;0,972826086956522;0,983516483516484;
tcp_icslap-;1165;98;105;0,922406967537609;0,917322834645669;0,919857876036321;
tcp_http-steamexe;264;72;169;0,785714285714286;0,609699769053118;0,686605981794538;
tcp_https-googledrivesyncexe;9;17;12;0,346153846153846;0,428571428571429;0,382978723404255;
40003_udp-;5;5;18;0,5;0,217391304347826;0,303030303030303;
tcp_https-utorrentexe;284;3;13;0,989547038327526;0,956228956228956;0,972602739726027;
tcp_smtptlsssl-thunderbirdexe;55;11;9;0,833333333333333;0,859375;0,846153846153846;
tcp_http-iexploreexe;633;465;1275;0,576502732240437;0,331761006289308;0,421157684630738;
