sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;30;28;
11888_UDP;30;8;
12350_TCP;30;39;
139_TCP;46;204;
3702_UDP;63;217;
3800_UDP;30;36;
40003_UDP;30;23;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;30;32;
40023_UDP;30;1;
40024_UDP;30;10;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;30;26;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;39;166;
43265_UDP;33;117;
45776_TCP;30;13;
47993_UDP;30;68;
49001_UDP;30;54;
50321_UDP;30;114;
51654_UDP;313;1255;
5353_UDP;47;215;
6992_UDP;30;2;
8621_UDP;30;42;
8999_UDP;30;58;
9875_UDP;30;5;
TCP_Dns;30;17;
TCP_HTTP;6153;24487;
TCP_Https;23540;95247;
TCP_icslap;409;1659;
TCP_Jabber;30;31;
TCP_JabberSsl;38;149;
TCP_POP3tlsSSL;38;185;
TCP_SMTPtlsSSL;30;64;
TCP_SSH;30;68;
TCP_TeamViewer;65;258;
UDP_DhcPc;30;44;
UDP_DhcPs;96;372;
UDP_DhcPv6C;30;17;
UDP_Dns;8882;35582;
UDP_Https;414;1504;
UDP_LLMNR;8882;35696;
UDP_NATpmp;34;168;
UDP_netbios;101;371;
UDP_netbiosdgm;101;434;
UDP_OnlineGames;1001;3852;
UDP_P2PBittorrent;455;1849;
UDP_RTP;32;118;
UDP_spotify;37;165;
UDP_SSDP;2389;9776;
UDP_STUN;58;222;
UDP_TeamViewer;30;82;
