sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;24;0;0;1;1;1;
3702_udp;31;2;1;0,939393939393939;0,96875;0,953846153846154;
tcp_dns;17;0;0;1;1;1;
40003_udp;6;7;8;0,461538461538462;0,428571428571429;0,444444444444444;
tcp_smtptlsssl;13;0;4;1;0,764705882352941;0,866666666666667;
6992_udp;5;13;7;0,277777777777778;0,416666666666667;0,333333333333333;
40023_udp;8;5;10;0,615384615384615;0,444444444444444;0,516129032258065;
udp_ssdp;1212;0;0;1;1;1;
40028_udp;5;20;5;0,2;0,5;0,285714285714286;
9875_udp;14;0;2;1;0,875;0,933333333333333;
40025_udp;3;6;12;0,333333333333333;0,2;0,25;
40005_udp;4;22;6;0,153846153846154;0,4;0,222222222222222;
udp_teamviewer;13;0;0;1;1;1;
tcp_jabber;12;1;1;0,923076923076923;0,923076923076923;0,923076923076923;
43265_udp;6;1;8;0,857142857142857;0,428571428571429;0,571428571428571;
tcp_teamviewer;31;1;0;0,96875;1;0,984126984126984;
40020_udp;5;3;13;0,625;0,277777777777778;0,384615384615385;
50321_udp;1;15;10;0,0625;0,0909090909090909;0,0740740740740741;
udp_netbios;54;0;0;1;1;1;
49001_udp;4;4;16;0,5;0,2;0,285714285714286;
tcp_icslap;222;3;0;0,986666666666667;1;0,993288590604027;
40036_udp;5;11;14;0,3125;0,263157894736842;0,285714285714286;
45776_tcp;10;1;0;0,909090909090909;1;0,952380952380952;
1024_udp;3;18;11;0,142857142857143;0,214285714285714;0,171428571428571;
40029_udp;7;7;14;0,5;0,333333333333333;0,4;
51654_udp;147;10;3;0,936305732484076;0,98;0,957654723127036;
tcp_jabberssl;16;5;2;0,761904761904762;0,888888888888889;0,82051282051282;
8621_udp;2;16;9;0,111111111111111;0,181818181818182;0,137931034482759;
3800_udp;2;17;14;0,105263157894737;0,125;0,114285714285714;
udp_rtp;18;1;1;0,947368421052632;0,947368421052632;0,947368421052632;
udp_stun;27;0;0;1;1;1;
udp_https;216;2;0;0,990825688073395;1;0,995391705069124;
udp_natpmp;18;0;0;1;1;1;
40030_udp;9;17;6;0,346153846153846;0,6;0,439024390243902;
udp_p2pbittorrent;166;38;67;0,813725490196078;0,71244635193133;0,759725400457666;
tcp_https;11729;4;7;0,999659081223898;0,999403544648943;0,999531296604031;
40018_udp;10;3;5;0,769230769230769;0,666666666666667;0,714285714285714;
udp_dhcpc;17;1;0;0,944444444444444;1;0,971428571428571;
40027_udp;6;1;11;0,857142857142857;0,352941176470588;0,5;
47993_udp;5;11;1;0,3125;0,833333333333333;0,454545454545455;
tcp_pop3tlsssl;24;4;0;0,857142857142857;1;0,923076923076923;
11888_udp;4;13;9;0,235294117647059;0,307692307692308;0,266666666666667;
udp_dhcpv6c;15;4;0;0,789473684210526;1;0,882352941176471;
udp_onlinegames;506;3;3;0,994106090373281;0,994106090373281;0,994106090373281;
udp_dhcps;40;0;1;1;0,975609756097561;0,987654320987654;
tcp_ssh;12;0;1;1;0,923076923076923;0,96;
40029_tcp;16;3;0;0,842105263157895;1;0,914285714285714;
4070_tcp;18;0;2;1;0,9;0,947368421052632;
12350_tcp;15;0;3;1;0,833333333333333;0,909090909090909;
40024_udp;5;11;10;0,3125;0,333333333333333;0,32258064516129;
udp_netbiosdgm;45;0;0;1;1;1;
tcp_http;3090;2;4;0,999353169469599;0,998707175177763;0,999030067895247;
139_tcp;23;0;0;1;1;1;
udp_dns;4432;2;8;0,999548940009021;0,998198198198198;0,998873112463376;
8999_udp;5;13;11;0,277777777777778;0,3125;0,294117647058824;
udp_llmnr;4415;1;2;0,999773550724638;0,999547203984605;0,999660364542058;
11000_udp;19;0;0;1;1;1;
udp_spotify;19;0;0;1;1;1;
