sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;215;0;0;1;1;1;
3702_udp;217;1;0;0,995412844036697;1;0,997701149425287;
40003_udp;7;21;16;0,25;0,304347826086957;0,274509803921569;
tcp_dns;17;1;0;0,944444444444444;1;0,971428571428571;
tcp_smtptlsssl;58;5;6;0,920634920634921;0,90625;0,913385826771654;
6992_udp;0;53;2;0;0;0;
40023_udp;0;0;1;0;0;0;
udp_ssdp;9776;9;0;0,999080224833929;1;0,999539900823066;
40028_udp;4;14;2;0,222222222222222;0,666666666666667;0,333333333333333;
9875_udp;5;2;0;0,714285714285714;1;0,833333333333333;
40025_udp;0;3;1;0;0;0;
40005_udp;1;12;0;0,0769230769230769;1;0,142857142857143;
udp_teamviewer;82;1;0;0,987951807228916;1;0,993939393939394;
tcp_jabber;30;1;1;0,967741935483871;0,967741935483871;0,967741935483871;
43265_udp;56;42;61;0,571428571428571;0,478632478632479;0,520930232558139;
tcp_teamviewer;256;5;2;0,980842911877395;0,992248062015504;0,986512524084779;
40020_udp;19;4;13;0,826086956521739;0,59375;0,690909090909091;
50321_udp;11;55;103;0,166666666666667;0,0964912280701754;0,122222222222222;
udp_netbios;371;6;0;0,984084880636605;1;0,991978609625669;
49001_udp;4;31;50;0,114285714285714;0,0740740740740741;0,0898876404494382;
tcp_icslap;1645;19;14;0,988581730769231;0,991561181434599;0,990069214565152;
40036_udp;0;6;5;0;0;0;
45776_tcp;13;8;0;0,619047619047619;1;0,764705882352941;
1024_udp;2;124;6;0,0158730158730159;0,25;0,0298507462686567;
40029_udp;8;8;18;0,5;0,307692307692308;0,380952380952381;
51654_udp;1237;26;18;0,979414093428345;0,985657370517928;0,982525814138205;
tcp_jabberssl;131;32;18;0,803680981595092;0,879194630872483;0,83974358974359;
8621_udp;2;70;40;0,0277777777777778;0,0476190476190476;0,0350877192982456;
3800_udp;4;70;32;0,0540540540540541;0,111111111111111;0,0727272727272727;
udp_rtp;111;2;7;0,982300884955752;0,940677966101695;0,961038961038961;
udp_stun;220;2;2;0,990990990990991;0,990990990990991;0,990990990990991;
udp_https;1493;8;11;0,994670219853431;0,992686170212766;0,993677204658902;
udp_natpmp;168;0;0;1;1;1;
40030_udp;1;16;4;0,0588235294117647;0,2;0,0909090909090909;
udp_p2pbittorrent;1443;157;406;0,901875;0,780421849648459;0,836764279501305;
tcp_https;95186;30;61;0,999684926903042;0,999359559881151;0,999522216913521;
40018_udp;5;7;4;0,416666666666667;0,555555555555556;0,476190476190476;
udp_dhcpc;43;4;1;0,914893617021277;0,977272727272727;0,945054945054945;
40027_udp;6;5;7;0,545454545454545;0,461538461538462;0,5;
47993_udp;30;54;38;0,357142857142857;0,441176470588235;0,394736842105263;
tcp_pop3tlsssl;183;10;2;0,948186528497409;0,989189189189189;0,968253968253968;
11888_udp;2;63;6;0,0307692307692308;0,25;0,0547945205479452;
udp_dhcpv6c;16;19;1;0,457142857142857;0,941176470588235;0,615384615384615;
udp_onlinegames;3840;5;12;0,998699609882965;0,996884735202492;0,99779134727816;
udp_dhcps;370;0;2;1;0,994623655913979;0,997304582210243;
tcp_ssh;61;1;7;0,983870967741936;0,897058823529412;0,938461538461539;
40029_tcp;4;19;1;0,173913043478261;0,8;0,285714285714286;
4070_tcp;150;1;16;0,993377483443709;0,903614457831325;0,946372239747634;
12350_tcp;32;2;7;0,941176470588235;0,82051282051282;0,876712328767123;
40024_udp;4;7;6;0,363636363636364;0,4;0,380952380952381;
udp_netbiosdgm;434;0;0;1;1;1;
tcp_http;24454;26;33;0,998937908496732;0,998652346142851;0,998795106908734;
139_tcp;204;0;0;1;1;1;
udp_dns;35539;14;43;0,999606221697184;0,998791523804171;0,999198706684473;
8999_udp;6;61;52;0,0895522388059701;0,103448275862069;0,096;
udp_llmnr;35690;3;6;0,999915949906144;0,999831913939937;0,999873930157307;
11000_udp;28;1;0;0,96551724137931;1;0,982456140350877;
udp_spotify;163;0;2;1;0,987878787878788;0,99390243902439;
