sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
443_tcp_https-steamwebhelperexe;0;0;16;0;0;0;
40029_udp-;3;2;16;0,6;0,157894736842105;0,25;
5938_udp-;13;0;0;1;1;1;
6969_tcp-utorrentexe;17;1;0;0,944444444444444;1;0,971428571428571;
5351_udp-;15;0;0;1;1;1;
5938_tcp-;10;3;3;0,769230769230769;0,769230769230769;0,769230769230769;
80_tcp_http-teamviewer_serviceexe;10;2;2;0,833333333333333;0,833333333333333;0,833333333333333;
40030_udp-;5;2;13;0,714285714285714;0,277777777777778;0,4;
2869_tcp-;61;0;25;1;0,709302325581395;0,829931972789116;
27021_udp-;0;2;19;0;0;0;
5938_tcp-system;11;6;2;0,647058823529412;0,846153846153846;0,733333333333333;
5353_udp-;13;0;0;1;1;1;
138_udp-;36;0;0;1;1;1;
443_tcp_https-chromeexe;182;136;439;0,572327044025157;0,293075684380032;0,387646432374867;
12350_tcp-skypeexe;13;0;4;1;0,764705882352941;0,866666666666667;
80_tcp_http-iexploreexe;29;65;85;0,308510638297872;0,254385964912281;0,278846153846154;
67_udp_dhcpc-;12;0;0;1;1;1;
53_udp_dns-;2215;24;9;0,989280928986155;0,995953237410072;0,992605870490701;
5005_udp-;11;0;8;1;0,578947368421053;0,733333333333333;
51413_udp-;32;19;3;0,627450980392157;0,914285714285714;0,744186046511628;
53_tcp_dns-system;14;0;0;1;1;1;
50321_udp-;0;2;15;0;0;0;
27020_udp-;7;32;20;0,179487179487179;0,259259259259259;0,212121212121212;
3128_tcp-system;0;0;15;0;0;0;
67_udp_dhcps-;21;0;1;1;0,954545454545455;0,976744186046512;
27019_udp-;130;26;24;0,833333333333333;0,844155844155844;0,838709677419355;
443_tcp_https-steamexe;0;0;12;0;0;0;
443_tcp_https-itunesexe;448;94;99;0,826568265682657;0,819012797074954;0,82277318640955;
40029_tcp-skypeexe;9;2;5;0,818181818181818;0,642857142857143;0,72;
443_udp_https-;79;1;6;0,9875;0,929411764705882;0,957575757575758;
8999_udp-;0;0;14;0;0;0;
9875_udp-;13;2;0;0,866666666666667;1;0,928571428571429;
40023_udp-;8;29;8;0,216216216216216;0,5;0,30188679245283;
1024_udp-;0;3;15;0;0;0;
57621_udp-;7;0;0;1;1;1;
40028_udp-;2;8;15;0,2;0,117647058823529;0,148148148148148;
49001_udp-;1;5;10;0,166666666666667;0,0909090909090909;0,117647058823529;
6892_udp-;2;8;16;0,2;0,111111111111111;0,142857142857143;
3128_tcp-;15;10;30;0,6;0,333333333333333;0,428571428571429;
3800_udp-;6;34;7;0,15;0,461538461538462;0,226415094339623;
3128_tcp-steamwebhelperexe;10;3;22;0,769230769230769;0,3125;0,444444444444444;
443_tcp_https-onedriveexe;58;37;21;0,610526315789474;0,734177215189873;0,666666666666667;
139_tcp-;15;0;0;1;1;1;
22_tcp_ssh-winscpexe;12;0;3;1;0,8;0,888888888888889;
80_tcp_http-itunesexe;0;0;15;0;0;0;
