sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
443_tcp_https-steamwebhelperexe;1;18;23;0,0526315789473684;0,0416666666666667;0,0465116279069768;
40029_udp-;4;11;22;0,266666666666667;0,153846153846154;0,195121951219512;
5938_udp-;82;13;0;0,863157894736842;1;0,926553672316384;
6969_tcp-utorrentexe;205;40;15;0,836734693877551;0,931818181818182;0,881720430107527;
5351_udp-;172;0;0;1;1;1;
5938_tcp-;87;64;8;0,576158940397351;0,91578947368421;0,707317073170732;
80_tcp_http-teamviewer_serviceexe;306;50;51;0,859550561797753;0,857142857142857;0,858345021037868;
40030_udp-;1;4;4;0,2;0,2;0,2;
2869_tcp-;1368;62;39;0,956643356643357;0,97228144989339;0,964399013041946;
27021_udp-;21;106;153;0,165354330708661;0,120689655172414;0,13953488372093;
5353_udp-;228;0;4;1;0,982758620689655;0,991304347826087;
5938_tcp-system;33;43;15;0,434210526315789;0,6875;0,532258064516129;
138_udp-;472;0;0;1;1;1;
443_tcp_https-chromeexe;4581;2204;6319;0,675165806927045;0,420275229357798;0,518066157760814;
12350_tcp-skypeexe;17;3;22;0,85;0,435897435897436;0,576271186440678;
80_tcp_http-iexploreexe;663;805;1513;0,451634877384196;0,3046875;0,363885839736553;
67_udp_dhcpc-;43;13;1;0,767857142857143;0,977272727272727;0,86;
53_udp_dns-;39870;31;116;0,999223077115862;0,997098984644626;0,998159900859965;
5005_udp-;35;3;5;0,921052631578947;0,875;0,897435897435897;
51413_udp-;527;78;122;0,871074380165289;0,812018489984592;0,840510366826156;
53_tcp_dns-system;17;0;0;1;1;1;
50321_udp-;20;87;94;0,186915887850467;0,175438596491228;0,180995475113122;
27020_udp-;66;236;323;0,218543046357616;0,169665809768638;0,191027496382055;
3128_tcp-system;27;52;214;0,341772151898734;0,112033195020747;0,16875;
67_udp_dhcps-;429;3;5;0,993055555555556;0,988479262672811;0,990762124711316;
27019_udp-;2364;462;373;0,83651804670913;0,8637194008038;0,849901132482474;
443_tcp_https-steamexe;27;41;6;0,397058823529412;0,818181818181818;0,534653465346535;
443_tcp_https-itunesexe;9240;2314;815;0,799723039639952;0,918945798110393;0,855199222546161;
40029_tcp-skypeexe;3;22;2;0,12;0,6;0,2;
443_udp_https-;1646;34;97;0,979761904761905;0,944348823866896;0,9617294770669;
8999_udp-;6;64;52;0,0857142857142857;0,103448275862069;0,09375;
9875_udp-;5;1;0;0,833333333333333;1;0,909090909090909;
40023_udp-;0;38;1;0;0;0;
1024_udp-;0;70;8;0;0;0;
57621_udp-;170;0;0;1;1;1;
40028_udp-;2;8;4;0,2;0,333333333333333;0,25;
49001_udp-;16;65;38;0,197530864197531;0,296296296296296;0,237037037037037;
6892_udp-;0;60;4;0;0;0;
3128_tcp-;519;356;326;0,593142857142857;0,614201183431953;0,603488372093023;
3800_udp-;4;58;32;0,0645161290322581;0,111111111111111;0,0816326530612245;
3128_tcp-steamwebhelperexe;259;138;181;0,652392947103275;0,588636363636364;0,618876941457587;
443_tcp_https-onedriveexe;1258;484;281;0,722158438576349;0,817413905133203;0,766839378238342;
139_tcp-;22;10;0;0,6875;1;0,814814814814815;
