sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;109;2;0;0,981981981981982;1;0,990909090909091;
5005_udp;17;0;0;1;1;1;
12350_tcp;13;1;5;0,928571428571429;0,722222222222222;0,8125;
3128_tcp;114;8;21;0,934426229508197;0,844444444444444;0,88715953307393;
6882_udp;3;12;9;0,2;0,25;0,222222222222222;
80_tcp_http;1356;22;10;0,984034833091437;0,992679355783309;0,988338192419825;
40036_udp;1;7;16;0,125;0,0588235294117647;0,08;
11888_udp;2;13;20;0,133333333333333;0,0909090909090909;0,108108108108108;
50321_udp;1;10;11;0,0909090909090909;0,0833333333333333;0,0869565217391304;
5004_udp;16;0;1;1;0,941176470588235;0,96969696969697;
465_tcp;17;0;0;1;1;1;
443_tcp_https;5920;3;1;0,999493499915583;0,999831109609863;0,999662276258021;
27017_udp;7;19;29;0,269230769230769;0,194444444444444;0,225806451612903;
27020_udp;5;20;19;0,2;0,208333333333333;0,204081632653061;
547_udp_dhcpv6c;14;0;1;1;0,933333333333333;0,96551724137931;
27018_udp;13;33;22;0,282608695652174;0,371428571428571;0,320987654320988;
57621_udp;15;0;0;1;1;1;
22_tcp_ssh;16;2;0;0,888888888888889;1;0,941176470588235;
45776_tcp;16;0;0;1;1;1;
8999_udp;2;16;10;0,111111111111111;0,166666666666667;0,133333333333333;
40005_udp;3;12;10;0,2;0,230769230769231;0,214285714285714;
53_tcp_dns;16;0;0;1;1;1;
5351_udp;13;0;0;1;1;1;
6892_udp;5;7;16;0,416666666666667;0,238095238095238;0,303030303030303;
9875_udp;6;0;1;1;0,857142857142857;0,923076923076923;
67_udp_dhcps;19;0;2;1;0,904761904761905;0,95;
11000_udp;15;0;0;1;1;1;
138_udp;21;0;0;1;1;1;
6969_tcp;13;0;0;1;1;1;
40028_udp;3;4;12;0,428571428571429;0,2;0,272727272727273;
995_tcp;11;0;1;1;0,916666666666667;0,956521739130435;
67_udp_dhcpc;14;1;0;0,933333333333333;1;0,96551724137931;
8621_udp;5;14;12;0,263157894736842;0,294117647058824;0,277777777777778;
5223_tcp_jabberssl;12;0;2;1;0,857142857142857;0,923076923076923;
6992_udp;2;11;13;0,153846153846154;0,133333333333333;0,142857142857143;
40027_udp;3;2;11;0,6;0,214285714285714;0,315789473684211;
40029_udp;4;12;8;0,25;0,333333333333333;0,285714285714286;
5355_udp;2233;0;0;1;1;1;
6889_udp;6;13;12;0,315789473684211;0,333333333333333;0,324324324324324;
40024_udp;5;11;6;0,3125;0,454545454545455;0,37037037037037;
5938_tcp;10;0;0;1;1;1;
3702_udp;17;1;1;0,944444444444444;0,944444444444444;0,944444444444444;
40003_udp;8;9;7;0,470588235294118;0,533333333333333;0,5;
27036_udp;14;1;0;0,933333333333333;1;0,96551724137931;
1900_udp;602;2;0;0,996688741721854;1;0,998341625207297;
5353_udp;14;0;0;1;1;1;
27021_udp;4;11;10;0,266666666666667;0,285714285714286;0,275862068965517;
40025_udp;9;8;6;0,529411764705882;0,6;0,5625;
40023_udp;13;8;3;0,619047619047619;0,8125;0,702702702702703;
5222_tcp_jabber;13;0;0;1;1;1;
40020_udp;5;3;6;0,625;0,454545454545455;0,526315789473684;
5938_udp;16;1;0;0,941176470588235;1;0,96969696969697;
51413_udp;30;8;11;0,789473684210526;0,731707317073171;0,759493670886076;
51654_udp;88;5;1;0,946236559139785;0,98876404494382;0,967032967032967;
40029_tcp;14;3;2;0,823529411764706;0,875;0,848484848484849;
47993_udp;4;7;12;0,363636363636364;0,25;0,296296296296296;
4070_tcp;11;2;1;0,846153846153846;0,916666666666667;0,88;
27019_udp;134;20;23;0,87012987012987;0,853503184713376;0,861736334405145;
3478_udp;17;1;0;0,944444444444444;1;0,971428571428571;
137_udp;27;3;0;0,9;1;0,947368421052632;
6881_udp;16;52;35;0,235294117647059;0,313725490196078;0,26890756302521;
40018_udp;12;7;2;0,631578947368421;0,857142857142857;0,727272727272727;
53_udp_dns;2255;2;4;0,999113867966327;0,998229305002213;0,99867139061116;
43265_udp;5;12;9;0,294117647058824;0,357142857142857;0,32258064516129;
443_udp_https;90;1;3;0,989010989010989;0,967741935483871;0,978260869565217;
3800_udp;4;14;15;0,222222222222222;0,210526315789474;0,216216216216216;
139_tcp;13;0;0;1;1;1;
49001_udp;3;10;10;0,230769230769231;0,230769230769231;0,230769230769231;
40030_udp;9;6;6;0,6;0,6;0,6;
1024_udp;1;12;16;0,0769230769230769;0,0588235294117647;0,0666666666666667;
